Timestamp: 2/4/2025 5:50:56 PM, Millisecond: 874,current eyeGaze_left: Position (-0.03611017, 0.6242021, -0.005206671), Orientation(0.03456001, -0.02291114, -0.01849544, 0.9989688), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 336,current eyeGaze_left: Position (-0.02932103, 0.6294763, -0.001359543), Orientation(0.02146267, -0.05968404, -0.02913385, 0.9975613), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 344,current eyeGaze_left: Position (-0.02932103, 0.6294763, -0.001359543), Orientation(0.02146267, -0.05968404, -0.02913385, 0.9975613), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 364,current eyeGaze_left: Position (-0.02912477, 0.6296235, -0.0008444083), Orientation(0.01505907, -0.08044028, -0.03119952, 0.9961572), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 382,current eyeGaze_left: Position (-0.02912477, 0.6296235, -0.0008444083), Orientation(0.01505907, -0.08044028, -0.03119952, 0.9961572), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 401,current eyeGaze_left: Position (-0.02908972, 0.6298012, -0.0003914662), Orientation(0.0160749, -0.08179487, -0.03142456, 0.9960239), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 419,current eyeGaze_left: Position (-0.02908972, 0.6298012, -0.0003914662), Orientation(0.0160749, -0.08179487, -0.03142456, 0.9960239), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 436,current eyeGaze_left: Position (-0.02919633, 0.6299919, -2.189353E-05), Orientation(0.01503404, -0.1032006, -0.03365584, 0.9939773), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 453,current eyeGaze_left: Position (-0.02919633, 0.6299919, -2.189353E-05), Orientation(0.01503404, -0.1032006, -0.03365584, 0.9939773), Confidence: 0.9980469

