Timestamp: 11/2/2024 10:08:30 PM, Millisecond: 853,current eyeGaze_left: Position (-0.04676198, 1.090123, 0.02498489), Orientation(0.09842426, 0.01685659, -0.02721218, 0.9946295), Confidence: 0.5

Timestamp: 11/2/2024 10:08:31 PM, Millisecond: 216,current eyeGaze_left: Position (-0.04506993, 1.090918, 0.02377383), Orientation(0.08402514, -0.01330104, -0.02801702, 0.9959809), Confidence: 0.5

Timestamp: 11/2/2024 10:08:31 PM, Millisecond: 227,current eyeGaze_left: Position (-0.04506993, 1.090918, 0.02377383), Orientation(0.08402514, -0.01330104, -0.02801702, 0.9959809), Confidence: 0.5

Timestamp: 11/2/2024 10:08:31 PM, Millisecond: 246,current eyeGaze_left: Position (-0.04546812, 1.091058, 0.02411177), Orientation(0.107436, -0.01350316, -0.02736472, 0.9937435), Confidence: 0.5

Timestamp: 11/2/2024 10:08:31 PM, Millisecond: 265,current eyeGaze_left: Position (-0.04597738, 1.091228, 0.0245196), Orientation(0.1113537, -0.00985775, -0.02630882, 0.9933836), Confidence: 0.5

Timestamp: 11/2/2024 10:08:31 PM, Millisecond: 283,current eyeGaze_left: Position (-0.04597738, 1.091228, 0.0245196), Orientation(0.1113537, -0.00985775, -0.02630882, 0.9933836), Confidence: 0.5

Timestamp: 11/2/2024 10:08:31 PM, Millisecond: 302,current eyeGaze_left: Position (-0.04652067, 1.091403, 0.02498259), Orientation(0.1131075, -0.008499017, -0.02564288, 0.9932155), Confidence: 0.5

Timestamp: 11/2/2024 10:08:31 PM, Millisecond: 318,current eyeGaze_left: Position (-0.04652067, 1.091403, 0.02498259), Orientation(0.1131075, -0.008499017, -0.02564288, 0.9932155), Confidence: 0.5

Timestamp: 11/2/2024 10:08:31 PM, Millisecond: 338,current eyeGaze_left: Position (-0.04726423, 1.091546, 0.02564344), Orientation(0.1149264, -0.006111897, -0.02476784, 0.9930463), Confidence: 0.5

Timestamp: 11/2/2024 10:08:31 PM, Millisecond: 352,current eyeGaze_left: Position (-0.04726423, 1.091546, 0.02564344), Orientation(0.1149264, -0.006111897, -0.02476784, 0.9930463), Confidence: 0.5

