
Timestamp: 11/2/2024 10:26:54 PM, Millisecond: 20,current eyeGaze_left: Position (0.0113201, 0.9914398, 0.2955213), Orientation(0.1540837, 0.01381548, -0.05527137, 0.9864138), Confidence: 0.5

Timestamp: 11/2/2024 10:26:54 PM, Millisecond: 33,current eyeGaze_left: Position (0.01137934, 0.9914244, 0.2954587), Orientation(0.154145, 0.01393591, -0.05525339, 0.9864036), Confidence: 0.5

Timestamp: 11/2/2024 10:26:54 PM, Millisecond: 47,current eyeGaze_left: Position (0.01137934, 0.9914244, 0.2954587), Orientation(0.154145, 0.01393591, -0.05525339, 0.9864036), Confidence: 0.5

Timestamp: 11/2/2024 10:26:54 PM, Millisecond: 61,current eyeGaze_left: Position (0.01142319, 0.9914412, 0.2953691), Orientation(0.1544947, 0.01545926, -0.0551502, 0.9863321), Confidence: 0.5

Timestamp: 11/2/2024 10:26:54 PM, Millisecond: 75,current eyeGaze_left: Position (0.01142319, 0.9914412, 0.2953691), Orientation(0.1544947, 0.01545926, -0.0551502, 0.9863321), Confidence: 0.5

Timestamp: 11/2/2024 10:26:54 PM, Millisecond: 89,current eyeGaze_left: Position (0.01142544, 0.9915016, 0.2952959), Orientation(0.184459, 0.0148956, -0.05488876, 0.9811932), Confidence: 0.5

Timestamp: 11/2/2024 10:26:54 PM, Millisecond: 102,current eyeGaze_left: Position (0.01142544, 0.9915016, 0.2952959), Orientation(0.184459, 0.0148956, -0.05488876, 0.9811932), Confidence: 0.5

Timestamp: 11/2/2024 10:26:54 PM, Millisecond: 117,current eyeGaze_left: Position (0.01142544, 0.9915016, 0.2952959), Orientation(0.184459, 0.0148956, -0.05488876, 0.9811932), Confidence: 0.5

Timestamp: 11/2/2024 10:26:54 PM, Millisecond: 130,current eyeGaze_left: Position (0.01131757, 0.9915694, 0.295344), Orientation(0.1911569, 0.01494022, -0.05470232, 0.9799201), Confidence: 0.5

Timestamp: 11/2/2024 10:26:54 PM, Millisecond: 144,current eyeGaze_left: Position (0.01131757, 0.9915694, 0.295344), Orientation(0.1911569, 0.01494022, -0.05470232, 0.9799201), Confidence: 0.5

Timestamp: 11/2/2024 10:26:54 PM, Millisecond: 158,current eyeGaze_left: Position (0.01121705, 0.9915885, 0.2954565), Orientation(0.1933503, 0.01695777, -0.05433299, 0.9794775), Confidence: 0.5

Timestamp: 11/2/2024 10:26:54 PM, Millisecond: 172,current eyeGaze_left: Position (0.01121705, 0.9915885, 0.2954565), Orientation(0.1933503, 0.01695777, -0.05433299, 0.9794775), Confidence: 0.5

Timestamp: 11/2/2024 10:26:54 PM, Millisecond: 186,current eyeGaze_left: Position (0.01121705, 0.9915885, 0.2954565), Orientation(0.1933503, 0.01695777, -0.05433299, 0.9794775), Confidence: 0.5

Timestamp: 11/2/2024 10:26:54 PM, Millisecond: 200,current eyeGaze_left: Position (0.01117953, 0.9915319, 0.2955677), Orientation(0.1939948, 0.0170844, -0.05426523, 0.9793515), Confidence: 0.5

Timestamp: 11/2/2024 10:26:54 PM, Millisecond: 215,current eyeGaze_left: Position (0.01117953, 0.9915319, 0.2955677), Orientation(0.1939948, 0.0170844, -0.05426523, 0.9793515), Confidence: 0.5

Timestamp: 11/2/2024 10:26:54 PM, Millisecond: 227,current eyeGaze_left: Position (0.01124195, 0.9914274, 0.295662), Orientation(0.1938987, 0.0165775, -0.05419295, 0.9793833), Confidence: 0.5

Timestamp: 11/2/2024 10:26:54 PM, Millisecond: 241,current eyeGaze_left: Position (0.01124195, 0.9914274, 0.295662), Orientation(0.1938987, 0.0165775, -0.05419295, 0.9793833), Confidence: 0.5

Timestamp: 11/2/2024 10:26:54 PM, Millisecond: 256,current eyeGaze_left: Position (0.01131096, 0.991378, 0.2957138), Orientation(0.1926882, 0.0166862, -0.05418112, 0.9796209), Confidence: 0.5

Timestamp: 11/2/2024 10:26:54 PM, Millisecond: 269,current eyeGaze_left: Position (0.01131096, 0.991378, 0.2957138), Orientation(0.1926882, 0.0166862, -0.05418112, 0.9796209), Confidence: 0.5

