
Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 145,current eyeGaze_left: Position (0.03092755, 0.9956313, 0.3065056), Orientation(0.08971763, -0.07893021, -0.06657985, 0.9905998), Confidence: 0.5

Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 159,current eyeGaze_left: Position (0.03090679, 0.9956772, 0.3063856), Orientation(0.0896586, -0.0788498, -0.06658007, 0.9906115), Confidence: 0.5

Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 174,current eyeGaze_left: Position (0.03090679, 0.9956772, 0.3063856), Orientation(0.0896586, -0.0788498, -0.06658007, 0.9906115), Confidence: 0.5

Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 187,current eyeGaze_left: Position (0.03090679, 0.9956772, 0.3063856), Orientation(0.0896586, -0.0788498, -0.06658007, 0.9906115), Confidence: 0.5

Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 201,current eyeGaze_left: Position (0.03089215, 0.9956462, 0.3063398), Orientation(0.09019689, -0.07839047, -0.06653824, 0.9906018), Confidence: 0.5

Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 215,current eyeGaze_left: Position (0.03089215, 0.9956462, 0.3063398), Orientation(0.09019689, -0.07839047, -0.06653824, 0.9906018), Confidence: 0.5

Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 229,current eyeGaze_left: Position (0.03088327, 0.9956145, 0.3063333), Orientation(0.08951192, -0.07843025, -0.06640991, 0.9906695), Confidence: 0.5

Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 244,current eyeGaze_left: Position (0.03088327, 0.9956145, 0.3063333), Orientation(0.08951192, -0.07843025, -0.06640991, 0.9906695), Confidence: 0.5

Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 257,current eyeGaze_left: Position (0.03088327, 0.9956145, 0.3063333), Orientation(0.08951192, -0.07843025, -0.06640991, 0.9906695), Confidence: 0.5

Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 272,current eyeGaze_left: Position (0.03083703, 0.9955282, 0.306434), Orientation(0.08916202, -0.0790938, -0.06643131, 0.9906468), Confidence: 0.5

Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 285,current eyeGaze_left: Position (0.03083703, 0.9955282, 0.306434), Orientation(0.08916202, -0.0790938, -0.06643131, 0.9906468), Confidence: 0.5

Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 299,current eyeGaze_left: Position (0.03078774, 0.9955169, 0.306469), Orientation(0.08922898, -0.07910171, -0.06634876, 0.9906457), Confidence: 0.5

Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 313,current eyeGaze_left: Position (0.03078774, 0.9955169, 0.306469), Orientation(0.08922898, -0.07910171, -0.06634876, 0.9906457), Confidence: 0.5

Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 327,current eyeGaze_left: Position (0.0307297, 0.9955227, 0.3064772), Orientation(0.09393708, -0.08055795, -0.06666809, 0.9900715), Confidence: 0.5

Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 341,current eyeGaze_left: Position (0.0307297, 0.9955227, 0.3064772), Orientation(0.09393708, -0.08055795, -0.06666809, 0.9900715), Confidence: 0.5

Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 355,current eyeGaze_left: Position (0.0307297, 0.9955227, 0.3064772), Orientation(0.09393708, -0.08055795, -0.06666809, 0.9900715), Confidence: 0.5

Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 369,current eyeGaze_left: Position (0.03066714, 0.9955799, 0.3064207), Orientation(0.09444543, -0.07977377, -0.06648618, 0.9900988), Confidence: 0.5

Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 382,current eyeGaze_left: Position (0.03066714, 0.9955799, 0.3064207), Orientation(0.09444543, -0.07977377, -0.06648618, 0.9900988), Confidence: 0.5

Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 397,current eyeGaze_left: Position (0.03069529, 0.9955786, 0.3063583), Orientation(0.09392425, -0.06947055, -0.06480788, 0.9910358), Confidence: 0.5

Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 411,current eyeGaze_left: Position (0.03069529, 0.9955786, 0.3063583), Orientation(0.09392425, -0.06947055, -0.06480788, 0.9910358), Confidence: 0.5

Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 425,current eyeGaze_left: Position (0.030724, 0.9955472, 0.3062927), Orientation(0.03869051, -0.06557561, -0.06207023, 0.9951635), Confidence: 0.5

Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 439,current eyeGaze_left: Position (0.030724, 0.9955472, 0.3062927), Orientation(0.03869051, -0.06557561, -0.06207023, 0.9951635), Confidence: 0.5

Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 452,current eyeGaze_left: Position (0.030724, 0.9955472, 0.3062927), Orientation(0.03869051, -0.06557561, -0.06207023, 0.9951635), Confidence: 0.5

Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 466,current eyeGaze_left: Position (0.03074878, 0.9954289, 0.3063156), Orientation(0.03844097, -0.06762504, -0.06248066, 0.9950102), Confidence: 0.5

Timestamp: 11/2/2024 10:18:43 PM, Millisecond: 479,current eyeGaze_left: Position (0.03074878, 0.9954289, 0.3063156), Orientation(0.03844097, -0.06762504, -0.06248066, 0.9950102), Confidence: 0.5

