
Timestamp: 10/17/2024 5:50:27 PM, Millisecond: 863,current eyeGaze_left: Position (-0.05718959, 1.100556, 0.09176782), Orientation(0.1379601, 0.02204715, -0.009010667, 0.9901514), Confidence: 0.5

Timestamp: 10/17/2024 5:50:27 PM, Millisecond: 877,current eyeGaze_left: Position (-0.05726073, 1.101054, 0.09220252), Orientation(0.1425984, 0.01701077, -0.009245477, 0.9895914), Confidence: 0.5

Timestamp: 10/17/2024 5:50:27 PM, Millisecond: 890,current eyeGaze_left: Position (-0.05726073, 1.101054, 0.09220252), Orientation(0.1425984, 0.01701077, -0.009245477, 0.9895914), Confidence: 0.5

Timestamp: 10/17/2024 5:50:27 PM, Millisecond: 904,current eyeGaze_left: Position (-0.05742585, 1.101466, 0.09262653), Orientation(0.1430781, 0.01746639, -0.008774804, 0.9895183), Confidence: 0.5

Timestamp: 10/17/2024 5:50:27 PM, Millisecond: 918,current eyeGaze_left: Position (-0.05742585, 1.101466, 0.09262653), Orientation(0.1430781, 0.01746639, -0.008774804, 0.9895183), Confidence: 0.5

Timestamp: 10/17/2024 5:50:27 PM, Millisecond: 933,current eyeGaze_left: Position (-0.05768358, 1.101776, 0.0930621), Orientation(0.1423229, 0.01761746, -0.008420902, 0.9896277), Confidence: 0.5

Timestamp: 10/17/2024 5:50:27 PM, Millisecond: 946,current eyeGaze_left: Position (-0.05768358, 1.101776, 0.0930621), Orientation(0.1423229, 0.01761746, -0.008420902, 0.9896277), Confidence: 0.5

Timestamp: 10/17/2024 5:50:27 PM, Millisecond: 961,current eyeGaze_left: Position (-0.05768358, 1.101776, 0.0930621), Orientation(0.1423229, 0.01761746, -0.008420902, 0.9896277), Confidence: 0.5

Timestamp: 10/17/2024 5:50:27 PM, Millisecond: 975,current eyeGaze_left: Position (-0.0580024, 1.101956, 0.09353585), Orientation(0.1410153, 0.01813824, -0.007976959, 0.9898091), Confidence: 0.5

