Timestamp: 10/17/2024 5:46:52 PM, Millisecond: 432,current eyeGaze_left: Position (-0.05536894, 1.105414, 0.0633859), Orientation(0.1175378, -0.01635231, -0.01301297, 0.9928485), Confidence: 0.5

Timestamp: 10/17/2024 5:46:52 PM, Millisecond: 445,current eyeGaze_left: Position (-0.05526304, 1.105301, 0.06322911), Orientation(0.1180586, -0.01482487, -0.01269652, 0.9928148), Confidence: 0.5

Timestamp: 10/17/2024 5:46:52 PM, Millisecond: 460,current eyeGaze_left: Position (-0.05526304, 1.105301, 0.06322911), Orientation(0.1180586, -0.01482487, -0.01269652, 0.9928148), Confidence: 0.5

Timestamp: 10/17/2024 5:46:52 PM, Millisecond: 474,current eyeGaze_left: Position (-0.05511303, 1.105147, 0.06308783), Orientation(0.1209441, -0.0149061, -0.01282713, 0.9924645), Confidence: 0.5

Timestamp: 10/17/2024 5:46:52 PM, Millisecond: 487,current eyeGaze_left: Position (-0.05511303, 1.105147, 0.06308783), Orientation(0.1209441, -0.0149061, -0.01282713, 0.9924645), Confidence: 0.5

Timestamp: 10/17/2024 5:46:52 PM, Millisecond: 502,current eyeGaze_left: Position (-0.05511303, 1.105147, 0.06308783), Orientation(0.1209441, -0.0149061, -0.01282713, 0.9924645), Confidence: 0.5

Timestamp: 10/17/2024 5:46:52 PM, Millisecond: 515,current eyeGaze_left: Position (-0.05493181, 1.10506, 0.06299143), Orientation(0.1215601, -0.01389019, -0.01297873, 0.992402), Confidence: 0.5

Timestamp: 10/17/2024 5:46:52 PM, Millisecond: 529,current eyeGaze_left: Position (-0.05493181, 1.10506, 0.06299143), Orientation(0.1215601, -0.01389019, -0.01297873, 0.992402), Confidence: 0.5

Timestamp: 10/17/2024 5:46:52 PM, Millisecond: 543,current eyeGaze_left: Position (-0.05470156, 1.10501, 0.06292623), Orientation(0.1211897, -0.01362898, -0.01328325, 0.9924469), Confidence: 0.5

Timestamp: 10/17/2024 5:46:52 PM, Millisecond: 557,current eyeGaze_left: Position (-0.05470156, 1.10501, 0.06292623), Orientation(0.1211897, -0.01362898, -0.01328325, 0.9924469), Confidence: 0.5

Timestamp: 10/17/2024 5:46:52 PM, Millisecond: 572,current eyeGaze_left: Position (-0.05447274, 1.104919, 0.06281494), Orientation(0.1202989, -0.01392537, -0.0137417, 0.9925449), Confidence: 0.5

Timestamp: 10/17/2024 5:46:52 PM, Millisecond: 585,current eyeGaze_left: Position (-0.05447274, 1.104919, 0.06281494), Orientation(0.1202989, -0.01392537, -0.0137417, 0.9925449), Confidence: 0.5

