
Timestamp: 10/27/2024 10:54:15 AM, Millisecond: 994,current eyeGaze_left: Position (-0.2099248, 1.139818, 0.1654976), Orientation(-0.08201395, 0.03685423, 0.04947706, -0.9947198), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 7,current eyeGaze_left: Position (-0.2099248, 1.139818, 0.1654976), Orientation(-0.08201395, 0.03685423, 0.04947706, -0.9947198), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 21,current eyeGaze_left: Position (-0.2099248, 1.139818, 0.1654976), Orientation(-0.08201395, 0.03685423, 0.04947706, -0.9947198), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 38,current eyeGaze_left: Position (-0.2098487, 1.13985, 0.1655524), Orientation(-0.08202758, 0.03680827, 0.04974727, -0.9947069), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 54,current eyeGaze_left: Position (-0.2098487, 1.13985, 0.1655524), Orientation(-0.08202758, 0.03680827, 0.04974727, -0.9947069), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 67,current eyeGaze_left: Position (-0.2097826, 1.139887, 0.1655874), Orientation(-0.08198222, 0.03961249, 0.05024458, -0.9945779), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 78,current eyeGaze_left: Position (-0.2097826, 1.139887, 0.1655874), Orientation(-0.08198222, 0.03961249, 0.05024458, -0.9945779), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 92,current eyeGaze_left: Position (-0.2097826, 1.139887, 0.1655874), Orientation(-0.08198222, 0.03961249, 0.05024458, -0.9945779), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 104,current eyeGaze_left: Position (-0.2097037, 1.13988, 0.1655439), Orientation(-0.08227, 0.03960282, 0.05031847, -0.9945508), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 119,current eyeGaze_left: Position (-0.2097037, 1.13988, 0.1655439), Orientation(-0.08227, 0.03960282, 0.05031847, -0.9945508), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 133,current eyeGaze_left: Position (-0.2096556, 1.139853, 0.1654688), Orientation(-0.08202988, 0.039575, 0.05036946, -0.9945692), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 146,current eyeGaze_left: Position (-0.2096556, 1.139853, 0.1654688), Orientation(-0.08202988, 0.039575, 0.05036946, -0.9945692), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 162,current eyeGaze_left: Position (-0.2096415, 1.139809, 0.1653962), Orientation(-0.08399195, 0.03940209, 0.05037092, -0.9944121), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 177,current eyeGaze_left: Position (-0.2096415, 1.139809, 0.1653962), Orientation(-0.08399195, 0.03940209, 0.05037092, -0.9944121), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 193,current eyeGaze_left: Position (-0.2096467, 1.139775, 0.165324), Orientation(-0.08319209, 0.03921166, 0.05051873, -0.9944795), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 204,current eyeGaze_left: Position (-0.2096467, 1.139775, 0.165324), Orientation(-0.08319209, 0.03921166, 0.05051873, -0.9944795), Confidence: 0.5

