Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 450,current eyeGaze_left: Position (-0.2561748, 1.14043, 0.157178), Orientation(-0.1239589, 0.02830741, 0.005743387, -0.9918668), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 464,current eyeGaze_left: Position (-0.2562032, 1.140432, 0.1572786), Orientation(-0.1240526, 0.02706712, 0.005700043, -0.99189), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 478,current eyeGaze_left: Position (-0.2562032, 1.140432, 0.1572786), Orientation(-0.1240526, 0.02706712, 0.005700043, -0.99189), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 492,current eyeGaze_left: Position (-0.2562032, 1.140432, 0.1572786), Orientation(-0.1240526, 0.02706712, 0.005700043, -0.99189), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 506,current eyeGaze_left: Position (-0.2561289, 1.14043, 0.1573666), Orientation(-0.1260743, 0.02710841, 0.00580743, -0.9916334), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 519,current eyeGaze_left: Position (-0.2561289, 1.14043, 0.1573666), Orientation(-0.1260743, 0.02710841, 0.00580743, -0.9916334), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 534,current eyeGaze_left: Position (-0.2560114, 1.140415, 0.1574345), Orientation(-0.1258176, 0.02746232, 0.006057289, -0.9916547), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 547,current eyeGaze_left: Position (-0.2560114, 1.140415, 0.1574345), Orientation(-0.1258176, 0.02746232, 0.006057289, -0.9916547), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 561,current eyeGaze_left: Position (-0.2560114, 1.140415, 0.1574345), Orientation(-0.1258176, 0.02746232, 0.006057289, -0.9916547), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 576,current eyeGaze_left: Position (-0.2559166, 1.140586, 0.1573863), Orientation(-0.1266482, 0.02764483, 0.005956057, -0.9915447), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 590,current eyeGaze_left: Position (-0.2559166, 1.140586, 0.1573863), Orientation(-0.1266482, 0.02764483, 0.005956057, -0.9915447), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 603,current eyeGaze_left: Position (-0.2558286, 1.140487, 0.157366), Orientation(-0.121576, 0.02704454, 0.006140462, -0.9921947), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 617,current eyeGaze_left: Position (-0.2558286, 1.140487, 0.157366), Orientation(-0.121576, 0.02704454, 0.006140462, -0.9921947), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 631,current eyeGaze_left: Position (-0.2558175, 1.140369, 0.1573316), Orientation(-0.1210104, 0.02708161, 0.006280039, -0.9922619), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 645,current eyeGaze_left: Position (-0.2558175, 1.140369, 0.1573316), Orientation(-0.1210104, 0.02708161, 0.006280039, -0.9922619), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 660,current eyeGaze_left: Position (-0.2558175, 1.140369, 0.1573316), Orientation(-0.1210104, 0.02708161, 0.006280039, -0.9922619), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 673,current eyeGaze_left: Position (-0.25583, 1.140381, 0.1572425), Orientation(-0.1245749, 0.02680187, 0.006044356, -0.9918298), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 687,current eyeGaze_left: Position (-0.25583, 1.140381, 0.1572425), Orientation(-0.1245749, 0.02680187, 0.006044356, -0.9918298), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 701,current eyeGaze_left: Position (-0.2558936, 1.140279, 0.1571872), Orientation(-0.1246376, 0.02609889, 0.006026782, -0.9918407), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 715,current eyeGaze_left: Position (-0.2558936, 1.140279, 0.1571872), Orientation(-0.1246376, 0.02609889, 0.006026782, -0.9918407), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 729,current eyeGaze_left: Position (-0.2559756, 1.140224, 0.1571126), Orientation(-0.1251234, 0.02581625, 0.005930343, -0.9917874), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 742,current eyeGaze_left: Position (-0.2559756, 1.140224, 0.1571126), Orientation(-0.1251234, 0.02581625, 0.005930343, -0.9917874), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 757,current eyeGaze_left: Position (-0.2559756, 1.140224, 0.1571126), Orientation(-0.1251234, 0.02581625, 0.005930343, -0.9917874), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 771,current eyeGaze_left: Position (-0.2560438, 1.140181, 0.1570742), Orientation(-0.1257588, 0.02622495, 0.005954331, -0.9916963), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 783,current eyeGaze_left: Position (-0.2560438, 1.140181, 0.1570742), Orientation(-0.1257588, 0.02622495, 0.005954331, -0.9916963), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 799,current eyeGaze_left: Position (-0.2561105, 1.140172, 0.1569827), Orientation(-0.1256141, 0.02783943, 0.005994902, -0.9916704), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 812,current eyeGaze_left: Position (-0.2561105, 1.140172, 0.1569827), Orientation(-0.1256141, 0.02783943, 0.005994902, -0.9916704), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 826,current eyeGaze_left: Position (-0.2561105, 1.140172, 0.1569827), Orientation(-0.1256141, 0.02783943, 0.005994902, -0.9916704), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 840,current eyeGaze_left: Position (-0.2561866, 1.140204, 0.1568845), Orientation(-0.125663, 0.02786379, 0.005885433, -0.9916642), Confidence: 0.5

