
Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 184,current eyeGaze_left: Position (0.02253344, 1.149639, 0.2102372), Orientation(0.02295629, 0.08023126, -0.01483038, 0.9964015), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 197,current eyeGaze_left: Position (0.02290656, 1.14951, 0.2099566), Orientation(0.06462661, -0.005956413, -0.02719285, 0.9975211), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 210,current eyeGaze_left: Position (0.02290656, 1.14951, 0.2099566), Orientation(0.06462661, -0.005956413, -0.02719285, 0.9975211), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 225,current eyeGaze_left: Position (0.02315381, 1.149298, 0.2097628), Orientation(0.09065907, -0.01759749, -0.02970152, 0.9952835), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 238,current eyeGaze_left: Position (0.02315381, 1.149298, 0.2097628), Orientation(0.09065907, -0.01759749, -0.02970152, 0.9952835), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 253,current eyeGaze_left: Position (0.02315381, 1.149298, 0.2097628), Orientation(0.09065907, -0.01759749, -0.02970152, 0.9952835), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 267,current eyeGaze_left: Position (0.02337249, 1.149257, 0.2096038), Orientation(0.110293, -0.01742358, -0.03044342, 0.99328), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 280,current eyeGaze_left: Position (0.02337249, 1.149257, 0.2096038), Orientation(0.110293, -0.01742358, -0.03044342, 0.99328), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 307,current eyeGaze_left: Position (0.02364232, 1.149275, 0.2095497), Orientation(0.1104818, -0.01813741, -0.03057959, 0.993242), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 320,current eyeGaze_left: Position (0.02364232, 1.149275, 0.2095497), Orientation(0.1104818, -0.01813741, -0.03057959, 0.993242), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 335,current eyeGaze_left: Position (0.02384369, 1.149279, 0.2096087), Orientation(0.1104882, -0.01780598, -0.03064804, 0.9932452), Confidence: 0.5

