Timestamp: 11/24/2024 1:56:27 PM, Millisecond: 824,current eyeGaze_left: Position (-0.09638935, 1.087269, -0.04752554), Orientation(0.03160195, -0.007330859, -0.03618459, 0.9988185), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 185,current eyeGaze_left: Position (-0.09288314, 1.0926, -0.03959879), Orientation(0.0383929, -0.006303139, -0.03476336, 0.998638), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 191,current eyeGaze_left: Position (-0.09288314, 1.0926, -0.03959879), Orientation(0.0383929, -0.006303139, -0.03476336, 0.998638), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 198,current eyeGaze_left: Position (-0.09288314, 1.0926, -0.03959879), Orientation(0.0383929, -0.006303139, -0.03476336, 0.998638), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 219,current eyeGaze_left: Position (-0.09235501, 1.093206, -0.03882103), Orientation(0.04037822, -0.006974923, -0.03433605, 0.99857), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 241,current eyeGaze_left: Position (-0.09235501, 1.093206, -0.03882103), Orientation(0.04037822, -0.006974923, -0.03433605, 0.99857), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 256,current eyeGaze_left: Position (-0.09170821, 1.093923, -0.03793735), Orientation(0.03798614, -0.006397231, -0.03381283, 0.9986856), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 272,current eyeGaze_left: Position (-0.09170821, 1.093923, -0.03793735), Orientation(0.03798614, -0.006397231, -0.03381283, 0.9986856), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 291,current eyeGaze_left: Position (-0.09095316, 1.094787, -0.03698487), Orientation(0.03904858, -0.006059671, -0.03334817, 0.9986624), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 306,current eyeGaze_left: Position (-0.09095316, 1.094787, -0.03698487), Orientation(0.03904858, -0.006059671, -0.03334817, 0.9986624), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 322,current eyeGaze_left: Position (-0.09011488, 1.09571, -0.03593586), Orientation(0.04425543, 0.01889902, -0.03142029, 0.9983472), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 336,current eyeGaze_left: Position (-0.09011488, 1.09571, -0.03593586), Orientation(0.04425543, 0.01889902, -0.03142029, 0.9983472), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 353,current eyeGaze_left: Position (-0.08922156, 1.096874, -0.03490494), Orientation(0.05125706, 0.02622021, -0.03061675, 0.9978716), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 368,current eyeGaze_left: Position (-0.08922156, 1.096874, -0.03490494), Orientation(0.05125706, 0.02622021, -0.03061675, 0.9978716), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 383,current eyeGaze_left: Position (-0.08817127, 1.098095, -0.03375854), Orientation(0.08087825, 0.02457867, -0.03059383, 0.9959511), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 397,current eyeGaze_left: Position (-0.08817127, 1.098095, -0.03375854), Orientation(0.08087825, 0.02457867, -0.03059383, 0.9959511), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 413,current eyeGaze_left: Position (-0.08705303, 1.099061, -0.03246208), Orientation(0.09438547, 0.01208457, -0.03105933, 0.9949779), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 427,current eyeGaze_left: Position (-0.08705303, 1.099061, -0.03246208), Orientation(0.09438547, 0.01208457, -0.03105933, 0.9949779), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 443,current eyeGaze_left: Position (-0.08705303, 1.099061, -0.03246208), Orientation(0.09438547, 0.01208457, -0.03105933, 0.9949779), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 457,current eyeGaze_left: Position (-0.08599074, 1.099825, -0.03106144), Orientation(0.1135507, 0.004504651, -0.03138124, 0.9930262), Confidence: 0.5

