
Timestamp: 11/24/2024 1:59:11 PM, Millisecond: 736,current eyeGaze_left: Position (0.0005935803, 1.089754, -0.004416707), Orientation(0.129366, -0.006858239, -0.01566471, 0.9914495), Confidence: 0.5

Timestamp: 11/24/2024 1:59:11 PM, Millisecond: 750,current eyeGaze_left: Position (0.0006171986, 1.089839, -0.004375131), Orientation(0.1294259, -0.007127104, -0.01566225, 0.9914399), Confidence: 0.5

Timestamp: 11/24/2024 1:59:11 PM, Millisecond: 764,current eyeGaze_left: Position (0.0006171986, 1.089839, -0.004375131), Orientation(0.1294259, -0.007127104, -0.01566225, 0.9914399), Confidence: 0.5

Timestamp: 11/24/2024 1:59:11 PM, Millisecond: 778,current eyeGaze_left: Position (0.0006589778, 1.089838, -0.004359494), Orientation(0.1299983, -0.007537084, -0.015707, 0.9913611), Confidence: 0.5

Timestamp: 11/24/2024 1:59:11 PM, Millisecond: 791,current eyeGaze_left: Position (0.0006589778, 1.089838, -0.004359494), Orientation(0.1299983, -0.007537084, -0.015707, 0.9913611), Confidence: 0.5

Timestamp: 11/24/2024 1:59:11 PM, Millisecond: 806,current eyeGaze_left: Position (0.0006589778, 1.089838, -0.004359494), Orientation(0.1299983, -0.007537084, -0.015707, 0.9913611), Confidence: 0.5

Timestamp: 11/24/2024 1:59:11 PM, Millisecond: 820,current eyeGaze_left: Position (0.0007318035, 1.089733, -0.004364393), Orientation(0.1294072, -0.005396681, -0.01520911, 0.9914602), Confidence: 0.5

Timestamp: 11/24/2024 1:59:11 PM, Millisecond: 833,current eyeGaze_left: Position (0.0007318035, 1.089733, -0.004364393), Orientation(0.1294072, -0.005396681, -0.01520911, 0.9914602), Confidence: 0.5

Timestamp: 11/24/2024 1:59:11 PM, Millisecond: 861,current eyeGaze_left: Position (0.0008123778, 1.089507, -0.004366121), Orientation(0.1285417, -0.005977324, -0.01501128, 0.9915724), Confidence: 0.5

Timestamp: 11/24/2024 1:59:11 PM, Millisecond: 874,current eyeGaze_left: Position (0.0008123778, 1.089507, -0.004366121), Orientation(0.1285417, -0.005977324, -0.01501128, 0.9915724), Confidence: 0.5

Timestamp: 11/24/2024 1:59:11 PM, Millisecond: 888,current eyeGaze_left: Position (0.001004007, 1.089294, -0.004432327), Orientation(0.1262745, -0.006013881, -0.01477577, 0.9918671), Confidence: 0.5

Timestamp: 11/24/2024 1:59:11 PM, Millisecond: 901,current eyeGaze_left: Position (0.001004007, 1.089294, -0.004432327), Orientation(0.1262745, -0.006013881, -0.01477577, 0.9918671), Confidence: 0.5

Timestamp: 11/24/2024 1:59:11 PM, Millisecond: 915,current eyeGaze_left: Position (0.001274828, 1.089073, -0.004504376), Orientation(0.1278763, -0.007891601, -0.01503389, 0.9916448), Confidence: 0.5

Timestamp: 11/24/2024 1:59:11 PM, Millisecond: 930,current eyeGaze_left: Position (0.001274828, 1.089073, -0.004504376), Orientation(0.1278763, -0.007891601, -0.01503389, 0.9916448), Confidence: 0.5

Timestamp: 11/24/2024 1:59:11 PM, Millisecond: 945,current eyeGaze_left: Position (0.001596555, 1.088917, -0.004602192), Orientation(0.1265847, -0.007895217, -0.01516392, 0.9918085), Confidence: 0.5

Timestamp: 11/24/2024 1:59:11 PM, Millisecond: 957,current eyeGaze_left: Position (0.001596555, 1.088917, -0.004602192), Orientation(0.1265847, -0.007895217, -0.01516392, 0.9918085), Confidence: 0.5

Timestamp: 11/24/2024 1:59:11 PM, Millisecond: 970,current eyeGaze_left: Position (0.001596555, 1.088917, -0.004602192), Orientation(0.1265847, -0.007895217, -0.01516392, 0.9918085), Confidence: 0.5

Timestamp: 11/24/2024 1:59:11 PM, Millisecond: 984,current eyeGaze_left: Position (0.001856472, 1.088783, -0.004684319), Orientation(0.1285799, -0.008911728, -0.01559881, 0.9915364), Confidence: 0.5

Timestamp: 11/24/2024 1:59:11 PM, Millisecond: 998,current eyeGaze_left: Position (0.001856472, 1.088783, -0.004684319), Orientation(0.1285799, -0.008911728, -0.01559881, 0.9915364), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 12,current eyeGaze_left: Position (0.002063297, 1.088731, -0.004763376), Orientation(0.1330387, -0.007762134, -0.01584061, 0.9909538), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 26,current eyeGaze_left: Position (0.002063297, 1.088731, -0.004763376), Orientation(0.1330387, -0.007762134, -0.01584061, 0.9909538), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 41,current eyeGaze_left: Position (0.002063297, 1.088731, -0.004763376), Orientation(0.1330387, -0.007762134, -0.01584061, 0.9909538), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 54,current eyeGaze_left: Position (0.002167467, 1.088707, -0.004794014), Orientation(0.1338785, -0.008699715, -0.0158346, 0.9908331), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 68,current eyeGaze_left: Position (0.002167467, 1.088707, -0.004794014), Orientation(0.1338785, -0.008699715, -0.0158346, 0.9908331), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 82,current eyeGaze_left: Position (0.002286356, 1.088718, -0.004882949), Orientation(0.1323361, -0.008804369, -0.01556149, 0.9910436), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 96,current eyeGaze_left: Position (0.002286356, 1.088718, -0.004882949), Orientation(0.1323361, -0.008804369, -0.01556149, 0.9910436), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 110,current eyeGaze_left: Position (0.002395522, 1.088684, -0.004986937), Orientation(0.131014, -0.009587691, -0.01531771, 0.9912158), Confidence: 0.5

