Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 464,current eyeGaze_left: Position (0.02418545, 1.083917, -0.0157894), Orientation(0.1363958, -0.008327931, -0.02024773, 0.9904124), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 478,current eyeGaze_left: Position (0.02409316, 1.083939, -0.01573109), Orientation(0.1364244, -0.009241924, -0.0192611, 0.9904202), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 491,current eyeGaze_left: Position (0.02409316, 1.083939, -0.01573109), Orientation(0.1364244, -0.009241924, -0.0192611, 0.9904202), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 506,current eyeGaze_left: Position (0.02409316, 1.083939, -0.01573109), Orientation(0.1364244, -0.009241924, -0.0192611, 0.9904202), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 519,current eyeGaze_left: Position (0.02405944, 1.083991, -0.01564386), Orientation(0.1369641, -0.01102056, -0.01847853, 0.9903424), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 533,current eyeGaze_left: Position (0.02405944, 1.083991, -0.01564386), Orientation(0.1369641, -0.01102056, -0.01847853, 0.9903424), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 547,current eyeGaze_left: Position (0.02405821, 1.084092, -0.01553693), Orientation(0.1380079, -0.01177878, -0.0177809, 0.9902015), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 561,current eyeGaze_left: Position (0.02405821, 1.084092, -0.01553693), Orientation(0.1380079, -0.01177878, -0.0177809, 0.9902015), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 575,current eyeGaze_left: Position (0.02398355, 1.084176, -0.01537574), Orientation(0.1383556, -0.01169126, -0.01731643, 0.9901623), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 589,current eyeGaze_left: Position (0.02398355, 1.084176, -0.01537574), Orientation(0.1383556, -0.01169126, -0.01731643, 0.9901623), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 604,current eyeGaze_left: Position (0.02398355, 1.084176, -0.01537574), Orientation(0.1383556, -0.01169126, -0.01731643, 0.9901623), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 617,current eyeGaze_left: Position (0.02384556, 1.08426, -0.01517716), Orientation(0.1300563, 0.002927826, -0.01575729, 0.9913771), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 631,current eyeGaze_left: Position (0.02384556, 1.08426, -0.01517716), Orientation(0.1300563, 0.002927826, -0.01575729, 0.9913771), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 646,current eyeGaze_left: Position (0.02369108, 1.084307, -0.01498488), Orientation(0.1262526, 0.01161574, -0.01509966, 0.9918151), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 659,current eyeGaze_left: Position (0.02369108, 1.084307, -0.01498488), Orientation(0.1262526, 0.01161574, -0.01509966, 0.9918151), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 673,current eyeGaze_left: Position (0.02369108, 1.084307, -0.01498488), Orientation(0.1262526, 0.01161574, -0.01509966, 0.9918151), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 687,current eyeGaze_left: Position (0.02362384, 1.084274, -0.01482655), Orientation(0.125851, 0.01249078, -0.01522405, 0.9918538), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 701,current eyeGaze_left: Position (0.02362384, 1.084274, -0.01482655), Orientation(0.125851, 0.01249078, -0.01522405, 0.9918538), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 714,current eyeGaze_left: Position (0.02366214, 1.08417, -0.01471719), Orientation(0.1253112, 0.0128093, -0.01548465, 0.991914), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 728,current eyeGaze_left: Position (0.02366214, 1.08417, -0.01471719), Orientation(0.1253112, 0.0128093, -0.01548465, 0.991914), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 743,current eyeGaze_left: Position (0.02374526, 1.08409, -0.01468065), Orientation(0.1273689, 0.009461187, -0.01596619, 0.9916819), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 756,current eyeGaze_left: Position (0.02374526, 1.08409, -0.01468065), Orientation(0.1273689, 0.009461187, -0.01596619, 0.9916819), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 771,current eyeGaze_left: Position (0.02374526, 1.08409, -0.01468065), Orientation(0.1273689, 0.009461187, -0.01596619, 0.9916819), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 784,current eyeGaze_left: Position (0.02381726, 1.084062, -0.01471312), Orientation(0.1272694, 0.008683154, -0.01606934, 0.9917001), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 798,current eyeGaze_left: Position (0.02381726, 1.084062, -0.01471312), Orientation(0.1272694, 0.008683154, -0.01606934, 0.9917001), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 812,current eyeGaze_left: Position (0.02388257, 1.083972, -0.01479987), Orientation(0.1269846, 0.008567775, -0.01629148, 0.991734), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 826,current eyeGaze_left: Position (0.02388257, 1.083972, -0.01479987), Orientation(0.1269846, 0.008567775, -0.01629148, 0.991734), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 840,current eyeGaze_left: Position (0.02388257, 1.083972, -0.01479987), Orientation(0.1269846, 0.008567775, -0.01629148, 0.991734), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 853,current eyeGaze_left: Position (0.02390158, 1.083823, -0.01491784), Orientation(0.1268524, 0.006245295, -0.0166042, 0.991763), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 868,current eyeGaze_left: Position (0.02390158, 1.083823, -0.01491784), Orientation(0.1268524, 0.006245295, -0.0166042, 0.991763), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 882,current eyeGaze_left: Position (0.02385195, 1.083684, -0.01505245), Orientation(0.1254908, 0.002503267, -0.01696262, 0.9919466), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 896,current eyeGaze_left: Position (0.02385195, 1.083684, -0.01505245), Orientation(0.1254908, 0.002503267, -0.01696262, 0.9919466), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 910,current eyeGaze_left: Position (0.02385195, 1.083684, -0.01505245), Orientation(0.1254908, 0.002503267, -0.01696262, 0.9919466), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 923,current eyeGaze_left: Position (0.02383406, 1.083522, -0.01521274), Orientation(0.1262531, 0.001914608, -0.01710742, 0.9918486), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 938,current eyeGaze_left: Position (0.02383406, 1.083522, -0.01521274), Orientation(0.1262531, 0.001914608, -0.01710742, 0.9918486), Confidence: 0.5

