Timestamp: 11/24/2024 4:05:19 PM, Millisecond: 760,current eyeGaze_left: Position (0.1581009, 1.139816, 0.1047165), Orientation(0.01710922, -0.06369101, -0.01628755, 0.99769), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 122,current eyeGaze_left: Position (0.1281989, 1.139628, 0.1914934), Orientation(0.1056327, 0.009133233, -0.03832581, 0.9936244), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 134,current eyeGaze_left: Position (0.1281989, 1.139628, 0.1914934), Orientation(0.1056327, 0.009133233, -0.03832581, 0.9936244), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 153,current eyeGaze_left: Position (0.1263317, 1.139756, 0.198907), Orientation(0.1143993, 0.009011138, -0.03901331, 0.9926277), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 173,current eyeGaze_left: Position (0.1263317, 1.139756, 0.198907), Orientation(0.1143993, 0.009011138, -0.03901331, 0.9926277), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 191,current eyeGaze_left: Position (0.1243622, 1.14001, 0.2059689), Orientation(0.1127664, 0.01083011, -0.03886291, 0.9928021), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 210,current eyeGaze_left: Position (0.1223069, 1.140517, 0.2126119), Orientation(0.1127097, 0.01002058, -0.03906291, 0.9928092), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 226,current eyeGaze_left: Position (0.1223069, 1.140517, 0.2126119), Orientation(0.1127097, 0.01002058, -0.03906291, 0.9928092), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 244,current eyeGaze_left: Position (0.1200945, 1.141212, 0.2188248), Orientation(0.115014, 0.01350337, -0.03807832, 0.992542), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 259,current eyeGaze_left: Position (0.1200945, 1.141212, 0.2188248), Orientation(0.115014, 0.01350337, -0.03807832, 0.992542), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 276,current eyeGaze_left: Position (0.1200945, 1.141212, 0.2188248), Orientation(0.115014, 0.01350337, -0.03807832, 0.992542), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 290,current eyeGaze_left: Position (0.1178301, 1.141982, 0.2245593), Orientation(0.1222049, 0.01220891, -0.03685428, 0.9917453), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 306,current eyeGaze_left: Position (0.1178301, 1.141982, 0.2245593), Orientation(0.1222049, 0.01220891, -0.03685428, 0.9917453), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 320,current eyeGaze_left: Position (0.1156656, 1.142851, 0.2297061), Orientation(0.1565036, 0.01607425, -0.0353618, 0.9869133), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 334,current eyeGaze_left: Position (0.1156656, 1.142851, 0.2297061), Orientation(0.1565036, 0.01607425, -0.0353618, 0.9869133), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 349,current eyeGaze_left: Position (0.1135749, 1.143536, 0.2344483), Orientation(0.1614742, 0.01534981, -0.03390115, 0.9861751), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 363,current eyeGaze_left: Position (0.1135749, 1.143536, 0.2344483), Orientation(0.1614742, 0.01534981, -0.03390115, 0.9861751), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 379,current eyeGaze_left: Position (0.111561, 1.143896, 0.2386781), Orientation(0.1570039, 0.01429977, -0.03266338, 0.9869542), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 393,current eyeGaze_left: Position (0.111561, 1.143896, 0.2386781), Orientation(0.1570039, 0.01429977, -0.03266338, 0.9869542), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 408,current eyeGaze_left: Position (0.111561, 1.143896, 0.2386781), Orientation(0.1570039, 0.01429977, -0.03266338, 0.9869542), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 422,current eyeGaze_left: Position (0.1094838, 1.143958, 0.2421872), Orientation(0.1544384, 0.01564724, -0.03169601, 0.9873699), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 436,current eyeGaze_left: Position (0.1094838, 1.143958, 0.2421872), Orientation(0.1544384, 0.01564724, -0.03169601, 0.9873699), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 451,current eyeGaze_left: Position (0.1073535, 1.143757, 0.2453691), Orientation(0.1518573, 0.01407014, -0.03072769, 0.9878246), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 463,current eyeGaze_left: Position (0.1073535, 1.143757, 0.2453691), Orientation(0.1518573, 0.01407014, -0.03072769, 0.9878246), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 479,current eyeGaze_left: Position (0.1052787, 1.143215, 0.2481298), Orientation(0.1524288, 0.0153729, -0.02764957, 0.9878082), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 492,current eyeGaze_left: Position (0.1052787, 1.143215, 0.2481298), Orientation(0.1524288, 0.0153729, -0.02764957, 0.9878082), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 506,current eyeGaze_left: Position (0.1052787, 1.143215, 0.2481298), Orientation(0.1524288, 0.0153729, -0.02764957, 0.9878082), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 520,current eyeGaze_left: Position (0.1034332, 1.142337, 0.2504905), Orientation(0.1531843, 0.01539321, -0.02455259, 0.9877726), Confidence: 0.5

Timestamp: 11/24/2024 4:05:20 PM, Millisecond: 534,current eyeGaze_left: Position (0.1034332, 1.142337, 0.2504905), Orientation(0.1531843, 0.01539321, -0.02455259, 0.9877726), Confidence: 0.5

