Timestamp: 2/5/2025 12:58:18 AM, Millisecond: 743,current eyeGaze_left: Position (-0.00588581, 0.6996331, -0.03514461), Orientation(0.03199926, 0.02073151, -0.01395851, 0.9991754), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 202,current eyeGaze_left: Position (-0.01428815, 0.6972419, -0.03275783), Orientation(0.05725755, -0.005999078, -0.00346364, 0.9983354), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 213,current eyeGaze_left: Position (-0.01428815, 0.6972419, -0.03275783), Orientation(0.05725755, -0.005999078, -0.00346364, 0.9983354), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 232,current eyeGaze_left: Position (-0.01517469, 0.6968984, -0.03309435), Orientation(0.05896517, -0.005823363, -0.004755861, 0.9982318), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 251,current eyeGaze_left: Position (-0.01517469, 0.6968984, -0.03309435), Orientation(0.05896517, -0.005823363, -0.004755861, 0.9982318), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 270,current eyeGaze_left: Position (-0.01575298, 0.6964895, -0.03341734), Orientation(0.05908508, -0.006262619, -0.005892754, 0.998216), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 288,current eyeGaze_left: Position (-0.01575298, 0.6964895, -0.03341734), Orientation(0.05908508, -0.006262619, -0.005892754, 0.998216), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 305,current eyeGaze_left: Position (-0.01614808, 0.6961319, -0.03372373), Orientation(0.05854688, -0.005351191, -0.005843555, 0.9982534), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 320,current eyeGaze_left: Position (-0.01614808, 0.6961319, -0.03372373), Orientation(0.05854688, -0.005351191, -0.005843555, 0.9982534), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 337,current eyeGaze_left: Position (-0.01621592, 0.69603, -0.0339699), Orientation(0.0574984, -0.006616945, -0.004842197, 0.998312), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 353,current eyeGaze_left: Position (-0.01621592, 0.69603, -0.0339699), Orientation(0.0574984, -0.006616945, -0.004842197, 0.998312), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 369,current eyeGaze_left: Position (-0.01608666, 0.6960212, -0.03426855), Orientation(0.056903, -0.005294263, -0.004046356, 0.9983576), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 385,current eyeGaze_left: Position (-0.01608666, 0.6960212, -0.03426855), Orientation(0.056903, -0.005294263, -0.004046356, 0.9983576), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 400,current eyeGaze_left: Position (-0.01594299, 0.6960216, -0.03455599), Orientation(0.05692719, -0.006461148, -0.004575535, 0.998347), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 415,current eyeGaze_left: Position (-0.01594299, 0.6960216, -0.03455599), Orientation(0.05692719, -0.006461148, -0.004575535, 0.998347), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 429,current eyeGaze_left: Position (-0.01592661, 0.6956992, -0.03479955), Orientation(0.05742678, -0.003815843, -0.005618251, 0.9983268), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 444,current eyeGaze_left: Position (-0.01592661, 0.6956992, -0.03479955), Orientation(0.05742678, -0.003815843, -0.005618251, 0.9983268), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 458,current eyeGaze_left: Position (-0.01597186, 0.6952139, -0.03497206), Orientation(0.05403432, -0.00344608, -0.006359869, 0.998513), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 473,current eyeGaze_left: Position (-0.01597186, 0.6952139, -0.03497206), Orientation(0.05403432, -0.00344608, -0.006359869, 0.998513), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 487,current eyeGaze_left: Position (-0.01597186, 0.6952139, -0.03497206), Orientation(0.05403432, -0.00344608, -0.006359869, 0.998513), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 502,current eyeGaze_left: Position (-0.01639429, 0.6951091, -0.03506444), Orientation(0.05709213, -0.003040408, -0.006451983, 0.9983435), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 516,current eyeGaze_left: Position (-0.01639429, 0.6951091, -0.03506444), Orientation(0.05709213, -0.003040408, -0.006451983, 0.9983435), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 530,current eyeGaze_left: Position (-0.0171892, 0.6952748, -0.03510135), Orientation(0.05561634, -0.00149231, -0.006914762, 0.9984273), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 544,current eyeGaze_left: Position (-0.0171892, 0.6952748, -0.03510135), Orientation(0.05561634, -0.00149231, -0.006914762, 0.9984273), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 558,current eyeGaze_left: Position (-0.01822063, 0.6954015, -0.03513604), Orientation(0.05657226, 0.0002019207, -0.007174571, 0.9983727), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 573,current eyeGaze_left: Position (-0.01822063, 0.6954015, -0.03513604), Orientation(0.05657226, 0.0002019207, -0.007174571, 0.9983727), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 587,current eyeGaze_left: Position (-0.01822063, 0.6954015, -0.03513604), Orientation(0.05657226, 0.0002019207, -0.007174571, 0.9983727), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 600,current eyeGaze_left: Position (-0.01926887, 0.6951766, -0.03497821), Orientation(0.05627426, -0.003408937, -0.00756709, 0.9983809), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 615,current eyeGaze_left: Position (-0.01926887, 0.6951766, -0.03497821), Orientation(0.05627426, -0.003408937, -0.00756709, 0.9983809), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 628,current eyeGaze_left: Position (-0.02036607, 0.6948208, -0.03471812), Orientation(0.05709337, -0.006277734, -0.008197184, 0.9983155), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 642,current eyeGaze_left: Position (-0.02036607, 0.6948208, -0.03471812), Orientation(0.05709337, -0.006277734, -0.008197184, 0.9983155), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 656,current eyeGaze_left: Position (-0.02141414, 0.6945009, -0.03435824), Orientation(0.05849664, -0.006399922, -0.008443883, 0.9982315), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 671,current eyeGaze_left: Position (-0.02141414, 0.6945009, -0.03435824), Orientation(0.05849664, -0.006399922, -0.008443883, 0.9982315), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 684,current eyeGaze_left: Position (-0.02141414, 0.6945009, -0.03435824), Orientation(0.05849664, -0.006399922, -0.008443883, 0.9982315), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 698,current eyeGaze_left: Position (-0.02247976, 0.6941428, -0.03397611), Orientation(0.05977765, -0.006373954, -0.007813606, 0.9981608), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 712,current eyeGaze_left: Position (-0.02247976, 0.6941428, -0.03397611), Orientation(0.05977765, -0.006373954, -0.007813606, 0.9981608), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 726,current eyeGaze_left: Position (-0.02353743, 0.6938452, -0.03355867), Orientation(0.0557998, -0.007239074, -0.007144057, 0.9983903), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 740,current eyeGaze_left: Position (-0.02353743, 0.6938452, -0.03355867), Orientation(0.0557998, -0.007239074, -0.007144057, 0.9983903), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 754,current eyeGaze_left: Position (-0.02353743, 0.6938452, -0.03355867), Orientation(0.0557998, -0.007239074, -0.007144057, 0.9983903), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 768,current eyeGaze_left: Position (-0.02452836, 0.6936538, -0.03314069), Orientation(0.05635285, -0.006835936, -0.006367185, 0.9983672), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 781,current eyeGaze_left: Position (-0.02452836, 0.6936538, -0.03314069), Orientation(0.05635285, -0.006835936, -0.006367185, 0.9983672), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 796,current eyeGaze_left: Position (-0.02536158, 0.6936004, -0.03259106), Orientation(0.05833232, -0.007022045, -0.006084864, 0.9982541), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 810,current eyeGaze_left: Position (-0.02536158, 0.6936004, -0.03259106), Orientation(0.05833232, -0.007022045, -0.006084864, 0.9982541), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:19 AM, Millisecond: 824,current eyeGaze_left: Position (-0.02612945, 0.6936644, -0.03196846), Orientation(0.05999848, -0.006373108, -0.006217171, 0.9981588), Confidence: 0.9980469

