Timestamp: 2/5/2025 1:24:48 AM, Millisecond: 457,current eyeGaze_left: Position (-0.07669728, 0.6909291, 0.122281), Orientation(-0.004439647, -0.02631941, 0.004023205, 0.9996356), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:48 AM, Millisecond: 917,current eyeGaze_left: Position (-0.07579401, 0.6952317, 0.1259168), Orientation(0.03242203, -0.02405164, -0.0005408762, 0.9991847), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:48 AM, Millisecond: 926,current eyeGaze_left: Position (-0.07579401, 0.6952317, 0.1259168), Orientation(0.03242203, -0.02405164, -0.0005408762, 0.9991847), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:48 AM, Millisecond: 946,current eyeGaze_left: Position (-0.07527761, 0.6954058, 0.1261595), Orientation(0.03400241, -0.02453564, -0.001064365, 0.99912), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:48 AM, Millisecond: 963,current eyeGaze_left: Position (-0.07527761, 0.6954058, 0.1261595), Orientation(0.03400241, -0.02453564, -0.001064365, 0.99912), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:48 AM, Millisecond: 985,current eyeGaze_left: Position (-0.07474362, 0.6955405, 0.1263763), Orientation(0.03509953, -0.02261437, -0.001532854, 0.9991268), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 1,current eyeGaze_left: Position (-0.07474362, 0.6955405, 0.1263763), Orientation(0.03509953, -0.02261437, -0.001532854, 0.9991268), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 17,current eyeGaze_left: Position (-0.07421058, 0.695663, 0.1265921), Orientation(0.03541951, -0.02148557, -0.002092591, 0.9991392), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 36,current eyeGaze_left: Position (-0.07421058, 0.695663, 0.1265921), Orientation(0.03541951, -0.02148557, -0.002092591, 0.9991392), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 51,current eyeGaze_left: Position (-0.07371284, 0.6957905, 0.1267509), Orientation(0.03376602, -0.01367121, -0.002069479, 0.9993342), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 66,current eyeGaze_left: Position (-0.07371284, 0.6957905, 0.1267509), Orientation(0.03376602, -0.01367121, -0.002069479, 0.9993342), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 82,current eyeGaze_left: Position (-0.07329977, 0.6959388, 0.126861), Orientation(0.02128334, 0.005342013, -0.001336573, 0.9997584), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 96,current eyeGaze_left: Position (-0.07329977, 0.6959388, 0.126861), Orientation(0.02128334, 0.005342013, -0.001336573, 0.9997584), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 112,current eyeGaze_left: Position (-0.07298371, 0.6959924, 0.1267665), Orientation(0.02037815, 0.005233005, -0.001758926, 0.9997771), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 127,current eyeGaze_left: Position (-0.07298371, 0.6959924, 0.1267665), Orientation(0.02037815, 0.005233005, -0.001758926, 0.9997771), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 143,current eyeGaze_left: Position (-0.07298371, 0.6959924, 0.1267665), Orientation(0.02037815, 0.005233005, -0.001758926, 0.9997771), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 157,current eyeGaze_left: Position (-0.07271355, 0.6961083, 0.1267863), Orientation(0.02056302, 0.004960882, -0.002061459, 0.9997741), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 172,current eyeGaze_left: Position (-0.07271355, 0.6961083, 0.1267863), Orientation(0.02056302, 0.004960882, -0.002061459, 0.9997741), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 187,current eyeGaze_left: Position (-0.07248713, 0.6962627, 0.1267827), Orientation(0.0208887, 0.00800979, -0.002192887, 0.9997473), Confidence: 0.9980469

