Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 616,current eyeGaze_left: Position (-0.05861848, 0.6147704, 0.173976), Orientation(0.05832977, -0.01119817, 0.01830883, 0.9980667), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 629,current eyeGaze_left: Position (-0.05864016, 0.6147557, 0.1738835), Orientation(0.05732246, -0.01084116, 0.01814448, 0.998132), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 643,current eyeGaze_left: Position (-0.05864016, 0.6147557, 0.1738835), Orientation(0.05732246, -0.01084116, 0.01814448, 0.998132), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 657,current eyeGaze_left: Position (-0.05863565, 0.6147516, 0.1738548), Orientation(0.05797982, -0.01229108, 0.01763656, 0.9980863), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 670,current eyeGaze_left: Position (-0.05863565, 0.6147516, 0.1738548), Orientation(0.05797982, -0.01229108, 0.01763656, 0.9980863), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 685,current eyeGaze_left: Position (-0.0585525, 0.6147155, 0.173872), Orientation(0.05715586, -0.009808892, 0.01787021, 0.9981571), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 699,current eyeGaze_left: Position (-0.0585525, 0.6147155, 0.173872), Orientation(0.05715586, -0.009808892, 0.01787021, 0.9981571), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 714,current eyeGaze_left: Position (-0.0585525, 0.6147155, 0.173872), Orientation(0.05715586, -0.009808892, 0.01787021, 0.9981571), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 727,current eyeGaze_left: Position (-0.05850598, 0.6147462, 0.1739465), Orientation(0.05589726, -0.01118601, 0.01760604, 0.9982187), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 740,current eyeGaze_left: Position (-0.05850598, 0.6147462, 0.1739465), Orientation(0.05589726, -0.01118601, 0.01760604, 0.9982187), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 755,current eyeGaze_left: Position (-0.05844469, 0.6147934, 0.1740607), Orientation(0.05610977, -0.01128992, 0.01748558, 0.9982077), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 768,current eyeGaze_left: Position (-0.05844469, 0.6147934, 0.1740607), Orientation(0.05610977, -0.01128992, 0.01748558, 0.9982077), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 783,current eyeGaze_left: Position (-0.05844469, 0.6147934, 0.1740607), Orientation(0.05610977, -0.01128992, 0.01748558, 0.9982077), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 796,current eyeGaze_left: Position (-0.0583899, 0.6148852, 0.1741837), Orientation(0.05642841, -0.01142058, 0.01734543, 0.9981907), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 810,current eyeGaze_left: Position (-0.0583899, 0.6148852, 0.1741837), Orientation(0.05642841, -0.01142058, 0.01734543, 0.9981907), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 825,current eyeGaze_left: Position (-0.05832882, 0.6149325, 0.1743803), Orientation(0.05742884, -0.01300828, 0.01695425, 0.9981209), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 838,current eyeGaze_left: Position (-0.05832882, 0.6149325, 0.1743803), Orientation(0.05742884, -0.01300828, 0.01695425, 0.9981209), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 852,current eyeGaze_left: Position (-0.05827354, 0.6149924, 0.1746125), Orientation(0.05785623, -0.01134029, 0.01705327, 0.9981149), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 865,current eyeGaze_left: Position (-0.05827354, 0.6149924, 0.1746125), Orientation(0.05785623, -0.01134029, 0.01705327, 0.9981149), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 881,current eyeGaze_left: Position (-0.05827354, 0.6149924, 0.1746125), Orientation(0.05785623, -0.01134029, 0.01705327, 0.9981149), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 893,current eyeGaze_left: Position (-0.05819049, 0.6149529, 0.174949), Orientation(0.05837423, -0.008407955, 0.01724335, 0.9981104), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 907,current eyeGaze_left: Position (-0.05819049, 0.6149529, 0.174949), Orientation(0.05837423, -0.008407955, 0.01724335, 0.9981104), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 922,current eyeGaze_left: Position (-0.05816645, 0.6150636, 0.1752204), Orientation(0.05694459, -0.008339775, 0.01712007, 0.9981956), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 935,current eyeGaze_left: Position (-0.05816645, 0.6150636, 0.1752204), Orientation(0.05694459, -0.008339775, 0.01712007, 0.9981956), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 950,current eyeGaze_left: Position (-0.05816645, 0.6150636, 0.1752204), Orientation(0.05694459, -0.008339775, 0.01712007, 0.9981956), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 963,current eyeGaze_left: Position (-0.05814653, 0.6152192, 0.1754822), Orientation(0.05776627, -0.01090558, 0.01638684, 0.9981362), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 978,current eyeGaze_left: Position (-0.05814653, 0.6152192, 0.1754822), Orientation(0.05776627, -0.01090558, 0.01638684, 0.9981362), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:55 AM, Millisecond: 991,current eyeGaze_left: Position (-0.05811119, 0.6154553, 0.1757541), Orientation(0.05835782, -0.01088845, 0.01602249, 0.9981079), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 4,current eyeGaze_left: Position (-0.05811119, 0.6154553, 0.1757541), Orientation(0.05835782, -0.01088845, 0.01602249, 0.9981079), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 20,current eyeGaze_left: Position (-0.05808309, 0.6156157, 0.1759782), Orientation(0.06091816, -0.01032813, 0.01591515, 0.9979624), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 32,current eyeGaze_left: Position (-0.05808309, 0.6156157, 0.1759782), Orientation(0.06091816, -0.01032813, 0.01591515, 0.9979624), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 47,current eyeGaze_left: Position (-0.05808309, 0.6156157, 0.1759782), Orientation(0.06091816, -0.01032813, 0.01591515, 0.9979624), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 61,current eyeGaze_left: Position (-0.0580672, 0.615736, 0.1761695), Orientation(0.05876633, -0.009649303, 0.01597998, 0.9980972), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 74,current eyeGaze_left: Position (-0.0580672, 0.615736, 0.1761695), Orientation(0.05876633, -0.009649303, 0.01597998, 0.9980972), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 89,current eyeGaze_left: Position (-0.05804184, 0.6157129, 0.1762963), Orientation(0.06004257, -0.00708675, 0.01630481, 0.9980375), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 102,current eyeGaze_left: Position (-0.05804184, 0.6157129, 0.1762963), Orientation(0.06004257, -0.00708675, 0.01630481, 0.9980375), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 117,current eyeGaze_left: Position (-0.05804184, 0.6157129, 0.1762963), Orientation(0.06004257, -0.00708675, 0.01630481, 0.9980375), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 130,current eyeGaze_left: Position (-0.05804503, 0.6157119, 0.1764144), Orientation(0.05930018, -0.007143221, 0.01637726, 0.9980802), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 144,current eyeGaze_left: Position (-0.05804503, 0.6157119, 0.1764144), Orientation(0.05930018, -0.007143221, 0.01637726, 0.9980802), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 159,current eyeGaze_left: Position (-0.05806223, 0.6157004, 0.1765029), Orientation(0.05720227, -0.009828701, 0.01604688, 0.9981852), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 172,current eyeGaze_left: Position (-0.05806223, 0.6157004, 0.1765029), Orientation(0.05720227, -0.009828701, 0.01604688, 0.9981852), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 187,current eyeGaze_left: Position (-0.05804281, 0.6157187, 0.1765888), Orientation(0.05715783, -0.009737815, 0.01615534, 0.9981869), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 200,current eyeGaze_left: Position (-0.05804281, 0.6157187, 0.1765888), Orientation(0.05715783, -0.009737815, 0.01615534, 0.9981869), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 214,current eyeGaze_left: Position (-0.05804281, 0.6157187, 0.1765888), Orientation(0.05715783, -0.009737815, 0.01615534, 0.9981869), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 228,current eyeGaze_left: Position (-0.05808158, 0.6157511, 0.1765919), Orientation(0.05907078, -0.01318147, 0.01550576, 0.9980463), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 242,current eyeGaze_left: Position (-0.05808158, 0.6157511, 0.1765919), Orientation(0.05907078, -0.01318147, 0.01550576, 0.9980463), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 257,current eyeGaze_left: Position (-0.05811391, 0.6157864, 0.1765749), Orientation(0.05896171, -0.01023238, 0.01598365, 0.9980798), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 269,current eyeGaze_left: Position (-0.05811391, 0.6157864, 0.1765749), Orientation(0.05896171, -0.01023238, 0.01598365, 0.9980798), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 285,current eyeGaze_left: Position (-0.05811391, 0.6157864, 0.1765749), Orientation(0.05896171, -0.01023238, 0.01598365, 0.9980798), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 297,current eyeGaze_left: Position (-0.05805714, 0.6157775, 0.1765715), Orientation(0.06207857, -0.01009731, 0.01596132, 0.9978924), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 312,current eyeGaze_left: Position (-0.05805714, 0.6157775, 0.1765715), Orientation(0.06207857, -0.01009731, 0.01596132, 0.9978924), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 325,current eyeGaze_left: Position (-0.05808975, 0.6158273, 0.1764972), Orientation(0.06048472, -0.01010128, 0.01596046, 0.9979905), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 339,current eyeGaze_left: Position (-0.05808975, 0.6158273, 0.1764972), Orientation(0.06048472, -0.01010128, 0.01596046, 0.9979905), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 354,current eyeGaze_left: Position (-0.05811901, 0.6158372, 0.1764083), Orientation(0.06037321, -0.01078053, 0.01578708, 0.9979928), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 367,current eyeGaze_left: Position (-0.05811901, 0.6158372, 0.1764083), Orientation(0.06037321, -0.01078053, 0.01578708, 0.9979928), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 383,current eyeGaze_left: Position (-0.05811901, 0.6158372, 0.1764083), Orientation(0.06037321, -0.01078053, 0.01578708, 0.9979928), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 395,current eyeGaze_left: Position (-0.05813932, 0.6157533, 0.1763437), Orientation(0.05857955, -0.01188065, 0.01565812, 0.9980893), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 409,current eyeGaze_left: Position (-0.05813932, 0.6157533, 0.1763437), Orientation(0.05857955, -0.01188065, 0.01565812, 0.9980893), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 424,current eyeGaze_left: Position (-0.05818648, 0.6157216, 0.17624), Orientation(0.05832657, -0.01198462, 0.01571564, 0.9981019), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 437,current eyeGaze_left: Position (-0.05818648, 0.6157216, 0.17624), Orientation(0.05832657, -0.01198462, 0.01571564, 0.9981019), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 452,current eyeGaze_left: Position (-0.05825981, 0.6156724, 0.1761377), Orientation(0.05803216, -0.01196813, 0.01588596, 0.9981167), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 465,current eyeGaze_left: Position (-0.05825981, 0.6156724, 0.1761377), Orientation(0.05803216, -0.01196813, 0.01588596, 0.9981167), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 480,current eyeGaze_left: Position (-0.05825981, 0.6156724, 0.1761377), Orientation(0.05803216, -0.01196813, 0.01588596, 0.9981167), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 493,current eyeGaze_left: Position (-0.05830969, 0.615531, 0.1759914), Orientation(0.05511374, -0.01219673, 0.01617192, 0.9982746), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 507,current eyeGaze_left: Position (-0.05830969, 0.615531, 0.1759914), Orientation(0.05511374, -0.01219673, 0.01617192, 0.9982746), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 522,current eyeGaze_left: Position (-0.05846132, 0.6154564, 0.1759411), Orientation(0.05482134, -0.01185563, 0.0164809, 0.9982898), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 535,current eyeGaze_left: Position (-0.05846132, 0.6154564, 0.1759411), Orientation(0.05482134, -0.01185563, 0.0164809, 0.9982898), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 549,current eyeGaze_left: Position (-0.05846132, 0.6154564, 0.1759411), Orientation(0.05482134, -0.01185563, 0.0164809, 0.9982898), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 562,current eyeGaze_left: Position (-0.05862987, 0.6153928, 0.1759245), Orientation(0.05463644, -0.01142423, 0.01679172, 0.9982996), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 576,current eyeGaze_left: Position (-0.05862987, 0.6153928, 0.1759245), Orientation(0.05463644, -0.01142423, 0.01679172, 0.9982996), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 591,current eyeGaze_left: Position (-0.05878231, 0.6153395, 0.1759882), Orientation(0.05479941, -0.01043106, 0.01713636, 0.9982958), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 604,current eyeGaze_left: Position (-0.05878231, 0.6153395, 0.1759882), Orientation(0.05479941, -0.01043106, 0.01713636, 0.9982958), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 619,current eyeGaze_left: Position (-0.05878231, 0.6153395, 0.1759882), Orientation(0.05479941, -0.01043106, 0.01713636, 0.9982958), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 631,current eyeGaze_left: Position (-0.05890649, 0.6153231, 0.1760116), Orientation(0.05648402, -0.01000655, 0.01728223, 0.9982038), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 648,current eyeGaze_left: Position (-0.05890649, 0.6153231, 0.1760116), Orientation(0.05648402, -0.01000655, 0.01728223, 0.9982038), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 660,current eyeGaze_left: Position (-0.05899376, 0.6153359, 0.1760437), Orientation(0.05655368, -0.00976927, 0.01732125, 0.9982015), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 673,current eyeGaze_left: Position (-0.05899376, 0.6153359, 0.1760437), Orientation(0.05655368, -0.00976927, 0.01732125, 0.9982015), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 688,current eyeGaze_left: Position (-0.05900108, 0.6152763, 0.1760704), Orientation(0.05670026, -0.01002793, 0.01731717, 0.9981906), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 701,current eyeGaze_left: Position (-0.05900108, 0.6152763, 0.1760704), Orientation(0.05670026, -0.01002793, 0.01731717, 0.9981906), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 715,current eyeGaze_left: Position (-0.05900108, 0.6152763, 0.1760704), Orientation(0.05670026, -0.01002793, 0.01731717, 0.9981906), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 729,current eyeGaze_left: Position (-0.05902889, 0.6153329, 0.1761115), Orientation(0.0575906, -0.01137243, 0.01701772, 0.9981306), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 743,current eyeGaze_left: Position (-0.05902889, 0.6153329, 0.1761115), Orientation(0.0575906, -0.01137243, 0.01701772, 0.9981306), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 758,current eyeGaze_left: Position (-0.05905051, 0.615401, 0.1761799), Orientation(0.05865396, -0.01203097, 0.01678428, 0.9980647), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 771,current eyeGaze_left: Position (-0.05905051, 0.615401, 0.1761799), Orientation(0.05865396, -0.01203097, 0.01678428, 0.9980647), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 786,current eyeGaze_left: Position (-0.05905051, 0.615401, 0.1761799), Orientation(0.05865396, -0.01203097, 0.01678428, 0.9980647), Confidence: 0.9980469

