Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 43,current eyeGaze_left: Position (-0.04363312, 1.076215, 0.001017542), Orientation(-0.1327612, 0.1252977, -0.0385872, 0.9824388), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 396,current eyeGaze_left: Position (-0.04064218, 1.079252, 0.003066581), Orientation(0.1147889, 0.01468191, -0.05438089, 0.9917917), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 405,current eyeGaze_left: Position (-0.04064218, 1.079252, 0.003066581), Orientation(0.1147889, 0.01468191, -0.05438089, 0.9917917), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 423,current eyeGaze_left: Position (-0.04064218, 1.079252, 0.003066581), Orientation(0.1147889, 0.01468191, -0.05438089, 0.9917917), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 440,current eyeGaze_left: Position (-0.04060666, 1.079667, 0.003598457), Orientation(0.1175701, 0.01698519, -0.05291482, 0.9915083), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 462,current eyeGaze_left: Position (-0.04062631, 1.080051, 0.004191312), Orientation(0.1142415, 0.01677682, -0.05158999, 0.9919708), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 478,current eyeGaze_left: Position (-0.04062631, 1.080051, 0.004191312), Orientation(0.1142415, 0.01677682, -0.05158999, 0.9919708), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 496,current eyeGaze_left: Position (-0.04062631, 1.080051, 0.004191312), Orientation(0.1142415, 0.01677682, -0.05158999, 0.9919708), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 511,current eyeGaze_left: Position (-0.04068793, 1.080426, 0.004793662), Orientation(0.1154114, 0.01837567, -0.05028265, 0.9918741), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 528,current eyeGaze_left: Position (-0.04068793, 1.080426, 0.004793662), Orientation(0.1154114, 0.01837567, -0.05028265, 0.9918741), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 543,current eyeGaze_left: Position (-0.04077712, 1.080814, 0.005413656), Orientation(0.111195, 0.01675964, -0.04976359, 0.9924104), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 561,current eyeGaze_left: Position (-0.04077712, 1.080814, 0.005413656), Orientation(0.111195, 0.01675964, -0.04976359, 0.9924104), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 574,current eyeGaze_left: Position (-0.04087307, 1.081213, 0.006024416), Orientation(0.07581925, 0.0100996, -0.04993689, 0.9958192), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 591,current eyeGaze_left: Position (-0.04087307, 1.081213, 0.006024416), Orientation(0.07581925, 0.0100996, -0.04993689, 0.9958192), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 605,current eyeGaze_left: Position (-0.04095509, 1.081689, 0.006578346), Orientation(0.07709788, -0.0219195, -0.05370593, 0.9953347), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 620,current eyeGaze_left: Position (-0.04095509, 1.081689, 0.006578346), Orientation(0.07709788, -0.0219195, -0.05370593, 0.9953347), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 635,current eyeGaze_left: Position (-0.04100768, 1.082138, 0.007043357), Orientation(0.07992868, -0.02371703, -0.05361944, 0.9950748), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 648,current eyeGaze_left: Position (-0.04100768, 1.082138, 0.007043357), Orientation(0.07992868, -0.02371703, -0.05361944, 0.9950748), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 664,current eyeGaze_left: Position (-0.04109651, 1.082483, 0.00743677), Orientation(0.08075925, -0.01418395, -0.05205477, 0.9952724), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 678,current eyeGaze_left: Position (-0.04109651, 1.082483, 0.00743677), Orientation(0.08075925, -0.01418395, -0.05205477, 0.9952724), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 694,current eyeGaze_left: Position (-0.04109651, 1.082483, 0.00743677), Orientation(0.08075925, -0.01418395, -0.05205477, 0.9952724), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 706,current eyeGaze_left: Position (-0.04129435, 1.082703, 0.007753112), Orientation(0.08411823, 0.01023604, -0.0485511, 0.9952195), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 721,current eyeGaze_left: Position (-0.04129435, 1.082703, 0.007753112), Orientation(0.08411823, 0.01023604, -0.0485511, 0.9952195), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 734,current eyeGaze_left: Position (-0.04152426, 1.082903, 0.007984856), Orientation(0.09965297, 0.01652619, -0.04735024, 0.9937575), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 748,current eyeGaze_left: Position (-0.04152426, 1.082903, 0.007984856), Orientation(0.09965297, 0.01652619, -0.04735024, 0.9937575), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 763,current eyeGaze_left: Position (-0.04152426, 1.082903, 0.007984856), Orientation(0.09965297, 0.01652619, -0.04735024, 0.9937575), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 776,current eyeGaze_left: Position (-0.04180353, 1.083078, 0.008150576), Orientation(0.1283077, 0.02152572, -0.04635347, 0.9904166), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 791,current eyeGaze_left: Position (-0.04180353, 1.083078, 0.008150576), Orientation(0.1283077, 0.02152572, -0.04635347, 0.9904166), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 805,current eyeGaze_left: Position (-0.04214094, 1.083144, 0.008280573), Orientation(0.1293198, 0.02193, -0.04562355, 0.9903101), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 818,current eyeGaze_left: Position (-0.04214094, 1.083144, 0.008280573), Orientation(0.1293198, 0.02193, -0.04562355, 0.9903101), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 834,current eyeGaze_left: Position (-0.04246111, 1.083158, 0.008309305), Orientation(0.1311297, 0.02054887, -0.04540746, 0.9901116), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 846,current eyeGaze_left: Position (-0.04246111, 1.083158, 0.008309305), Orientation(0.1311297, 0.02054887, -0.04540746, 0.9901116), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 861,current eyeGaze_left: Position (-0.04246111, 1.083158, 0.008309305), Orientation(0.1311297, 0.02054887, -0.04540746, 0.9901116), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 875,current eyeGaze_left: Position (-0.04270469, 1.08311, 0.008214199), Orientation(0.1308122, 0.02054116, -0.04511917, 0.990167), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 891,current eyeGaze_left: Position (-0.04270469, 1.08311, 0.008214199), Orientation(0.1308122, 0.02054116, -0.04511917, 0.990167), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 903,current eyeGaze_left: Position (-0.04289555, 1.082965, 0.008077826), Orientation(0.1298724, 0.01898359, -0.04524508, 0.990316), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 917,current eyeGaze_left: Position (-0.04289555, 1.082965, 0.008077826), Orientation(0.1298724, 0.01898359, -0.04524508, 0.990316), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 932,current eyeGaze_left: Position (-0.04303038, 1.082708, 0.007905242), Orientation(0.1287344, 0.01910459, -0.04533136, 0.9904583), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 945,current eyeGaze_left: Position (-0.04303038, 1.082708, 0.007905242), Orientation(0.1287344, 0.01910459, -0.04533136, 0.9904583), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 960,current eyeGaze_left: Position (-0.04303038, 1.082708, 0.007905242), Orientation(0.1287344, 0.01910459, -0.04533136, 0.9904583), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 973,current eyeGaze_left: Position (-0.04308941, 1.082407, 0.007690065), Orientation(0.1271738, 0.02028428, -0.04535093, 0.9906355), Confidence: 0.5

Timestamp: 11/24/2024 7:38:22 PM, Millisecond: 988,current eyeGaze_left: Position (-0.04308941, 1.082407, 0.007690065), Orientation(0.1271738, 0.02028428, -0.04535093, 0.9906355), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 2,current eyeGaze_left: Position (-0.04307248, 1.082201, 0.007444591), Orientation(0.1329759, 0.01978227, -0.04558564, 0.9898729), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 15,current eyeGaze_left: Position (-0.04307248, 1.082201, 0.007444591), Orientation(0.1329759, 0.01978227, -0.04558564, 0.9898729), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 30,current eyeGaze_left: Position (-0.04312086, 1.082088, 0.007255307), Orientation(0.1335387, 0.02012816, -0.04535379, 0.9898006), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 43,current eyeGaze_left: Position (-0.04312086, 1.082088, 0.007255307), Orientation(0.1335387, 0.02012816, -0.04535379, 0.9898006), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 59,current eyeGaze_left: Position (-0.04312086, 1.082088, 0.007255307), Orientation(0.1335387, 0.02012816, -0.04535379, 0.9898006), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 71,current eyeGaze_left: Position (-0.04339665, 1.082041, 0.007196057), Orientation(0.1330904, 0.02225061, -0.04506203, 0.989829), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 85,current eyeGaze_left: Position (-0.04339665, 1.082041, 0.007196057), Orientation(0.1330904, 0.02225061, -0.04506203, 0.989829), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 100,current eyeGaze_left: Position (-0.0438165, 1.082051, 0.007282586), Orientation(0.1320352, 0.02449659, -0.04472958, 0.9899324), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 113,current eyeGaze_left: Position (-0.0438165, 1.082051, 0.007282586), Orientation(0.1320352, 0.02449659, -0.04472958, 0.9899324), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 128,current eyeGaze_left: Position (-0.0442859, 1.082061, 0.007407048), Orientation(0.1317732, 0.02504038, -0.0446985, 0.989955), Confidence: 0.5

