Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 126,current eyeGaze_left: Position (-0.1428232, 0.9805624, 0.2573248), Orientation(-0.007415035, -0.09118462, -0.001436491, 0.9958054), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 139,current eyeGaze_left: Position (-0.1428709, 0.9805527, 0.2572989), Orientation(-0.007811811, -0.0912151, -0.001427854, 0.9957995), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 154,current eyeGaze_left: Position (-0.1428709, 0.9805527, 0.2572989), Orientation(-0.007811811, -0.0912151, -0.001427854, 0.9957995), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 168,current eyeGaze_left: Position (-0.1428709, 0.9805527, 0.2572989), Orientation(-0.007811811, -0.0912151, -0.001427854, 0.9957995), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 181,current eyeGaze_left: Position (-0.1429119, 0.9805503, 0.2572913), Orientation(-0.007789358, -0.09128042, -0.001368412, 0.9957939), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 195,current eyeGaze_left: Position (-0.1429119, 0.9805503, 0.2572913), Orientation(-0.007789358, -0.09128042, -0.001368412, 0.9957939), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 209,current eyeGaze_left: Position (-0.1428987, 0.9805483, 0.2572109), Orientation(-0.009100763, -0.1159047, -0.00511079, 0.9932054), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 223,current eyeGaze_left: Position (-0.1428987, 0.9805483, 0.2572109), Orientation(-0.009100763, -0.1159047, -0.00511079, 0.9932054), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 237,current eyeGaze_left: Position (-0.1428987, 0.9805483, 0.2572109), Orientation(-0.009100763, -0.1159047, -0.00511079, 0.9932054), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 251,current eyeGaze_left: Position (-0.1428696, 0.9805442, 0.2572104), Orientation(-0.008946537, -0.1201734, -0.005688396, 0.9926962), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 265,current eyeGaze_left: Position (-0.1428696, 0.9805442, 0.2572104), Orientation(-0.008946537, -0.1201734, -0.005688396, 0.9926962), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 279,current eyeGaze_left: Position (-0.1428425, 0.9805417, 0.2572176), Orientation(-0.007835534, -0.1223431, -0.006038771, 0.9924387), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 292,current eyeGaze_left: Position (-0.1428425, 0.9805417, 0.2572176), Orientation(-0.007835534, -0.1223431, -0.006038771, 0.9924387), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 306,current eyeGaze_left: Position (-0.1427502, 0.9805269, 0.2573268), Orientation(-0.007790637, -0.1223253, -0.006141242, 0.9924406), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 321,current eyeGaze_left: Position (-0.1427502, 0.9805269, 0.2573268), Orientation(-0.007790637, -0.1223253, -0.006141242, 0.9924406), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 335,current eyeGaze_left: Position (-0.1427502, 0.9805269, 0.2573268), Orientation(-0.007790637, -0.1223253, -0.006141242, 0.9924406), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 349,current eyeGaze_left: Position (-0.1427522, 0.9805574, 0.257345), Orientation(-0.01121957, -0.1163655, -0.005391158, 0.9931285), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 362,current eyeGaze_left: Position (-0.1427522, 0.9805574, 0.257345), Orientation(-0.01121957, -0.1163655, -0.005391158, 0.9931285), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 377,current eyeGaze_left: Position (-0.1428248, 0.9805486, 0.2573769), Orientation(-0.01144475, -0.09884267, -0.00271887, 0.9950336), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 390,current eyeGaze_left: Position (-0.1428248, 0.9805486, 0.2573769), Orientation(-0.01144475, -0.09884267, -0.00271887, 0.9950336), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 405,current eyeGaze_left: Position (-0.1428248, 0.9805486, 0.2573769), Orientation(-0.01144475, -0.09884267, -0.00271887, 0.9950336), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 418,current eyeGaze_left: Position (-0.1429479, 0.9804982, 0.2574752), Orientation(-0.0093722, 0.001360657, 0.01265173, 0.9998752), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 433,current eyeGaze_left: Position (-0.1429479, 0.9804982, 0.2574752), Orientation(-0.0093722, 0.001360657, 0.01265173, 0.9998752), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 447,current eyeGaze_left: Position (-0.1430701, 0.9804722, 0.2575068), Orientation(-0.008346735, 0.002010704, 0.01305853, 0.9998779), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 460,current eyeGaze_left: Position (-0.1430701, 0.9804722, 0.2575068), Orientation(-0.008346735, 0.002010704, 0.01305853, 0.9998779), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 474,current eyeGaze_left: Position (-0.1431755, 0.9804695, 0.2575283), Orientation(-0.006974868, 0.003833552, 0.01362064, 0.9998756), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 488,current eyeGaze_left: Position (-0.1431755, 0.9804695, 0.2575283), Orientation(-0.006974868, 0.003833552, 0.01362064, 0.9998756), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 502,current eyeGaze_left: Position (-0.1431755, 0.9804695, 0.2575283), Orientation(-0.006974868, 0.003833552, 0.01362064, 0.9998756), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 516,current eyeGaze_left: Position (-0.143216, 0.9804537, 0.2575748), Orientation(-0.006960989, 0.004065648, 0.01382721, 0.9998719), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 530,current eyeGaze_left: Position (-0.143216, 0.9804537, 0.2575748), Orientation(-0.006960989, 0.004065648, 0.01382721, 0.9998719), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 544,current eyeGaze_left: Position (-0.1432263, 0.9804877, 0.2575473), Orientation(-0.00795981, 0.003999629, 0.01368739, 0.9998665), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 557,current eyeGaze_left: Position (-0.1432263, 0.9804877, 0.2575473), Orientation(-0.00795981, 0.003999629, 0.01368739, 0.9998665), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 572,current eyeGaze_left: Position (-0.1432263, 0.9804877, 0.2575473), Orientation(-0.00795981, 0.003999629, 0.01368739, 0.9998665), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 586,current eyeGaze_left: Position (-0.1431949, 0.9805385, 0.2575139), Orientation(-0.007956392, 0.003456901, 0.01344259, 0.999872), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 600,current eyeGaze_left: Position (-0.1431949, 0.9805385, 0.2575139), Orientation(-0.007956392, 0.003456901, 0.01344259, 0.999872), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 614,current eyeGaze_left: Position (-0.1431146, 0.9805419, 0.2574393), Orientation(-0.007031471, 0.003295342, 0.01351432, 0.9998786), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 628,current eyeGaze_left: Position (-0.1431146, 0.9805419, 0.2574393), Orientation(-0.007031471, 0.003295342, 0.01351432, 0.9998786), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 642,current eyeGaze_left: Position (-0.1430821, 0.9805476, 0.2574786), Orientation(-0.006934703, 0.004287933, 0.01366434, 0.9998734), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 655,current eyeGaze_left: Position (-0.1430821, 0.9805476, 0.2574786), Orientation(-0.006934703, 0.004287933, 0.01366434, 0.9998734), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 670,current eyeGaze_left: Position (-0.1430821, 0.9805476, 0.2574786), Orientation(-0.006934703, 0.004287933, 0.01366434, 0.9998734), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 683,current eyeGaze_left: Position (-0.1430687, 0.9805037, 0.2575406), Orientation(-0.007098147, 0.004344951, 0.01357612, 0.9998731), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 697,current eyeGaze_left: Position (-0.1430687, 0.9805037, 0.2575406), Orientation(-0.007098147, 0.004344951, 0.01357612, 0.9998731), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 712,current eyeGaze_left: Position (-0.1430007, 0.9804631, 0.2576373), Orientation(-0.007778796, 0.004214434, 0.01355425, 0.999869), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 725,current eyeGaze_left: Position (-0.1430007, 0.9804631, 0.2576373), Orientation(-0.007778796, 0.004214434, 0.01355425, 0.999869), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 739,current eyeGaze_left: Position (-0.142921, 0.9804641, 0.257676), Orientation(-0.006943438, 0.00319363, 0.0134028, 0.999881), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 753,current eyeGaze_left: Position (-0.142921, 0.9804641, 0.257676), Orientation(-0.006943438, 0.00319363, 0.0134028, 0.999881), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 768,current eyeGaze_left: Position (-0.142921, 0.9804641, 0.257676), Orientation(-0.006943438, 0.00319363, 0.0134028, 0.999881), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 781,current eyeGaze_left: Position (-0.1427987, 0.980525, 0.2576994), Orientation(-0.009954852, 0.002892233, 0.01316586, 0.9998596), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 795,current eyeGaze_left: Position (-0.1427987, 0.980525, 0.2576994), Orientation(-0.009954852, 0.002892233, 0.01316586, 0.9998596), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 810,current eyeGaze_left: Position (-0.1426588, 0.9806297, 0.2575809), Orientation(-0.008333441, -0.003141655, 0.01215762, 0.9998865), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 823,current eyeGaze_left: Position (-0.1426588, 0.9806297, 0.2575809), Orientation(-0.008333441, -0.003141655, 0.01215762, 0.9998865), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 837,current eyeGaze_left: Position (-0.1426588, 0.9806297, 0.2575809), Orientation(-0.008333441, -0.003141655, 0.01215762, 0.9998865), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 851,current eyeGaze_left: Position (-0.1425324, 0.9807281, 0.2575792), Orientation(-0.009675477, -0.07324415, 0.001337213, 0.9972664), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 864,current eyeGaze_left: Position (-0.1425324, 0.9807281, 0.2575792), Orientation(-0.009675477, -0.07324415, 0.001337213, 0.9972664), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 879,current eyeGaze_left: Position (-0.1425324, 0.9807281, 0.2575792), Orientation(-0.009675477, -0.07324415, 0.001337213, 0.9972664), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 892,current eyeGaze_left: Position (-0.1424209, 0.9807405, 0.2576058), Orientation(-0.009412802, -0.07412229, 0.001015396, 0.9972043), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 907,current eyeGaze_left: Position (-0.1422049, 0.9807398, 0.2575463), Orientation(-0.009958202, -0.07604933, 0.0006721374, 0.9970541), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 919,current eyeGaze_left: Position (-0.1422049, 0.9807398, 0.2575463), Orientation(-0.009958202, -0.07604933, 0.0006721374, 0.9970541), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 934,current eyeGaze_left: Position (-0.1422049, 0.9807398, 0.2575463), Orientation(-0.009958202, -0.07604933, 0.0006721374, 0.9970541), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 948,current eyeGaze_left: Position (-0.14197, 0.980631, 0.2574671), Orientation(-0.01055434, -0.07638904, 0.0003413009, 0.9970222), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 961,current eyeGaze_left: Position (-0.14197, 0.980631, 0.2574671), Orientation(-0.01055434, -0.07638904, 0.0003413009, 0.9970222), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 977,current eyeGaze_left: Position (-0.1417987, 0.9806555, 0.2574276), Orientation(-0.01055529, -0.07726596, -2.016965E-05, 0.9969546), Confidence: 0.5

Timestamp: 11/2/2024 7:46:32 PM, Millisecond: 990,current eyeGaze_left: Position (-0.1417987, 0.9806555, 0.2574276), Orientation(-0.01055529, -0.07726596, -2.016965E-05, 0.9969546), Confidence: 0.5

Timestamp: 11/2/2024 7:46:33 PM, Millisecond: 6,current eyeGaze_left: Position (-0.141784, 0.9807567, 0.2574508), Orientation(-0.005485338, -0.07891289, -0.0004659491, 0.9968665), Confidence: 0.5

Timestamp: 11/2/2024 7:46:33 PM, Millisecond: 31,current eyeGaze_left: Position (-0.141784, 0.9807567, 0.2574508), Orientation(-0.005485338, -0.07891289, -0.0004659491, 0.9968665), Confidence: 0.5

