Timestamp: 11/2/2024 7:35:57 PM, Millisecond: 876,current eyeGaze_left: Position (-0.1131691, 1.002132, 0.2145451), Orientation(-0.01818438, -0.02598496, 0.001144082, 0.9994963), Confidence: 0.5

Timestamp: 11/2/2024 7:35:57 PM, Millisecond: 889,current eyeGaze_left: Position (-0.1126819, 1.00223, 0.2145067), Orientation(-0.0145268, -0.08855427, -0.005229805, 0.9959517), Confidence: 0.5

Timestamp: 11/2/2024 7:35:57 PM, Millisecond: 902,current eyeGaze_left: Position (-0.1126819, 1.00223, 0.2145067), Orientation(-0.0145268, -0.08855427, -0.005229805, 0.9959517), Confidence: 0.5

Timestamp: 11/2/2024 7:35:57 PM, Millisecond: 916,current eyeGaze_left: Position (-0.1121978, 1.002361, 0.2144053), Orientation(-0.01391281, -0.0909471, -0.005441986, 0.9957438), Confidence: 0.5

Timestamp: 11/2/2024 7:35:57 PM, Millisecond: 933,current eyeGaze_left: Position (-0.1121978, 1.002361, 0.2144053), Orientation(-0.01391281, -0.0909471, -0.005441986, 0.9957438), Confidence: 0.5

Timestamp: 11/2/2024 7:35:57 PM, Millisecond: 957,current eyeGaze_left: Position (-0.1118047, 1.002488, 0.2141881), Orientation(-0.01340718, -0.09202312, -0.005605216, 0.9956509), Confidence: 0.5

Timestamp: 11/2/2024 7:35:57 PM, Millisecond: 972,current eyeGaze_left: Position (-0.1118047, 1.002488, 0.2141881), Orientation(-0.01340718, -0.09202312, -0.005605216, 0.9956509), Confidence: 0.5

Timestamp: 11/2/2024 7:35:57 PM, Millisecond: 988,current eyeGaze_left: Position (-0.111568, 1.002599, 0.2141497), Orientation(-0.01365489, -0.09261321, -0.005860245, 0.9955913), Confidence: 0.5

Timestamp: 11/2/2024 7:35:57 PM, Millisecond: 999,current eyeGaze_left: Position (-0.111568, 1.002599, 0.2141497), Orientation(-0.01365489, -0.09261321, -0.005860245, 0.9955913), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 13,current eyeGaze_left: Position (-0.111568, 1.002599, 0.2141497), Orientation(-0.01365489, -0.09261321, -0.005860245, 0.9955913), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 27,current eyeGaze_left: Position (-0.1114235, 1.002635, 0.2141661), Orientation(-0.01444758, -0.09145651, -0.005593453, 0.9956886), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 41,current eyeGaze_left: Position (-0.1114235, 1.002635, 0.2141661), Orientation(-0.01444758, -0.09145651, -0.005593453, 0.9956886), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 55,current eyeGaze_left: Position (-0.1114258, 1.002587, 0.214281), Orientation(-0.01426329, -0.09142119, -0.00530115, 0.9956962), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 83,current eyeGaze_left: Position (-0.1114246, 1.002645, 0.2143366), Orientation(-0.01246044, -0.1137004, -0.007231263, 0.9934107), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 97,current eyeGaze_left: Position (-0.1114246, 1.002645, 0.2143366), Orientation(-0.01246044, -0.1137004, -0.007231263, 0.9934107), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 111,current eyeGaze_left: Position (-0.1114246, 1.002645, 0.2143366), Orientation(-0.01246044, -0.1137004, -0.007231263, 0.9934107), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 124,current eyeGaze_left: Position (-0.1113609, 1.002833, 0.2143137), Orientation(-0.01183609, -0.1225282, -0.00803089, 0.992362), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 137,current eyeGaze_left: Position (-0.1113609, 1.002833, 0.2143137), Orientation(-0.01183609, -0.1225282, -0.00803089, 0.992362), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 152,current eyeGaze_left: Position (-0.1111794, 1.003113, 0.2141488), Orientation(-0.01060695, -0.1228124, -0.008028245, 0.9923408), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 165,current eyeGaze_left: Position (-0.1111794, 1.003113, 0.2141488), Orientation(-0.01060695, -0.1228124, -0.008028245, 0.9923408), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 179,current eyeGaze_left: Position (-0.1110029, 1.003445, 0.214067), Orientation(-0.00602707, -0.1226173, -0.007756108, 0.9924054), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 194,current eyeGaze_left: Position (-0.1110029, 1.003445, 0.214067), Orientation(-0.00602707, -0.1226173, -0.007756108, 0.9924054), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 208,current eyeGaze_left: Position (-0.1110029, 1.003445, 0.214067), Orientation(-0.00602707, -0.1226173, -0.007756108, 0.9924054), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 236,current eyeGaze_left: Position (-0.1108869, 1.004006, 0.2139602), Orientation(0.04395147, -0.08632699, -0.002432391, 0.995294), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 251,current eyeGaze_left: Position (-0.1109254, 1.004735, 0.2139194), Orientation(0.1398497, -0.05019125, 0.003654402, 0.988893), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 264,current eyeGaze_left: Position (-0.1109254, 1.004735, 0.2139194), Orientation(0.1398497, -0.05019125, 0.003654402, 0.988893), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 276,current eyeGaze_left: Position (-0.1109254, 1.004735, 0.2139194), Orientation(0.1398497, -0.05019125, 0.003654402, 0.988893), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 291,current eyeGaze_left: Position (-0.1109923, 1.00542, 0.2138806), Orientation(0.1427178, -0.04856944, 0.003293579, 0.9885656), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 304,current eyeGaze_left: Position (-0.1109923, 1.00542, 0.2138806), Orientation(0.1427178, -0.04856944, 0.003293579, 0.9885656), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 319,current eyeGaze_left: Position (-0.1109624, 1.005955, 0.2138286), Orientation(0.144592, -0.04498094, 0.003610038, 0.988462), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 332,current eyeGaze_left: Position (-0.1109624, 1.005955, 0.2138286), Orientation(0.144592, -0.04498094, 0.003610038, 0.988462), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 347,current eyeGaze_left: Position (-0.1109001, 1.006301, 0.2137558), Orientation(0.1444173, -0.04365187, 0.003704212, 0.9885467), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 361,current eyeGaze_left: Position (-0.1109001, 1.006301, 0.2137558), Orientation(0.1444173, -0.04365187, 0.003704212, 0.9885467), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 376,current eyeGaze_left: Position (-0.1109001, 1.006301, 0.2137558), Orientation(0.1444173, -0.04365187, 0.003704212, 0.9885467), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 389,current eyeGaze_left: Position (-0.1108971, 1.006442, 0.2138029), Orientation(0.1446059, -0.04385555, 0.003511489, 0.9885108), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 403,current eyeGaze_left: Position (-0.1108971, 1.006442, 0.2138029), Orientation(0.1446059, -0.04385555, 0.003511489, 0.9885108), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 417,current eyeGaze_left: Position (-0.1109646, 1.006454, 0.2139766), Orientation(0.140634, -0.04404155, 0.003011186, 0.9890772), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 431,current eyeGaze_left: Position (-0.1109646, 1.006454, 0.2139766), Orientation(0.140634, -0.04404155, 0.003011186, 0.9890772), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 445,current eyeGaze_left: Position (-0.1110826, 1.006428, 0.2142582), Orientation(0.1409108, -0.04425745, 0.002584882, 0.9890291), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 459,current eyeGaze_left: Position (-0.1110826, 1.006428, 0.2142582), Orientation(0.1409108, -0.04425745, 0.002584882, 0.9890291), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 474,current eyeGaze_left: Position (-0.1110826, 1.006428, 0.2142582), Orientation(0.1409108, -0.04425745, 0.002584882, 0.9890291), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 488,current eyeGaze_left: Position (-0.111205, 1.006537, 0.2144062), Orientation(0.1418526, -0.04587054, 0.002267241, 0.988822), Confidence: 0.5

