Timestamp: 11/2/2024 9:02:26 PM, Millisecond: 748,current eyeGaze_left: Position (-0.03118702, 1.113384, -0.005195528), Orientation(0.08344371, -0.09187909, 0.02075953, 0.9920507), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 111,current eyeGaze_left: Position (-0.03342341, 1.121272, 0.00682336), Orientation(0.1826681, 0.05432041, 0.01825338, 0.9815032), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 120,current eyeGaze_left: Position (-0.03342341, 1.121272, 0.00682336), Orientation(0.1826681, 0.05432041, 0.01825338, 0.9815032), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 138,current eyeGaze_left: Position (-0.03491714, 1.122093, 0.009635152), Orientation(0.1853026, 0.0621422, 0.01559228, 0.9805908), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 157,current eyeGaze_left: Position (-0.03491714, 1.122093, 0.009635152), Orientation(0.1853026, 0.0621422, 0.01559228, 0.9805908), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 178,current eyeGaze_left: Position (-0.03667193, 1.12279, 0.01255962), Orientation(0.1832253, 0.06241786, 0.0125976, 0.9810066), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 195,current eyeGaze_left: Position (-0.03667193, 1.12279, 0.01255962), Orientation(0.1832253, 0.06241786, 0.0125976, 0.9810066), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 210,current eyeGaze_left: Position (-0.03861677, 1.12342, 0.015614), Orientation(0.1829341, 0.05715815, 0.006443238, 0.981441), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 228,current eyeGaze_left: Position (-0.03861677, 1.12342, 0.015614), Orientation(0.1829341, 0.05715815, 0.006443238, 0.981441), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 244,current eyeGaze_left: Position (-0.04030049, 1.124017, 0.01860846), Orientation(0.1834519, 0.05726652, 0.003278492, 0.9813539), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 261,current eyeGaze_left: Position (-0.04030049, 1.124017, 0.01860846), Orientation(0.1834519, 0.05726652, 0.003278492, 0.9813539), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 276,current eyeGaze_left: Position (-0.04140157, 1.124832, 0.02142274), Orientation(0.1852851, 0.04265949, 0.0003475649, 0.9817584), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 291,current eyeGaze_left: Position (-0.04140157, 1.124832, 0.02142274), Orientation(0.1852851, 0.04265949, 0.0003475649, 0.9817584), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 306,current eyeGaze_left: Position (-0.04188667, 1.125364, 0.02413706), Orientation(0.1832032, -0.06355251, -0.01681254, 0.9808745), Confidence: 0.5

