Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 84,current eyeGaze_left: Position (-0.07299802, 1.111588, 0.1063951), Orientation(0.1795205, 0.008572321, 0.02718466, 0.9833413), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 98,current eyeGaze_left: Position (-0.07327016, 1.11166, 0.1064159), Orientation(0.170542, 0.02404317, 0.02945234, 0.9846167), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 112,current eyeGaze_left: Position (-0.07327016, 1.11166, 0.1064159), Orientation(0.170542, 0.02404317, 0.02945234, 0.9846167), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 126,current eyeGaze_left: Position (-0.07327016, 1.11166, 0.1064159), Orientation(0.170542, 0.02404317, 0.02945234, 0.9846167), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 140,current eyeGaze_left: Position (-0.07363962, 1.111625, 0.1064666), Orientation(0.1677084, 0.02594729, 0.02954363, 0.9850523), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 154,current eyeGaze_left: Position (-0.07363962, 1.111625, 0.1064666), Orientation(0.1677084, 0.02594729, 0.02954363, 0.9850523), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 167,current eyeGaze_left: Position (-0.07399893, 1.111614, 0.106494), Orientation(0.1676692, 0.0262426, 0.02949024, 0.9850526), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 181,current eyeGaze_left: Position (-0.07399893, 1.111614, 0.106494), Orientation(0.1676692, 0.0262426, 0.02949024, 0.9850526), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 196,current eyeGaze_left: Position (-0.07399893, 1.111614, 0.106494), Orientation(0.1676692, 0.0262426, 0.02949024, 0.9850526), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 210,current eyeGaze_left: Position (-0.07431324, 1.11162, 0.1064897), Orientation(0.1696691, 0.02783067, 0.02965072, 0.9846617), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 222,current eyeGaze_left: Position (-0.07431324, 1.11162, 0.1064897), Orientation(0.1696691, 0.02783067, 0.02965072, 0.9846617), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 237,current eyeGaze_left: Position (-0.07456039, 1.11161, 0.1064936), Orientation(0.1696012, 0.02846298, 0.02961285, 0.9846566), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 250,current eyeGaze_left: Position (-0.07456039, 1.11161, 0.1064936), Orientation(0.1696012, 0.02846298, 0.02961285, 0.9846566), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 264,current eyeGaze_left: Position (-0.07468824, 1.111584, 0.10649), Orientation(0.170507, 0.004801947, 0.02563364, 0.9850113), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 279,current eyeGaze_left: Position (-0.07468824, 1.111584, 0.10649), Orientation(0.170507, 0.004801947, 0.02563364, 0.9850113), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 292,current eyeGaze_left: Position (-0.07468824, 1.111584, 0.10649), Orientation(0.170507, 0.004801947, 0.02563364, 0.9850113), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 306,current eyeGaze_left: Position (-0.07471647, 1.111622, 0.1064606), Orientation(0.1771725, -0.05232824, 0.01647276, 0.9826497), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 320,current eyeGaze_left: Position (-0.07471647, 1.111622, 0.1064606), Orientation(0.1771725, -0.05232824, 0.01647276, 0.9826497), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 334,current eyeGaze_left: Position (-0.07469688, 1.111627, 0.1064665), Orientation(0.1772161, -0.05253076, 0.01665468, 0.982628), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 347,current eyeGaze_left: Position (-0.07469688, 1.111627, 0.1064665), Orientation(0.1772161, -0.05253076, 0.01665468, 0.982628), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 362,current eyeGaze_left: Position (-0.07469688, 1.111627, 0.1064665), Orientation(0.1772161, -0.05253076, 0.01665468, 0.982628), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 375,current eyeGaze_left: Position (-0.07468928, 1.111621, 0.1064918), Orientation(0.1778834, -0.04935676, 0.0170479, 0.9826652), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 389,current eyeGaze_left: Position (-0.07468928, 1.111621, 0.1064918), Orientation(0.1778834, -0.04935676, 0.0170479, 0.9826652), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 404,current eyeGaze_left: Position (-0.07465014, 1.111558, 0.1064852), Orientation(0.1775222, -0.04694528, 0.0170856, 0.9828481), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 417,current eyeGaze_left: Position (-0.07465014, 1.111558, 0.1064852), Orientation(0.1775222, -0.04694528, 0.0170856, 0.9828481), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 432,current eyeGaze_left: Position (-0.07461099, 1.111541, 0.1065428), Orientation(0.1771418, -0.04670313, 0.0170512, 0.9829286), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 445,current eyeGaze_left: Position (-0.07461099, 1.111541, 0.1065428), Orientation(0.1771418, -0.04670313, 0.0170512, 0.9829286), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 460,current eyeGaze_left: Position (-0.07461099, 1.111541, 0.1065428), Orientation(0.1771418, -0.04670313, 0.0170512, 0.9829286), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 473,current eyeGaze_left: Position (-0.07452585, 1.111512, 0.1065612), Orientation(0.1765795, -0.0466986, 0.01690898, 0.9830326), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 487,current eyeGaze_left: Position (-0.07452585, 1.111512, 0.1065612), Orientation(0.1765795, -0.0466986, 0.01690898, 0.9830326), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 500,current eyeGaze_left: Position (-0.0744056, 1.111483, 0.1065228), Orientation(0.1741081, -0.04710049, 0.01675778, 0.9834568), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 514,current eyeGaze_left: Position (-0.0744056, 1.111483, 0.1065228), Orientation(0.1741081, -0.04710049, 0.01675778, 0.9834568), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 529,current eyeGaze_left: Position (-0.0744056, 1.111483, 0.1065228), Orientation(0.1741081, -0.04710049, 0.01675778, 0.9834568), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 542,current eyeGaze_left: Position (-0.07422589, 1.111383, 0.1064685), Orientation(0.158709, -0.1266811, 0.004020948, 0.9791564), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 556,current eyeGaze_left: Position (-0.07422589, 1.111383, 0.1064685), Orientation(0.158709, -0.1266811, 0.004020948, 0.9791564), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 571,current eyeGaze_left: Position (-0.07397286, 1.11131, 0.1063267), Orientation(0.1582564, -0.1324272, 0.003043558, 0.9784726), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 584,current eyeGaze_left: Position (-0.07397286, 1.11131, 0.1063267), Orientation(0.1582564, -0.1324272, 0.003043558, 0.9784726), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 598,current eyeGaze_left: Position (-0.07397286, 1.11131, 0.1063267), Orientation(0.1582564, -0.1324272, 0.003043558, 0.9784726), Confidence: 0.5

