Timestamp: 11/2/2024 9:13:51 PM, Millisecond: 623,current eyeGaze_left: Position (-0.1027446, 1.094602, 0.08717219), Orientation(-0.02803893, 0.0481132, 0.01408977, 0.9983488), Confidence: 0.5

Timestamp: 11/2/2024 9:13:51 PM, Millisecond: 637,current eyeGaze_left: Position (-0.1026137, 1.094649, 0.08719748), Orientation(-0.02783612, 0.05059925, 0.01426866, 0.9982291), Confidence: 0.5

Timestamp: 11/2/2024 9:13:51 PM, Millisecond: 650,current eyeGaze_left: Position (-0.1026137, 1.094649, 0.08719748), Orientation(-0.02783612, 0.05059925, 0.01426866, 0.9982291), Confidence: 0.5

Timestamp: 11/2/2024 9:13:51 PM, Millisecond: 665,current eyeGaze_left: Position (-0.102448, 1.094638, 0.08717362), Orientation(-0.02768747, 0.05088447, 0.01434297, 0.9982177), Confidence: 0.5

Timestamp: 11/2/2024 9:13:51 PM, Millisecond: 678,current eyeGaze_left: Position (-0.102448, 1.094638, 0.08717362), Orientation(-0.02768747, 0.05088447, 0.01434297, 0.9982177), Confidence: 0.5

Timestamp: 11/2/2024 9:13:51 PM, Millisecond: 694,current eyeGaze_left: Position (-0.102448, 1.094638, 0.08717362), Orientation(-0.02768747, 0.05088447, 0.01434297, 0.9982177), Confidence: 0.5

Timestamp: 11/2/2024 9:13:51 PM, Millisecond: 706,current eyeGaze_left: Position (-0.1022561, 1.094589, 0.08711157), Orientation(-0.03090352, 0.04931517, 0.01425612, 0.9982032), Confidence: 0.5

Timestamp: 11/2/2024 9:13:51 PM, Millisecond: 720,current eyeGaze_left: Position (-0.1022561, 1.094589, 0.08711157), Orientation(-0.03090352, 0.04931517, 0.01425612, 0.9982032), Confidence: 0.5

Timestamp: 11/2/2024 9:13:51 PM, Millisecond: 736,current eyeGaze_left: Position (-0.1021313, 1.094526, 0.08705129), Orientation(-0.02338544, 0.009448364, 0.008705805, 0.9996441), Confidence: 0.5

Timestamp: 11/2/2024 9:13:51 PM, Millisecond: 748,current eyeGaze_left: Position (-0.1021313, 1.094526, 0.08705129), Orientation(-0.02338544, 0.009448364, 0.008705805, 0.9996441), Confidence: 0.5

Timestamp: 11/2/2024 9:13:51 PM, Millisecond: 763,current eyeGaze_left: Position (-0.1019975, 1.094492, 0.08698843), Orientation(-0.01976282, -0.07956883, -0.003864835, 0.996626), Confidence: 0.5

Timestamp: 11/2/2024 9:13:51 PM, Millisecond: 776,current eyeGaze_left: Position (-0.1019975, 1.094492, 0.08698843), Orientation(-0.01976282, -0.07956883, -0.003864835, 0.996626), Confidence: 0.5

Timestamp: 11/2/2024 9:13:51 PM, Millisecond: 791,current eyeGaze_left: Position (-0.1019975, 1.094492, 0.08698843), Orientation(-0.01976282, -0.07956883, -0.003864835, 0.996626), Confidence: 0.5

Timestamp: 11/2/2024 9:13:51 PM, Millisecond: 805,current eyeGaze_left: Position (-0.1018657, 1.094509, 0.0869166), Orientation(-0.01735762, -0.08045591, -0.003881886, 0.9965995), Confidence: 0.5

Timestamp: 11/2/2024 9:13:51 PM, Millisecond: 818,current eyeGaze_left: Position (-0.1018657, 1.094509, 0.0869166), Orientation(-0.01735762, -0.08045591, -0.003881886, 0.9965995), Confidence: 0.5

Timestamp: 11/2/2024 9:13:51 PM, Millisecond: 832,current eyeGaze_left: Position (-0.1017727, 1.094576, 0.08689685), Orientation(-0.01464796, -0.07917116, -0.00362578, 0.9967468), Confidence: 0.5

Timestamp: 11/2/2024 9:13:51 PM, Millisecond: 860,current eyeGaze_left: Position (-0.1017727, 1.094576, 0.08689685), Orientation(-0.01464796, -0.07917116, -0.00362578, 0.9967468), Confidence: 0.5

Timestamp: 11/2/2024 9:13:51 PM, Millisecond: 874,current eyeGaze_left: Position (-0.1017175, 1.094694, 0.08683363), Orientation(-0.01294147, -0.07387538, -0.002859309, 0.9971795), Confidence: 0.5

Timestamp: 11/2/2024 9:13:51 PM, Millisecond: 901,current eyeGaze_left: Position (-0.1015959, 1.094937, 0.08669615), Orientation(0.0327643, -0.07316262, -0.001964048, 0.9967797), Confidence: 0.5

Timestamp: 11/2/2024 9:13:51 PM, Millisecond: 915,current eyeGaze_left: Position (-0.1015959, 1.094937, 0.08669615), Orientation(0.0327643, -0.07316262, -0.001964048, 0.9967797), Confidence: 0.5

Timestamp: 11/2/2024 9:13:51 PM, Millisecond: 931,current eyeGaze_left: Position (-0.1013655, 1.09528, 0.08653767), Orientation(0.1357857, -0.04665358, 0.004220774, 0.9896302), Confidence: 0.5

Timestamp: 11/2/2024 9:13:51 PM, Millisecond: 944,current eyeGaze_left: Position (-0.1013655, 1.09528, 0.08653767), Orientation(0.1357857, -0.04665358, 0.004220774, 0.9896302), Confidence: 0.5

Timestamp: 11/2/2024 9:13:51 PM, Millisecond: 956,current eyeGaze_left: Position (-0.1013655, 1.09528, 0.08653767), Orientation(0.1357857, -0.04665358, 0.004220774, 0.9896302), Confidence: 0.5

