Timestamp: 11/24/2024 8:02:54 PM, Millisecond: 873,current eyeGaze_left: Position (0.02069921, 1.077287, 0.2461129), Orientation(0.1980345, -0.06542221, -0.03770744, 0.9772822), Confidence: 0.5

Timestamp: 11/24/2024 8:02:54 PM, Millisecond: 888,current eyeGaze_left: Position (0.02021382, 1.077163, 0.246109), Orientation(0.1974748, -0.06618113, -0.03837292, 0.9773186), Confidence: 0.5

Timestamp: 11/24/2024 8:02:54 PM, Millisecond: 900,current eyeGaze_left: Position (0.02021382, 1.077163, 0.246109), Orientation(0.1974748, -0.06618113, -0.03837292, 0.9773186), Confidence: 0.5

Timestamp: 11/24/2024 8:02:54 PM, Millisecond: 917,current eyeGaze_left: Position (0.02021382, 1.077163, 0.246109), Orientation(0.1974748, -0.06618113, -0.03837292, 0.9773186), Confidence: 0.5

Timestamp: 11/24/2024 8:02:54 PM, Millisecond: 929,current eyeGaze_left: Position (0.01973393, 1.077, 0.2460942), Orientation(0.1960189, -0.06373491, -0.03841625, 0.9777723), Confidence: 0.5

Timestamp: 11/24/2024 8:02:54 PM, Millisecond: 941,current eyeGaze_left: Position (0.01973393, 1.077, 0.2460942), Orientation(0.1960189, -0.06373491, -0.03841625, 0.9777723), Confidence: 0.5

Timestamp: 11/24/2024 8:02:54 PM, Millisecond: 955,current eyeGaze_left: Position (0.0192906, 1.076887, 0.2462062), Orientation(0.1953654, -0.02722789, -0.03166999, 0.9798408), Confidence: 0.5

Timestamp: 11/24/2024 8:02:54 PM, Millisecond: 969,current eyeGaze_left: Position (0.0192906, 1.076887, 0.2462062), Orientation(0.1953654, -0.02722789, -0.03166999, 0.9798408), Confidence: 0.5

Timestamp: 11/24/2024 8:02:54 PM, Millisecond: 984,current eyeGaze_left: Position (0.01886108, 1.076798, 0.2462266), Orientation(0.1872328, 0.02425995, -0.02241915, 0.9817601), Confidence: 0.5

Timestamp: 11/24/2024 8:02:54 PM, Millisecond: 997,current eyeGaze_left: Position (0.01886108, 1.076798, 0.2462266), Orientation(0.1872328, 0.02425995, -0.02241915, 0.9817601), Confidence: 0.5

Timestamp: 11/24/2024 8:02:55 PM, Millisecond: 12,current eyeGaze_left: Position (0.01886108, 1.076798, 0.2462266), Orientation(0.1872328, 0.02425995, -0.02241915, 0.9817601), Confidence: 0.5

Timestamp: 11/24/2024 8:02:55 PM, Millisecond: 27,current eyeGaze_left: Position (0.01848119, 1.076703, 0.2462362), Orientation(0.1844351, 0.02732958, -0.02280859, 0.9821998), Confidence: 0.5

Timestamp: 11/24/2024 8:02:55 PM, Millisecond: 39,current eyeGaze_left: Position (0.01848119, 1.076703, 0.2462362), Orientation(0.1844351, 0.02732958, -0.02280859, 0.9821998), Confidence: 0.5

Timestamp: 11/24/2024 8:02:55 PM, Millisecond: 54,current eyeGaze_left: Position (0.01824166, 1.076672, 0.2461311), Orientation(0.1846893, 0.02855968, -0.02314222, 0.9821093), Confidence: 0.5

Timestamp: 11/24/2024 8:02:55 PM, Millisecond: 67,current eyeGaze_left: Position (0.01824166, 1.076672, 0.2461311), Orientation(0.1846893, 0.02855968, -0.02314222, 0.9821093), Confidence: 0.5

Timestamp: 11/24/2024 8:02:55 PM, Millisecond: 81,current eyeGaze_left: Position (0.01824166, 1.076672, 0.2461311), Orientation(0.1846893, 0.02855968, -0.02314222, 0.9821093), Confidence: 0.5

Timestamp: 11/24/2024 8:02:55 PM, Millisecond: 95,current eyeGaze_left: Position (0.01814608, 1.076638, 0.2460695), Orientation(0.1834993, 0.03096497, -0.02391403, 0.9822409), Confidence: 0.5

Timestamp: 11/24/2024 8:02:55 PM, Millisecond: 109,current eyeGaze_left: Position (0.01814608, 1.076638, 0.2460695), Orientation(0.1834993, 0.03096497, -0.02391403, 0.9822409), Confidence: 0.5

Timestamp: 11/24/2024 8:02:55 PM, Millisecond: 124,current eyeGaze_left: Position (0.01814895, 1.076558, 0.2460326), Orientation(0.1847559, 0.02469677, -0.02670345, 0.9821112), Confidence: 0.5

Timestamp: 11/24/2024 8:02:55 PM, Millisecond: 137,current eyeGaze_left: Position (0.01814895, 1.076558, 0.2460326), Orientation(0.1847559, 0.02469677, -0.02670345, 0.9821112), Confidence: 0.5

Timestamp: 11/24/2024 8:02:55 PM, Millisecond: 152,current eyeGaze_left: Position (0.01810535, 1.076656, 0.245994), Orientation(0.1847529, 0.02710329, -0.02792763, 0.9820143), Confidence: 0.5

Timestamp: 11/24/2024 8:02:55 PM, Millisecond: 165,current eyeGaze_left: Position (0.01810535, 1.076656, 0.245994), Orientation(0.1847529, 0.02710329, -0.02792763, 0.9820143), Confidence: 0.5

Timestamp: 11/24/2024 8:02:55 PM, Millisecond: 179,current eyeGaze_left: Position (0.01810535, 1.076656, 0.245994), Orientation(0.1847529, 0.02710329, -0.02792763, 0.9820143), Confidence: 0.5

Timestamp: 11/24/2024 8:02:55 PM, Millisecond: 193,current eyeGaze_left: Position (0.01804413, 1.07684, 0.2460337), Orientation(0.1852508, 0.02814799, -0.02936118, 0.9818493), Confidence: 0.5

Timestamp: 11/24/2024 8:02:55 PM, Millisecond: 208,current eyeGaze_left: Position (0.01804413, 1.07684, 0.2460337), Orientation(0.1852508, 0.02814799, -0.02936118, 0.9818493), Confidence: 0.5

Timestamp: 11/24/2024 8:02:55 PM, Millisecond: 221,current eyeGaze_left: Position (0.01801981, 1.077039, 0.2461239), Orientation(0.1869038, 0.02014677, -0.03215788, 0.981645), Confidence: 0.5

Timestamp: 11/24/2024 8:02:55 PM, Millisecond: 235,current eyeGaze_left: Position (0.01801981, 1.077039, 0.2461239), Orientation(0.1869038, 0.02014677, -0.03215788, 0.981645), Confidence: 0.5

