Timestamp: 11/24/2024 8:08:12 PM, Millisecond: 360,current eyeGaze_left: Position (-0.03804455, 1.152521, 0.1642111), Orientation(0.04528518, -0.03297982, -0.01049526, 0.9983745), Confidence: 0.5

Timestamp: 11/24/2024 8:08:12 PM, Millisecond: 722,current eyeGaze_left: Position (-0.03018505, 1.155139, 0.175054), Orientation(0.09463633, 0.1172809, -0.004068652, 0.988571), Confidence: 0.5

Timestamp: 11/24/2024 8:08:12 PM, Millisecond: 733,current eyeGaze_left: Position (-0.03018505, 1.155139, 0.175054), Orientation(0.09463633, 0.1172809, -0.004068652, 0.988571), Confidence: 0.5

Timestamp: 11/24/2024 8:08:12 PM, Millisecond: 754,current eyeGaze_left: Position (-0.02878767, 1.155272, 0.174713), Orientation(0.09594385, 0.1148328, -0.005011265, 0.9887281), Confidence: 0.5

Timestamp: 11/24/2024 8:08:12 PM, Millisecond: 774,current eyeGaze_left: Position (-0.02878767, 1.155272, 0.174713), Orientation(0.09594385, 0.1148328, -0.005011265, 0.9887281), Confidence: 0.5

Timestamp: 11/24/2024 8:08:12 PM, Millisecond: 791,current eyeGaze_left: Position (-0.02723625, 1.155504, 0.1741485), Orientation(0.09770039, 0.1059133, -0.007571636, 0.9895352), Confidence: 0.5

Timestamp: 11/24/2024 8:08:12 PM, Millisecond: 810,current eyeGaze_left: Position (-0.02723625, 1.155504, 0.1741485), Orientation(0.09770039, 0.1059133, -0.007571636, 0.9895352), Confidence: 0.5

Timestamp: 11/24/2024 8:08:12 PM, Millisecond: 826,current eyeGaze_left: Position (-0.02543062, 1.155866, 0.1733984), Orientation(0.1082488, -0.04959415, -0.02914852, 0.992458), Confidence: 0.5

Timestamp: 11/24/2024 8:08:12 PM, Millisecond: 845,current eyeGaze_left: Position (-0.02543062, 1.155866, 0.1733984), Orientation(0.1082488, -0.04959415, -0.02914852, 0.992458), Confidence: 0.5

Timestamp: 11/24/2024 8:08:12 PM, Millisecond: 859,current eyeGaze_left: Position (-0.02366766, 1.156185, 0.1724655), Orientation(0.1055049, -0.1420606, -0.04047076, 0.9833869), Confidence: 0.5

Timestamp: 11/24/2024 8:08:12 PM, Millisecond: 876,current eyeGaze_left: Position (-0.02366766, 1.156185, 0.1724655), Orientation(0.1055049, -0.1420606, -0.04047076, 0.9833869), Confidence: 0.5

Timestamp: 11/24/2024 8:08:12 PM, Millisecond: 890,current eyeGaze_left: Position (-0.02199987, 1.156329, 0.1715584), Orientation(0.09941475, -0.1499815, -0.03969789, 0.9828767), Confidence: 0.5

Timestamp: 11/24/2024 8:08:12 PM, Millisecond: 906,current eyeGaze_left: Position (-0.02199987, 1.156329, 0.1715584), Orientation(0.09941475, -0.1499815, -0.03969789, 0.9828767), Confidence: 0.5

Timestamp: 11/24/2024 8:08:12 PM, Millisecond: 921,current eyeGaze_left: Position (-0.02069672, 1.156223, 0.1708727), Orientation(0.09816096, -0.1478123, -0.03726944, 0.9834262), Confidence: 0.5

Timestamp: 11/24/2024 8:08:12 PM, Millisecond: 935,current eyeGaze_left: Position (-0.02069672, 1.156223, 0.1708727), Orientation(0.09816096, -0.1478123, -0.03726944, 0.9834262), Confidence: 0.5

Timestamp: 11/24/2024 8:08:12 PM, Millisecond: 950,current eyeGaze_left: Position (-0.0196978, 1.15589, 0.1703555), Orientation(0.09796626, -0.1457161, -0.03463359, 0.9838546), Confidence: 0.5

Timestamp: 11/24/2024 8:08:12 PM, Millisecond: 966,current eyeGaze_left: Position (-0.0196978, 1.15589, 0.1703555), Orientation(0.09796626, -0.1457161, -0.03463359, 0.9838546), Confidence: 0.5

Timestamp: 11/24/2024 8:08:12 PM, Millisecond: 979,current eyeGaze_left: Position (-0.0196978, 1.15589, 0.1703555), Orientation(0.09796626, -0.1457161, -0.03463359, 0.9838546), Confidence: 0.5

Timestamp: 11/24/2024 8:08:12 PM, Millisecond: 993,current eyeGaze_left: Position (-0.01902933, 1.155491, 0.1700739), Orientation(0.1020053, -0.1444522, -0.03166745, 0.9837305), Confidence: 0.5

Timestamp: 11/24/2024 8:08:13 PM, Millisecond: 8,current eyeGaze_left: Position (-0.01902933, 1.155491, 0.1700739), Orientation(0.1020053, -0.1444522, -0.03166745, 0.9837305), Confidence: 0.5

Timestamp: 11/24/2024 8:08:13 PM, Millisecond: 22,current eyeGaze_left: Position (-0.01860397, 1.155221, 0.170013), Orientation(0.1012125, -0.143344, -0.02931581, 0.9840474), Confidence: 0.5

Timestamp: 11/24/2024 8:08:13 PM, Millisecond: 35,current eyeGaze_left: Position (-0.01860397, 1.155221, 0.170013), Orientation(0.1012125, -0.143344, -0.02931581, 0.9840474), Confidence: 0.5

Timestamp: 11/24/2024 8:08:13 PM, Millisecond: 50,current eyeGaze_left: Position (-0.01854903, 1.155081, 0.170321), Orientation(0.05458607, -0.09132778, -0.0222992, 0.9940737), Confidence: 0.5

Timestamp: 11/24/2024 8:08:13 PM, Millisecond: 63,current eyeGaze_left: Position (-0.01854903, 1.155081, 0.170321), Orientation(0.05458607, -0.09132778, -0.0222992, 0.9940737), Confidence: 0.5

Timestamp: 11/24/2024 8:08:13 PM, Millisecond: 78,current eyeGaze_left: Position (-0.01854903, 1.155081, 0.170321), Orientation(0.05458607, -0.09132778, -0.0222992, 0.9940737), Confidence: 0.5

Timestamp: 11/24/2024 8:08:13 PM, Millisecond: 92,current eyeGaze_left: Position (-0.01873639, 1.154985, 0.1708667), Orientation(0.04058468, -0.06142248, -0.01869941, 0.997111), Confidence: 0.5

Timestamp: 11/24/2024 8:08:13 PM, Millisecond: 106,current eyeGaze_left: Position (-0.01873639, 1.154985, 0.1708667), Orientation(0.04058468, -0.06142248, -0.01869941, 0.997111), Confidence: 0.5

Timestamp: 11/24/2024 8:08:13 PM, Millisecond: 120,current eyeGaze_left: Position (-0.01909793, 1.155053, 0.1715785), Orientation(0.04017319, -0.0295413, -0.01533631, 0.9986382), Confidence: 0.5

Timestamp: 11/24/2024 8:08:13 PM, Millisecond: 134,current eyeGaze_left: Position (-0.01909793, 1.155053, 0.1715785), Orientation(0.04017319, -0.0295413, -0.01533631, 0.9986382), Confidence: 0.5

Timestamp: 11/24/2024 8:08:13 PM, Millisecond: 148,current eyeGaze_left: Position (-0.01961183, 1.155065, 0.1723209), Orientation(0.04771267, -0.01281909, -0.01398466, 0.998681), Confidence: 0.5

Timestamp: 11/24/2024 8:08:13 PM, Millisecond: 162,current eyeGaze_left: Position (-0.01961183, 1.155065, 0.1723209), Orientation(0.04771267, -0.01281909, -0.01398466, 0.998681), Confidence: 0.5

Timestamp: 11/24/2024 8:08:13 PM, Millisecond: 176,current eyeGaze_left: Position (-0.01961183, 1.155065, 0.1723209), Orientation(0.04771267, -0.01281909, -0.01398466, 0.998681), Confidence: 0.5

Timestamp: 11/24/2024 8:08:13 PM, Millisecond: 191,current eyeGaze_left: Position (-0.02022832, 1.154944, 0.1730556), Orientation(0.06928204, 0.01183131, -0.0120404, 0.9974543), Confidence: 0.5

