
Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 571,current eyeGaze_left: Position (-0.03055714, 1.108099, 0.1940308), Orientation(0.1640947, 0.02205255, 0.000429022, 0.986198), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 584,current eyeGaze_left: Position (-0.03057696, 1.108122, 0.1940416), Orientation(0.1329632, 0.02225241, 0.00119847, 0.9908704), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 599,current eyeGaze_left: Position (-0.03057696, 1.108122, 0.1940416), Orientation(0.1329632, 0.02225241, 0.00119847, 0.9908704), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 612,current eyeGaze_left: Position (-0.03061161, 1.108127, 0.194083), Orientation(0.093549, 0.0225323, 0.002392132, 0.9953569), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 626,current eyeGaze_left: Position (-0.03061161, 1.108127, 0.194083), Orientation(0.093549, 0.0225323, 0.002392132, 0.9953569), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 640,current eyeGaze_left: Position (-0.0306406, 1.108121, 0.1941484), Orientation(0.09350502, 0.03097096, 0.003570257, 0.9951307), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 654,current eyeGaze_left: Position (-0.0306406, 1.108121, 0.1941484), Orientation(0.09350502, 0.03097096, 0.003570257, 0.9951307), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 669,current eyeGaze_left: Position (-0.0306406, 1.108121, 0.1941484), Orientation(0.09350502, 0.03097096, 0.003570257, 0.9951307), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 681,current eyeGaze_left: Position (-0.03066778, 1.108144, 0.1941997), Orientation(0.1206253, 0.03174668, 0.002749394, 0.9921866), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 695,current eyeGaze_left: Position (-0.03066778, 1.108144, 0.1941997), Orientation(0.1206253, 0.03174668, 0.002749394, 0.9921866), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 709,current eyeGaze_left: Position (-0.03065284, 1.10814, 0.1942562), Orientation(0.1254118, 0.03120466, 0.002482247, 0.9916108), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 723,current eyeGaze_left: Position (-0.03065284, 1.10814, 0.1942562), Orientation(0.1254118, 0.03120466, 0.002482247, 0.9916108), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 738,current eyeGaze_left: Position (-0.03065284, 1.10814, 0.1942562), Orientation(0.1254118, 0.03120466, 0.002482247, 0.9916108), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 751,current eyeGaze_left: Position (-0.03062028, 1.108155, 0.1943097), Orientation(0.1258318, 0.0314549, 0.002447617, 0.9915498), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 765,current eyeGaze_left: Position (-0.03062028, 1.108155, 0.1943097), Orientation(0.1258318, 0.0314549, 0.002447617, 0.9915498), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 779,current eyeGaze_left: Position (-0.03057037, 1.10816, 0.1943216), Orientation(0.1273173, 0.02963545, 0.002226046, 0.9914167), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 793,current eyeGaze_left: Position (-0.03057037, 1.10816, 0.1943216), Orientation(0.1273173, 0.02963545, 0.002226046, 0.9914167), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 807,current eyeGaze_left: Position (-0.03060977, 1.108207, 0.1943759), Orientation(0.1281584, 0.03115735, 0.002584251, 0.9912609), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 820,current eyeGaze_left: Position (-0.03060977, 1.108207, 0.1943759), Orientation(0.1281584, 0.03115735, 0.002584251, 0.9912609), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 836,current eyeGaze_left: Position (-0.03060977, 1.108207, 0.1943759), Orientation(0.1281584, 0.03115735, 0.002584251, 0.9912609), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 849,current eyeGaze_left: Position (-0.03079269, 1.108262, 0.1944807), Orientation(0.1282748, 0.03193207, 0.002546166, 0.9912212), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 863,current eyeGaze_left: Position (-0.03079269, 1.108262, 0.1944807), Orientation(0.1282748, 0.03193207, 0.002546166, 0.9912212), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 877,current eyeGaze_left: Position (-0.03111924, 1.108286, 0.1946359), Orientation(0.1298863, 0.03339353, 0.00244114, 0.9909635), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 891,current eyeGaze_left: Position (-0.03111924, 1.108286, 0.1946359), Orientation(0.1298863, 0.03339353, 0.00244114, 0.9909635), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 905,current eyeGaze_left: Position (-0.03111924, 1.108286, 0.1946359), Orientation(0.1298863, 0.03339353, 0.00244114, 0.9909635), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 919,current eyeGaze_left: Position (-0.0315409, 1.10824, 0.1948305), Orientation(0.1299037, 0.03540133, 0.002449738, 0.9908914), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 933,current eyeGaze_left: Position (-0.0315409, 1.10824, 0.1948305), Orientation(0.1299037, 0.03540133, 0.002449738, 0.9908914), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 947,current eyeGaze_left: Position (-0.03206803, 1.108171, 0.1950568), Orientation(0.1321713, 0.0335868, 0.001562681, 0.9906565), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 961,current eyeGaze_left: Position (-0.03206803, 1.108171, 0.1950568), Orientation(0.1321713, 0.0335868, 0.001562681, 0.9906565), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 975,current eyeGaze_left: Position (-0.03263317, 1.108098, 0.1952564), Orientation(0.132731, 0.03471796, 0.001127932, 0.9905433), Confidence: 0.5

Timestamp: 11/24/2024 8:17:46 PM, Millisecond: 989,current eyeGaze_left: Position (-0.03263317, 1.108098, 0.1952564), Orientation(0.132731, 0.03471796, 0.001127932, 0.9905433), Confidence: 0.5

Timestamp: 11/24/2024 8:17:47 PM, Millisecond: 3,current eyeGaze_left: Position (-0.03263317, 1.108098, 0.1952564), Orientation(0.132731, 0.03471796, 0.001127932, 0.9905433), Confidence: 0.5

Timestamp: 11/24/2024 8:17:47 PM, Millisecond: 17,current eyeGaze_left: Position (-0.03307432, 1.108013, 0.1953846), Orientation(0.1323671, 0.03288025, 0.0006196107, 0.9906551), Confidence: 0.5

Timestamp: 11/24/2024 8:17:47 PM, Millisecond: 31,current eyeGaze_left: Position (-0.03307432, 1.108013, 0.1953846), Orientation(0.1323671, 0.03288025, 0.0006196107, 0.9906551), Confidence: 0.5

Timestamp: 11/24/2024 8:17:47 PM, Millisecond: 45,current eyeGaze_left: Position (-0.03333711, 1.107967, 0.1954141), Orientation(0.1326868, 0.02764825, -0.0003205073, 0.9907723), Confidence: 0.5

Timestamp: 11/24/2024 8:17:47 PM, Millisecond: 59,current eyeGaze_left: Position (-0.03333711, 1.107967, 0.1954141), Orientation(0.1326868, 0.02764825, -0.0003205073, 0.9907723), Confidence: 0.5

Timestamp: 11/24/2024 8:17:47 PM, Millisecond: 72,current eyeGaze_left: Position (-0.03333711, 1.107967, 0.1954141), Orientation(0.1326868, 0.02764825, -0.0003205073, 0.9907723), Confidence: 0.5

Timestamp: 11/24/2024 8:17:47 PM, Millisecond: 86,current eyeGaze_left: Position (-0.03341104, 1.107965, 0.1953705), Orientation(0.1317458, 0.0268909, -0.0003485475, 0.9909186), Confidence: 0.5

Timestamp: 11/24/2024 8:17:47 PM, Millisecond: 100,current eyeGaze_left: Position (-0.03341104, 1.107965, 0.1953705), Orientation(0.1317458, 0.0268909, -0.0003485475, 0.9909186), Confidence: 0.5

Timestamp: 11/24/2024 8:17:47 PM, Millisecond: 114,current eyeGaze_left: Position (-0.03335926, 1.1079, 0.1952538), Orientation(0.1154798, 0.02109297, -0.0002591717, 0.9930859), Confidence: 0.5

Timestamp: 11/24/2024 8:17:47 PM, Millisecond: 129,current eyeGaze_left: Position (-0.03335926, 1.1079, 0.1952538), Orientation(0.1154798, 0.02109297, -0.0002591717, 0.9930859), Confidence: 0.5

Timestamp: 11/24/2024 8:17:47 PM, Millisecond: 142,current eyeGaze_left: Position (-0.03322321, 1.107785, 0.1950966), Orientation(0.1132622, 0.02002243, -5.744293E-05, 0.9933635), Confidence: 0.5

