
Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 507,current eyeGaze_left: Position (-0.04376246, 1.139621, 0.1794154), Orientation(0.1057895, -0.07736652, -0.017593, 0.9912183), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 520,current eyeGaze_left: Position (-0.04371643, 1.139635, 0.1795007), Orientation(0.1062038, -0.07998008, -0.01798234, 0.9909595), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 534,current eyeGaze_left: Position (-0.04371643, 1.139635, 0.1795007), Orientation(0.1062038, -0.07998008, -0.01798234, 0.9909595), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 548,current eyeGaze_left: Position (-0.04364568, 1.13962, 0.1794863), Orientation(0.1064119, -0.07824928, -0.0178414, 0.9910778), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 561,current eyeGaze_left: Position (-0.04364568, 1.13962, 0.1794863), Orientation(0.1064119, -0.07824928, -0.0178414, 0.9910778), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 576,current eyeGaze_left: Position (-0.04364568, 1.13962, 0.1794863), Orientation(0.1064119, -0.07824928, -0.0178414, 0.9910778), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 589,current eyeGaze_left: Position (-0.04361115, 1.139593, 0.1794308), Orientation(0.1065347, -0.0784369, -0.01789682, 0.9910489), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 604,current eyeGaze_left: Position (-0.04361115, 1.139593, 0.1794308), Orientation(0.1065347, -0.0784369, -0.01789682, 0.9910489), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 617,current eyeGaze_left: Position (-0.04360033, 1.139514, 0.1793537), Orientation(0.1062529, -0.07849243, -0.01783809, 0.9910758), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 631,current eyeGaze_left: Position (-0.04360033, 1.139514, 0.1793537), Orientation(0.1062529, -0.07849243, -0.01783809, 0.9910758), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 645,current eyeGaze_left: Position (-0.04363272, 1.139468, 0.1793224), Orientation(0.1059945, -0.07855997, -0.01782404, 0.9910984), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 659,current eyeGaze_left: Position (-0.04363272, 1.139468, 0.1793224), Orientation(0.1059945, -0.07855997, -0.01782404, 0.9910984), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 674,current eyeGaze_left: Position (-0.04363272, 1.139468, 0.1793224), Orientation(0.1059945, -0.07855997, -0.01782404, 0.9910984), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 687,current eyeGaze_left: Position (-0.04368465, 1.13944, 0.1792841), Orientation(0.1089165, -0.0785247, -0.01779975, 0.9907848), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 701,current eyeGaze_left: Position (-0.04368465, 1.13944, 0.1792841), Orientation(0.1089165, -0.0785247, -0.01779975, 0.9907848), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 715,current eyeGaze_left: Position (-0.04375068, 1.13944, 0.179245), Orientation(0.1089046, -0.07652715, -0.01756279, 0.9909465), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 729,current eyeGaze_left: Position (-0.04375068, 1.13944, 0.179245), Orientation(0.1089046, -0.07652715, -0.01756279, 0.9909465), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 743,current eyeGaze_left: Position (-0.04382084, 1.139447, 0.1792376), Orientation(0.1082647, -0.07617583, -0.01750948, 0.9910446), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 757,current eyeGaze_left: Position (-0.04382084, 1.139447, 0.1792376), Orientation(0.1082647, -0.07617583, -0.01750948, 0.9910446), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 771,current eyeGaze_left: Position (-0.04382084, 1.139447, 0.1792376), Orientation(0.1082647, -0.07617583, -0.01750948, 0.9910446), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 784,current eyeGaze_left: Position (-0.04381907, 1.139436, 0.1792002), Orientation(0.1076435, -0.07618075, -0.01744354, 0.9911131), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 799,current eyeGaze_left: Position (-0.04381907, 1.139436, 0.1792002), Orientation(0.1076435, -0.07618075, -0.01744354, 0.9911131), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 813,current eyeGaze_left: Position (-0.04374956, 1.139406, 0.1791361), Orientation(0.1076459, -0.07611128, -0.01740018, 0.9911188), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 826,current eyeGaze_left: Position (-0.04374956, 1.139406, 0.1791361), Orientation(0.1076459, -0.07611128, -0.01740018, 0.9911188), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 841,current eyeGaze_left: Position (-0.04374956, 1.139406, 0.1791361), Orientation(0.1076459, -0.07611128, -0.01740018, 0.9911188), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 854,current eyeGaze_left: Position (-0.04378175, 1.139387, 0.1791088), Orientation(0.1103938, -0.0776167, -0.01761765, 0.9906961), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 868,current eyeGaze_left: Position (-0.04378175, 1.139387, 0.1791088), Orientation(0.1103938, -0.0776167, -0.01761765, 0.9906961), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 882,current eyeGaze_left: Position (-0.04380082, 1.139388, 0.1791618), Orientation(0.1106836, -0.07757781, -0.01766826, 0.990666), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 896,current eyeGaze_left: Position (-0.04380082, 1.139388, 0.1791618), Orientation(0.1106836, -0.07757781, -0.01766826, 0.990666), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 910,current eyeGaze_left: Position (-0.04380501, 1.139395, 0.1792436), Orientation(0.1116447, -0.07906318, -0.01791755, 0.9904361), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 924,current eyeGaze_left: Position (-0.04380501, 1.139395, 0.1792436), Orientation(0.1116447, -0.07906318, -0.01791755, 0.9904361), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 939,current eyeGaze_left: Position (-0.04380501, 1.139395, 0.1792436), Orientation(0.1116447, -0.07906318, -0.01791755, 0.9904361), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 952,current eyeGaze_left: Position (-0.0437787, 1.139354, 0.1792079), Orientation(0.1125721, -0.07918035, -0.01793137, 0.9903214), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 966,current eyeGaze_left: Position (-0.0437787, 1.139354, 0.1792079), Orientation(0.1125721, -0.07918035, -0.01793137, 0.9903214), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 980,current eyeGaze_left: Position (-0.0437051, 1.139297, 0.1791375), Orientation(0.1124285, -0.07747451, -0.0176133, 0.9904785), Confidence: 0.5

Timestamp: 11/24/2024 8:11:26 PM, Millisecond: 994,current eyeGaze_left: Position (-0.0437051, 1.139297, 0.1791375), Orientation(0.1124285, -0.07747451, -0.0176133, 0.9904785), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 22,current eyeGaze_left: Position (-0.04357737, 1.139246, 0.1790512), Orientation(0.1111455, -0.07745599, -0.01767205, 0.9906237), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 33,current eyeGaze_left: Position (-0.04357737, 1.139246, 0.1790512), Orientation(0.1111455, -0.07745599, -0.01767205, 0.9906237), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 48,current eyeGaze_left: Position (-0.04351763, 1.139259, 0.1790547), Orientation(0.1110294, -0.07616962, -0.01772182, 0.9907355), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 61,current eyeGaze_left: Position (-0.04351763, 1.139259, 0.1790547), Orientation(0.1110294, -0.07616962, -0.01772182, 0.9907355), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 76,current eyeGaze_left: Position (-0.04347756, 1.139298, 0.1791162), Orientation(0.111426, -0.07853542, -0.01816543, 0.990498), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 89,current eyeGaze_left: Position (-0.04347756, 1.139298, 0.1791162), Orientation(0.111426, -0.07853542, -0.01816543, 0.990498), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 104,current eyeGaze_left: Position (-0.04347756, 1.139298, 0.1791162), Orientation(0.111426, -0.07853542, -0.01816543, 0.990498), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 117,current eyeGaze_left: Position (-0.04344042, 1.139329, 0.1792197), Orientation(0.1114578, -0.07607751, -0.01787799, 0.9906915), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 132,current eyeGaze_left: Position (-0.04344042, 1.139329, 0.1792197), Orientation(0.1114578, -0.07607751, -0.01787799, 0.9906915), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 146,current eyeGaze_left: Position (-0.04340182, 1.139356, 0.1792773), Orientation(0.1126599, -0.07769211, -0.01822011, 0.9904241), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 160,current eyeGaze_left: Position (-0.04340182, 1.139356, 0.1792773), Orientation(0.1126599, -0.07769211, -0.01822011, 0.9904241), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 174,current eyeGaze_left: Position (-0.04340182, 1.139356, 0.1792773), Orientation(0.1126599, -0.07769211, -0.01822011, 0.9904241), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 188,current eyeGaze_left: Position (-0.04333099, 1.139366, 0.1793343), Orientation(0.1113957, -0.07779543, -0.01822193, 0.9905589), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 202,current eyeGaze_left: Position (-0.04333099, 1.139366, 0.1793343), Orientation(0.1113957, -0.07779543, -0.01822193, 0.9905589), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 216,current eyeGaze_left: Position (-0.04322347, 1.139383, 0.1793772), Orientation(0.1117239, -0.08078337, -0.01864008, 0.9902751), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 230,current eyeGaze_left: Position (-0.04322347, 1.139383, 0.1793772), Orientation(0.1117239, -0.08078337, -0.01864008, 0.9902751), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 244,current eyeGaze_left: Position (-0.04317277, 1.139393, 0.1794132), Orientation(0.1117484, -0.08250882, -0.01878141, 0.9901272), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 258,current eyeGaze_left: Position (-0.04317277, 1.139393, 0.1794132), Orientation(0.1117484, -0.08250882, -0.01878141, 0.9901272), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 272,current eyeGaze_left: Position (-0.04317277, 1.139393, 0.1794132), Orientation(0.1117484, -0.08250882, -0.01878141, 0.9901272), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 285,current eyeGaze_left: Position (-0.04312523, 1.139413, 0.179444), Orientation(0.1131087, -0.0821432, -0.01874414, 0.9900039), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 300,current eyeGaze_left: Position (-0.04312523, 1.139413, 0.179444), Orientation(0.1131087, -0.0821432, -0.01874414, 0.9900039), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 314,current eyeGaze_left: Position (-0.04310227, 1.139432, 0.1794684), Orientation(0.1130818, -0.08343323, -0.01899777, 0.9898943), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 327,current eyeGaze_left: Position (-0.04310227, 1.139432, 0.1794684), Orientation(0.1130818, -0.08343323, -0.01899777, 0.9898943), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 341,current eyeGaze_left: Position (-0.04310227, 1.139432, 0.1794684), Orientation(0.1130818, -0.08343323, -0.01899777, 0.9898943), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 355,current eyeGaze_left: Position (-0.04308672, 1.139404, 0.1794804), Orientation(0.1153743, -0.0834478, -0.01894402, 0.9896294), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 370,current eyeGaze_left: Position (-0.04308672, 1.139404, 0.1794804), Orientation(0.1153743, -0.0834478, -0.01894402, 0.9896294), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 382,current eyeGaze_left: Position (-0.04304739, 1.139374, 0.1794803), Orientation(0.1139204, -0.08474045, -0.01921757, 0.9896828), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 396,current eyeGaze_left: Position (-0.04304739, 1.139374, 0.1794803), Orientation(0.1139204, -0.08474045, -0.01921757, 0.9896828), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 411,current eyeGaze_left: Position (-0.04298548, 1.139381, 0.1794756), Orientation(0.1149008, -0.08454477, -0.0193695, 0.9895833), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 424,current eyeGaze_left: Position (-0.04298548, 1.139381, 0.1794756), Orientation(0.1149008, -0.08454477, -0.0193695, 0.9895833), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 439,current eyeGaze_left: Position (-0.04298548, 1.139381, 0.1794756), Orientation(0.1149008, -0.08454477, -0.0193695, 0.9895833), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 453,current eyeGaze_left: Position (-0.04295232, 1.139371, 0.1794854), Orientation(0.1147931, -0.08639302, -0.01973352, 0.9894288), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 466,current eyeGaze_left: Position (-0.04295232, 1.139371, 0.1794854), Orientation(0.1147931, -0.08639302, -0.01973352, 0.9894288), Confidence: 0.5

Timestamp: 11/24/2024 8:11:27 PM, Millisecond: 481,current eyeGaze_left: Position (-0.04298441, 1.139417, 0.1795423), Orientation(0.1165581, -0.08471432, -0.01950685, 0.9893721), Confidence: 0.5

