Timestamp: 11/24/2024 8:21:37 PM, Millisecond: 911,current eyeGaze_left: Position (-0.0466807, 1.106285, 0.0008477126), Orientation(0.05890779, 0.0350588, -0.009590313, 0.9976015), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 274,current eyeGaze_left: Position (-0.04654081, 1.106544, 0.0009660095), Orientation(0.01428528, 0.02834142, -0.008580931, 0.9994595), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 284,current eyeGaze_left: Position (-0.04654081, 1.106544, 0.0009660095), Orientation(0.01428528, 0.02834142, -0.008580931, 0.9994595), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 305,current eyeGaze_left: Position (-0.04642259, 1.106535, 0.0009949747), Orientation(0.02874557, 0.02825171, -0.009608832, 0.9991413), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 323,current eyeGaze_left: Position (-0.04642259, 1.106535, 0.0009949747), Orientation(0.02874557, 0.02825171, -0.009608832, 0.9991413), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 343,current eyeGaze_left: Position (-0.04638039, 1.106571, 0.001036027), Orientation(0.04661158, 0.01974179, -0.01134936, 0.9986537), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 360,current eyeGaze_left: Position (-0.04638039, 1.106571, 0.001036027), Orientation(0.04661158, 0.01974179, -0.01134936, 0.9986537), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 379,current eyeGaze_left: Position (-0.04635434, 1.106583, 0.001075588), Orientation(0.04986195, 0.01977879, -0.01153354, 0.9984937), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 395,current eyeGaze_left: Position (-0.04635434, 1.106583, 0.001075588), Orientation(0.04986195, 0.01977879, -0.01153354, 0.9984937), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 410,current eyeGaze_left: Position (-0.0463569, 1.106617, 0.001148323), Orientation(0.06074018, 0.02126119, -0.01195725, 0.9978556), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 424,current eyeGaze_left: Position (-0.0463569, 1.106617, 0.001148323), Orientation(0.06074018, 0.02126119, -0.01195725, 0.9978556), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 439,current eyeGaze_left: Position (-0.04632836, 1.106616, 0.001161921), Orientation(0.06370871, 0.03237557, -0.01108529, 0.9973817), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 455,current eyeGaze_left: Position (-0.04632836, 1.106616, 0.001161921), Orientation(0.06370871, 0.03237557, -0.01108529, 0.9973817), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 470,current eyeGaze_left: Position (-0.04632836, 1.106616, 0.001161921), Orientation(0.06370871, 0.03237557, -0.01108529, 0.9973817), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 488,current eyeGaze_left: Position (-0.04632339, 1.106632, 0.001176256), Orientation(0.06802563, 0.03485515, -0.01126251, 0.997011), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 501,current eyeGaze_left: Position (-0.04632339, 1.106632, 0.001176256), Orientation(0.06802563, 0.03485515, -0.01126251, 0.997011), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 514,current eyeGaze_left: Position (-0.04632938, 1.106627, 0.001239082), Orientation(0.06831698, 0.05738462, -0.009252464, 0.9959688), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 526,current eyeGaze_left: Position (-0.04632938, 1.106627, 0.001239082), Orientation(0.06831698, 0.05738462, -0.009252464, 0.9959688), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 541,current eyeGaze_left: Position (-0.04633623, 1.106656, 0.001281912), Orientation(0.05833424, 0.1018499, -0.004781616, 0.9930766), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 555,current eyeGaze_left: Position (-0.04633623, 1.106656, 0.001281912), Orientation(0.05833424, 0.1018499, -0.004781616, 0.9930766), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 570,current eyeGaze_left: Position (-0.04633623, 1.106656, 0.001281912), Orientation(0.05833424, 0.1018499, -0.004781616, 0.9930766), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 585,current eyeGaze_left: Position (-0.04633152, 1.106686, 0.001318133), Orientation(0.05838133, 0.101904, -0.004884089, 0.9930678), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 599,current eyeGaze_left: Position (-0.04633152, 1.106686, 0.001318133), Orientation(0.05838133, 0.101904, -0.004884089, 0.9930678), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 613,current eyeGaze_left: Position (-0.04629554, 1.106696, 0.001332442), Orientation(0.06850915, 0.08961813, -0.00661147, 0.9935953), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 627,current eyeGaze_left: Position (-0.04629554, 1.106696, 0.001332442), Orientation(0.06850915, 0.08961813, -0.00661147, 0.9935953), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 642,current eyeGaze_left: Position (-0.04629344, 1.106707, 0.001331178), Orientation(0.06845936, 0.08108538, -0.00739726, 0.9943258), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 657,current eyeGaze_left: Position (-0.04629344, 1.106707, 0.001331178), Orientation(0.06845936, 0.08108538, -0.00739726, 0.9943258), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 669,current eyeGaze_left: Position (-0.04629344, 1.106707, 0.001331178), Orientation(0.06845936, 0.08108538, -0.00739726, 0.9943258), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 683,current eyeGaze_left: Position (-0.04630685, 1.106708, 0.001315124), Orientation(0.04214547, 0.07989983, -0.00605621, 0.9958932), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 699,current eyeGaze_left: Position (-0.04630685, 1.106708, 0.001315124), Orientation(0.04214547, 0.07989983, -0.00605621, 0.9958932), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 711,current eyeGaze_left: Position (-0.04631724, 1.106652, 0.001217687), Orientation(0.03626115, 0.08123173, -0.005517668, 0.9960201), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 725,current eyeGaze_left: Position (-0.04631724, 1.106652, 0.001217687), Orientation(0.03626115, 0.08123173, -0.005517668, 0.9960201), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 740,current eyeGaze_left: Position (-0.04636877, 1.106631, 0.001207782), Orientation(0.03626164, 0.08515928, -0.005069513, 0.9956945), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 753,current eyeGaze_left: Position (-0.04636877, 1.106631, 0.001207782), Orientation(0.03626164, 0.08515928, -0.005069513, 0.9956945), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 768,current eyeGaze_left: Position (-0.04636877, 1.106631, 0.001207782), Orientation(0.03626164, 0.08515928, -0.005069513, 0.9956945), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 782,current eyeGaze_left: Position (-0.0464186, 1.106622, 0.001204408), Orientation(0.04660213, 0.08532852, -0.00561312, 0.9952466), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 795,current eyeGaze_left: Position (-0.0464186, 1.106622, 0.001204408), Orientation(0.04660213, 0.08532852, -0.00561312, 0.9952466), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 809,current eyeGaze_left: Position (-0.0464992, 1.106639, 0.001227501), Orientation(0.05231734, 0.0591201, -0.008345647, 0.9968441), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 824,current eyeGaze_left: Position (-0.0464992, 1.106639, 0.001227501), Orientation(0.05231734, 0.0591201, -0.008345647, 0.9968441), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 837,current eyeGaze_left: Position (-0.0464992, 1.106639, 0.001227501), Orientation(0.05231734, 0.0591201, -0.008345647, 0.9968441), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 850,current eyeGaze_left: Position (-0.04652619, 1.106644, 0.001252518), Orientation(0.05218637, 0.04831281, -0.009358844, 0.9974241), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 867,current eyeGaze_left: Position (-0.04652619, 1.106644, 0.001252518), Orientation(0.05218637, 0.04831281, -0.009358844, 0.9974241), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 879,current eyeGaze_left: Position (-0.04652194, 1.106667, 0.001286592), Orientation(0.03795089, 0.04034966, -0.009258512, 0.9984218), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 892,current eyeGaze_left: Position (-0.04652194, 1.106667, 0.001286592), Orientation(0.03795089, 0.04034966, -0.009258512, 0.9984218), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 908,current eyeGaze_left: Position (-0.04651665, 1.106714, 0.001240179), Orientation(0.03823359, 0.03900625, -0.00917419, 0.9984651), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 920,current eyeGaze_left: Position (-0.04651665, 1.106714, 0.001240179), Orientation(0.03823359, 0.03900625, -0.00917419, 0.9984651), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 934,current eyeGaze_left: Position (-0.04651665, 1.106714, 0.001240179), Orientation(0.03823359, 0.03900625, -0.00917419, 0.9984651), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 950,current eyeGaze_left: Position (-0.04648359, 1.106759, 0.001302205), Orientation(0.04685794, 0.0405044, -0.009220633, 0.9980375), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 962,current eyeGaze_left: Position (-0.04648359, 1.106759, 0.001302205), Orientation(0.04685794, 0.0405044, -0.009220633, 0.9980375), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 976,current eyeGaze_left: Position (-0.04644915, 1.106886, 0.001370451), Orientation(0.0473418, 0.04386759, -0.009082001, 0.9978737), Confidence: 0.5

Timestamp: 11/24/2024 8:21:38 PM, Millisecond: 991,current eyeGaze_left: Position (-0.04644915, 1.106886, 0.001370451), Orientation(0.0473418, 0.04386759, -0.009082001, 0.9978737), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 5,current eyeGaze_left: Position (-0.04646226, 1.107034, 0.001423495), Orientation(0.05038854, 0.05743905, -0.008031251, 0.9970443), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 18,current eyeGaze_left: Position (-0.04646226, 1.107034, 0.001423495), Orientation(0.05038854, 0.05743905, -0.008031251, 0.9970443), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 33,current eyeGaze_left: Position (-0.04646226, 1.107034, 0.001423495), Orientation(0.05038854, 0.05743905, -0.008031251, 0.9970443), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 46,current eyeGaze_left: Position (-0.04642493, 1.107171, 0.001524377), Orientation(0.04570529, 0.0577132, -0.007741231, 0.9972563), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 60,current eyeGaze_left: Position (-0.04642493, 1.107171, 0.001524377), Orientation(0.04570529, 0.0577132, -0.007741231, 0.9972563), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 75,current eyeGaze_left: Position (-0.04639381, 1.107304, 0.00164064), Orientation(0.03197624, 0.05804611, -0.007037521, 0.9977768), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 87,current eyeGaze_left: Position (-0.04639381, 1.107304, 0.00164064), Orientation(0.03197624, 0.05804611, -0.007037521, 0.9977768), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 102,current eyeGaze_left: Position (-0.04639381, 1.107304, 0.00164064), Orientation(0.03197624, 0.05804611, -0.007037521, 0.9977768), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 117,current eyeGaze_left: Position (-0.04640924, 1.107487, 0.001815913), Orientation(0.03242005, 0.06420647, -0.006443665, 0.9973892), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 130,current eyeGaze_left: Position (-0.04640924, 1.107487, 0.001815913), Orientation(0.03242005, 0.06420647, -0.006443665, 0.9973892), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 144,current eyeGaze_left: Position (-0.04637923, 1.107579, 0.001950327), Orientation(0.03382854, 0.06457885, -0.006560992, 0.9973174), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 158,current eyeGaze_left: Position (-0.04637923, 1.107579, 0.001950327), Orientation(0.03382854, 0.06457885, -0.006560992, 0.9973174), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 172,current eyeGaze_left: Position (-0.04630236, 1.107645, 0.002064015), Orientation(0.05072121, 0.05984403, -0.007939471, 0.9968866), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 185,current eyeGaze_left: Position (-0.04630236, 1.107645, 0.002064015), Orientation(0.05072121, 0.05984403, -0.007939471, 0.9968866), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 201,current eyeGaze_left: Position (-0.04630236, 1.107645, 0.002064015), Orientation(0.05072121, 0.05984403, -0.007939471, 0.9968866), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 214,current eyeGaze_left: Position (-0.04621129, 1.107638, 0.002067737), Orientation(0.05241857, 0.05184575, -0.00867295, 0.9972408), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 227,current eyeGaze_left: Position (-0.04621129, 1.107638, 0.002067737), Orientation(0.05241857, 0.05184575, -0.00867295, 0.9972408), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 243,current eyeGaze_left: Position (-0.04606823, 1.107754, 0.002152987), Orientation(0.06061048, 0.05189175, -0.009210998, 0.9967691), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 255,current eyeGaze_left: Position (-0.04606823, 1.107754, 0.002152987), Orientation(0.06061048, 0.05189175, -0.009210998, 0.9967691), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 269,current eyeGaze_left: Position (-0.04606823, 1.107754, 0.002152987), Orientation(0.06061048, 0.05189175, -0.009210998, 0.9967691), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 283,current eyeGaze_left: Position (-0.0459143, 1.107888, 0.002275671), Orientation(0.06105151, 0.05286848, -0.009039347, 0.9966924), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 297,current eyeGaze_left: Position (-0.0459143, 1.107888, 0.002275671), Orientation(0.06105151, 0.05286848, -0.009039347, 0.9966924), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 311,current eyeGaze_left: Position (-0.04571214, 1.108166, 0.002510498), Orientation(0.05790678, 0.05520512, -0.008491187, 0.9967585), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 325,current eyeGaze_left: Position (-0.04571214, 1.108166, 0.002510498), Orientation(0.05790678, 0.05520512, -0.008491187, 0.9967585), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 339,current eyeGaze_left: Position (-0.04535863, 1.108472, 0.002725489), Orientation(0.05806682, 0.05538422, -0.008514793, 0.9967389), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 352,current eyeGaze_left: Position (-0.04535863, 1.108472, 0.002725489), Orientation(0.05806682, 0.05538422, -0.008514793, 0.9967389), Confidence: 0.5

Timestamp: 11/24/2024 8:21:39 PM, Millisecond: 367,current eyeGaze_left: Position (-0.04535863, 1.108472, 0.002725489), Orientation(0.05806682, 0.05538422, -0.008514793, 0.9967389), Confidence: 0.5

