Timestamp: 11/24/2024 8:34:51 PM, Millisecond: 663,current eyeGaze_left: Position (-0.08641927, 1.126831, 0.09719217), Orientation(0.1666869, -0.02843918, 0.0100616, 0.9855483), Confidence: 0.5

Timestamp: 11/24/2024 8:34:51 PM, Millisecond: 676,current eyeGaze_left: Position (-0.08644409, 1.126786, 0.09708412), Orientation(0.1665036, -0.02647269, 0.01039811, 0.9856306), Confidence: 0.5

Timestamp: 11/24/2024 8:34:51 PM, Millisecond: 690,current eyeGaze_left: Position (-0.08644409, 1.126786, 0.09708412), Orientation(0.1665036, -0.02647269, 0.01039811, 0.9856306), Confidence: 0.5

Timestamp: 11/24/2024 8:34:51 PM, Millisecond: 704,current eyeGaze_left: Position (-0.08646074, 1.126767, 0.09695706), Orientation(0.1194006, 0.005767096, 0.0141757, 0.9927284), Confidence: 0.5

Timestamp: 11/24/2024 8:34:51 PM, Millisecond: 717,current eyeGaze_left: Position (-0.08646074, 1.126767, 0.09695706), Orientation(0.1194006, 0.005767096, 0.0141757, 0.9927284), Confidence: 0.5

Timestamp: 11/24/2024 8:34:51 PM, Millisecond: 731,current eyeGaze_left: Position (-0.08653528, 1.126698, 0.09684515), Orientation(0.1190163, 0.01092632, 0.01487731, 0.9927207), Confidence: 0.5

Timestamp: 11/24/2024 8:34:51 PM, Millisecond: 746,current eyeGaze_left: Position (-0.08653528, 1.126698, 0.09684515), Orientation(0.1190163, 0.01092632, 0.01487731, 0.9927207), Confidence: 0.5

Timestamp: 11/24/2024 8:34:51 PM, Millisecond: 760,current eyeGaze_left: Position (-0.08653528, 1.126698, 0.09684515), Orientation(0.1190163, 0.01092632, 0.01487731, 0.9927207), Confidence: 0.5

Timestamp: 11/24/2024 8:34:51 PM, Millisecond: 773,current eyeGaze_left: Position (-0.08664434, 1.126613, 0.09674442), Orientation(0.1294977, 0.01158905, 0.01500889, 0.9913983), Confidence: 0.5

Timestamp: 11/24/2024 8:34:51 PM, Millisecond: 786,current eyeGaze_left: Position (-0.08664434, 1.126613, 0.09674442), Orientation(0.1294977, 0.01158905, 0.01500889, 0.9913983), Confidence: 0.5

