
Timestamp: 11/24/2024 9:16:26 PM, Millisecond: 394,current eyeGaze_left: Position (-0.1404921, 1.076595, 0.114773), Orientation(0.2012412, -0.04062312, 0.01998216, 0.978495), Confidence: 0.5

Timestamp: 11/24/2024 9:16:26 PM, Millisecond: 409,current eyeGaze_left: Position (-0.1405243, 1.076718, 0.1151289), Orientation(0.2061082, -0.0399599, 0.0199732, 0.9775089), Confidence: 0.5

Timestamp: 11/24/2024 9:16:26 PM, Millisecond: 423,current eyeGaze_left: Position (-0.1405243, 1.076718, 0.1151289), Orientation(0.2061082, -0.0399599, 0.0199732, 0.9775089), Confidence: 0.5

Timestamp: 11/24/2024 9:16:26 PM, Millisecond: 437,current eyeGaze_left: Position (-0.1405243, 1.076718, 0.1151289), Orientation(0.2061082, -0.0399599, 0.0199732, 0.9775089), Confidence: 0.5

Timestamp: 11/24/2024 9:16:26 PM, Millisecond: 451,current eyeGaze_left: Position (-0.1406111, 1.076791, 0.1154401), Orientation(0.2067371, -0.03880889, 0.02017156, 0.9774184), Confidence: 0.5

Timestamp: 11/24/2024 9:16:26 PM, Millisecond: 464,current eyeGaze_left: Position (-0.1406111, 1.076791, 0.1154401), Orientation(0.2067371, -0.03880889, 0.02017156, 0.9774184), Confidence: 0.5

Timestamp: 11/24/2024 9:16:26 PM, Millisecond: 478,current eyeGaze_left: Position (-0.140823, 1.076822, 0.1156665), Orientation(0.2032423, -0.03888925, 0.02030667, 0.9781451), Confidence: 0.5

Timestamp: 11/24/2024 9:16:26 PM, Millisecond: 492,current eyeGaze_left: Position (-0.140823, 1.076822, 0.1156665), Orientation(0.2032423, -0.03888925, 0.02030667, 0.9781451), Confidence: 0.5

Timestamp: 11/24/2024 9:16:26 PM, Millisecond: 507,current eyeGaze_left: Position (-0.1409688, 1.076881, 0.1158698), Orientation(0.2030874, -0.03900669, 0.02041851, 0.9781703), Confidence: 0.5

Timestamp: 11/24/2024 9:16:26 PM, Millisecond: 520,current eyeGaze_left: Position (-0.1409688, 1.076881, 0.1158698), Orientation(0.2030874, -0.03900669, 0.02041851, 0.9781703), Confidence: 0.5

Timestamp: 11/24/2024 9:16:26 PM, Millisecond: 534,current eyeGaze_left: Position (-0.1409688, 1.076881, 0.1158698), Orientation(0.2030874, -0.03900669, 0.02041851, 0.9781703), Confidence: 0.5

Timestamp: 11/24/2024 9:16:26 PM, Millisecond: 548,current eyeGaze_left: Position (-0.1411098, 1.076997, 0.1160206), Orientation(0.2045929, -0.03898065, 0.02060065, 0.9778537), Confidence: 0.5

Timestamp: 11/24/2024 9:16:26 PM, Millisecond: 562,current eyeGaze_left: Position (-0.1411098, 1.076997, 0.1160206), Orientation(0.2045929, -0.03898065, 0.02060065, 0.9778537), Confidence: 0.5

Timestamp: 11/24/2024 9:16:26 PM, Millisecond: 576,current eyeGaze_left: Position (-0.141122, 1.077097, 0.1160818), Orientation(0.2067358, -0.0367448, 0.02138067, 0.9774727), Confidence: 0.5

Timestamp: 11/24/2024 9:16:26 PM, Millisecond: 604,current eyeGaze_left: Position (-0.141122, 1.077097, 0.1160818), Orientation(0.2067358, -0.0367448, 0.02138067, 0.9774727), Confidence: 0.5

Timestamp: 11/24/2024 9:16:26 PM, Millisecond: 615,current eyeGaze_left: Position (-0.1412165, 1.077271, 0.1161481), Orientation(0.228437, -0.01843514, 0.02508467, 0.9730609), Confidence: 0.5

Timestamp: 11/24/2024 9:16:26 PM, Millisecond: 628,current eyeGaze_left: Position (-0.1412165, 1.077271, 0.1161481), Orientation(0.228437, -0.01843514, 0.02508467, 0.9730609), Confidence: 0.5

Timestamp: 11/24/2024 9:16:26 PM, Millisecond: 657,current eyeGaze_left: Position (-0.1413038, 1.07746, 0.1162173), Orientation(0.2295673, -0.01869237, 0.02535658, 0.9727828), Confidence: 0.5

Timestamp: 11/24/2024 9:16:26 PM, Millisecond: 669,current eyeGaze_left: Position (-0.1413038, 1.07746, 0.1162173), Orientation(0.2295673, -0.01869237, 0.02535658, 0.9727828), Confidence: 0.5

Timestamp: 11/24/2024 9:16:26 PM, Millisecond: 683,current eyeGaze_left: Position (-0.1413633, 1.077706, 0.1163358), Orientation(0.2294336, -0.01866981, 0.02570463, 0.9728057), Confidence: 0.5

