
Timestamp: 11/2/2024 5:59:28 PM, Millisecond: 193,current eyeGaze_left: Position (0.02051953, 1.080081, 0.04099581), Orientation(0.1512508, 0.1743306, -0.02873806, 0.9725771), Confidence: 0.5

Timestamp: 11/2/2024 5:59:28 PM, Millisecond: 206,current eyeGaze_left: Position (0.02042418, 1.080112, 0.04105487), Orientation(0.1502871, 0.2026215, -0.02451697, 0.9673454), Confidence: 0.5

Timestamp: 11/2/2024 5:59:28 PM, Millisecond: 220,current eyeGaze_left: Position (0.02042418, 1.080112, 0.04105487), Orientation(0.1502871, 0.2026215, -0.02451697, 0.9673454), Confidence: 0.5

Timestamp: 11/2/2024 5:59:28 PM, Millisecond: 234,current eyeGaze_left: Position (0.02026603, 1.080108, 0.04117931), Orientation(0.1505255, 0.2033733, -0.0247284, 0.9671451), Confidence: 0.5

Timestamp: 11/2/2024 5:59:28 PM, Millisecond: 248,current eyeGaze_left: Position (0.02026603, 1.080108, 0.04117931), Orientation(0.1505255, 0.2033733, -0.0247284, 0.9671451), Confidence: 0.5

Timestamp: 11/2/2024 5:59:28 PM, Millisecond: 263,current eyeGaze_left: Position (0.02026603, 1.080108, 0.04117931), Orientation(0.1505255, 0.2033733, -0.0247284, 0.9671451), Confidence: 0.5

Timestamp: 11/2/2024 5:59:28 PM, Millisecond: 276,current eyeGaze_left: Position (0.02015369, 1.080163, 0.04126434), Orientation(0.1507612, 0.2026009, -0.02520178, 0.9672585), Confidence: 0.5

Timestamp: 11/2/2024 5:59:28 PM, Millisecond: 290,current eyeGaze_left: Position (0.02015369, 1.080163, 0.04126434), Orientation(0.1507612, 0.2026009, -0.02520178, 0.9672585), Confidence: 0.5

Timestamp: 11/2/2024 5:59:28 PM, Millisecond: 304,current eyeGaze_left: Position (0.02007074, 1.080248, 0.04132108), Orientation(0.151659, 0.1997676, -0.02594569, 0.9676877), Confidence: 0.5

Timestamp: 11/2/2024 5:59:28 PM, Millisecond: 318,current eyeGaze_left: Position (0.02007074, 1.080248, 0.04132108), Orientation(0.151659, 0.1997676, -0.02594569, 0.9676877), Confidence: 0.5

Timestamp: 11/2/2024 5:59:28 PM, Millisecond: 332,current eyeGaze_left: Position (0.02003353, 1.080375, 0.04131458), Orientation(0.1521159, 0.1994736, -0.02615507, 0.9676709), Confidence: 0.5

Timestamp: 11/2/2024 5:59:28 PM, Millisecond: 346,current eyeGaze_left: Position (0.02003353, 1.080375, 0.04131458), Orientation(0.1521159, 0.1994736, -0.02615507, 0.9676709), Confidence: 0.5

Timestamp: 11/2/2024 5:59:28 PM, Millisecond: 361,current eyeGaze_left: Position (0.02003353, 1.080375, 0.04131458), Orientation(0.1521159, 0.1994736, -0.02615507, 0.9676709), Confidence: 0.5

Timestamp: 11/2/2024 5:59:28 PM, Millisecond: 374,current eyeGaze_left: Position (0.01992992, 1.080504, 0.04137577), Orientation(0.1527195, 0.1992254, -0.02636552, 0.9676212), Confidence: 0.5

Timestamp: 11/2/2024 5:59:28 PM, Millisecond: 388,current eyeGaze_left: Position (0.01992992, 1.080504, 0.04137577), Orientation(0.1527195, 0.1992254, -0.02636552, 0.9676212), Confidence: 0.5

Timestamp: 11/2/2024 5:59:28 PM, Millisecond: 402,current eyeGaze_left: Position (0.0197969, 1.080628, 0.04147378), Orientation(0.153014, 0.1999686, -0.02650227, 0.9674176), Confidence: 0.5

Timestamp: 11/2/2024 5:59:28 PM, Millisecond: 416,current eyeGaze_left: Position (0.0197969, 1.080628, 0.04147378), Orientation(0.153014, 0.1999686, -0.02650227, 0.9674176), Confidence: 0.5

