Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 162,current eyeGaze_left: Position (0.06211263, 1.081621, 0.02743404), Orientation(0.1113991, 0.02199577, -0.01516555, 0.9934165), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 175,current eyeGaze_left: Position (0.06211109, 1.081677, 0.02755676), Orientation(0.1131317, 0.02228332, -0.01525713, 0.993213), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 189,current eyeGaze_left: Position (0.06211109, 1.081677, 0.02755676), Orientation(0.1131317, 0.02228332, -0.01525713, 0.993213), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 203,current eyeGaze_left: Position (0.06212445, 1.081705, 0.02761836), Orientation(0.1164256, 0.02286811, -0.01532408, 0.9928178), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 217,current eyeGaze_left: Position (0.06212445, 1.081705, 0.02761836), Orientation(0.1164256, 0.02286811, -0.01532408, 0.9928178), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 231,current eyeGaze_left: Position (0.06212445, 1.081705, 0.02761836), Orientation(0.1164256, 0.02286811, -0.01532408, 0.9928178), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 245,current eyeGaze_left: Position (0.06210651, 1.081738, 0.02773771), Orientation(0.1171226, 0.04302856, -0.01270428, 0.9921037), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 259,current eyeGaze_left: Position (0.06210651, 1.081738, 0.02773771), Orientation(0.1171226, 0.04302856, -0.01270428, 0.9921037), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 273,current eyeGaze_left: Position (0.06206646, 1.081774, 0.02786305), Orientation(0.1181103, 0.04642961, -0.0123458, 0.9918376), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 287,current eyeGaze_left: Position (0.06206646, 1.081774, 0.02786305), Orientation(0.1181103, 0.04642961, -0.0123458, 0.9918376), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 301,current eyeGaze_left: Position (0.06204778, 1.081868, 0.02796605), Orientation(0.119637, 0.04747427, -0.01236451, 0.9916049), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 315,current eyeGaze_left: Position (0.06204778, 1.081868, 0.02796605), Orientation(0.119637, 0.04747427, -0.01236451, 0.9916049), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 329,current eyeGaze_left: Position (0.06204778, 1.081868, 0.02796605), Orientation(0.119637, 0.04747427, -0.01236451, 0.9916049), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 342,current eyeGaze_left: Position (0.06198419, 1.081888, 0.02807236), Orientation(0.1211815, 0.04773346, -0.01237417, 0.991405), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 356,current eyeGaze_left: Position (0.06198419, 1.081888, 0.02807236), Orientation(0.1211815, 0.04773346, -0.01237417, 0.991405), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 371,current eyeGaze_left: Position (0.06191946, 1.08194, 0.02815673), Orientation(0.1202404, 0.04645687, -0.01260556, 0.9915771), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 384,current eyeGaze_left: Position (0.06191946, 1.08194, 0.02815673), Orientation(0.1202404, 0.04645687, -0.01260556, 0.9915771), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 399,current eyeGaze_left: Position (0.06191946, 1.08194, 0.02815673), Orientation(0.1202404, 0.04645687, -0.01260556, 0.9915771), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 412,current eyeGaze_left: Position (0.06189203, 1.081991, 0.02819812), Orientation(0.1215697, 0.04661944, -0.01266194, 0.9914067), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 426,current eyeGaze_left: Position (0.06189203, 1.081991, 0.02819812), Orientation(0.1215697, 0.04661944, -0.01266194, 0.9914067), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 441,current eyeGaze_left: Position (0.06183881, 1.082039, 0.0282487), Orientation(0.1204857, 0.0463137, -0.01254838, 0.9915546), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 454,current eyeGaze_left: Position (0.06183881, 1.082039, 0.0282487), Orientation(0.1204857, 0.0463137, -0.01254838, 0.9915546), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 468,current eyeGaze_left: Position (0.0617855, 1.082066, 0.02827121), Orientation(0.1189793, 0.04512712, -0.01277377, 0.9917884), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 482,current eyeGaze_left: Position (0.0617855, 1.082066, 0.02827121), Orientation(0.1189793, 0.04512712, -0.01277377, 0.9917884), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 497,current eyeGaze_left: Position (0.0617855, 1.082066, 0.02827121), Orientation(0.1189793, 0.04512712, -0.01277377, 0.9917884), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 510,current eyeGaze_left: Position (0.06182494, 1.082007, 0.0281845), Orientation(0.1189839, 0.0454384, -0.0128932, 0.9917721), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 524,current eyeGaze_left: Position (0.06182494, 1.082007, 0.0281845), Orientation(0.1189839, 0.0454384, -0.0128932, 0.9917721), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 538,current eyeGaze_left: Position (0.06180397, 1.081964, 0.02816638), Orientation(0.120835, 0.04611184, -0.01296884, 0.9915163), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 552,current eyeGaze_left: Position (0.06180397, 1.081964, 0.02816638), Orientation(0.120835, 0.04611184, -0.01296884, 0.9915163), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 566,current eyeGaze_left: Position (0.06180397, 1.081964, 0.02816638), Orientation(0.120835, 0.04611184, -0.01296884, 0.9915163), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 580,current eyeGaze_left: Position (0.06179123, 1.081945, 0.02813719), Orientation(0.1207534, 0.04628372, -0.01302767, 0.9915174), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 594,current eyeGaze_left: Position (0.06179123, 1.081945, 0.02813719), Orientation(0.1207534, 0.04628372, -0.01302767, 0.9915174), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 608,current eyeGaze_left: Position (0.06178932, 1.081947, 0.02810151), Orientation(0.1177002, 0.04618184, -0.01291986, 0.9918906), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 622,current eyeGaze_left: Position (0.06178932, 1.081947, 0.02810151), Orientation(0.1177002, 0.04618184, -0.01291986, 0.9918906), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 636,current eyeGaze_left: Position (0.06178708, 1.081999, 0.0280433), Orientation(0.1177719, 0.04637323, -0.01300447, 0.9918721), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 650,current eyeGaze_left: Position (0.06178708, 1.081999, 0.0280433), Orientation(0.1177719, 0.04637323, -0.01300447, 0.9918721), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 664,current eyeGaze_left: Position (0.06178708, 1.081999, 0.0280433), Orientation(0.1177719, 0.04637323, -0.01300447, 0.9918721), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 678,current eyeGaze_left: Position (0.06177885, 1.082063, 0.02797157), Orientation(0.1218477, 0.0430996, -0.01382708, 0.9915163), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 691,current eyeGaze_left: Position (0.06177885, 1.082063, 0.02797157), Orientation(0.1218477, 0.0430996, -0.01382708, 0.9915163), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 706,current eyeGaze_left: Position (0.06187347, 1.08211, 0.02778855), Orientation(0.1283871, 0.04415407, -0.01398542, 0.9906421), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 719,current eyeGaze_left: Position (0.06187347, 1.08211, 0.02778855), Orientation(0.1283871, 0.04415407, -0.01398542, 0.9906421), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 733,current eyeGaze_left: Position (0.06189094, 1.082144, 0.02769668), Orientation(0.1326218, 0.04146342, -0.01473828, 0.9901896), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 747,current eyeGaze_left: Position (0.06189094, 1.082144, 0.02769668), Orientation(0.1326218, 0.04146342, -0.01473828, 0.9901896), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 762,current eyeGaze_left: Position (0.06189094, 1.082144, 0.02769668), Orientation(0.1326218, 0.04146342, -0.01473828, 0.9901896), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 776,current eyeGaze_left: Position (0.06190328, 1.082135, 0.02760856), Orientation(0.1333322, 0.04323954, -0.01476946, 0.9900177), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 789,current eyeGaze_left: Position (0.06190328, 1.082135, 0.02760856), Orientation(0.1333322, 0.04323954, -0.01476946, 0.9900177), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 805,current eyeGaze_left: Position (0.06192022, 1.082067, 0.02752663), Orientation(0.1337918, 0.04305551, -0.0150337, 0.9899596), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 817,current eyeGaze_left: Position (0.06192022, 1.082067, 0.02752663), Orientation(0.1337918, 0.04305551, -0.0150337, 0.9899596), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 830,current eyeGaze_left: Position (0.06192022, 1.082067, 0.02752663), Orientation(0.1337918, 0.04305551, -0.0150337, 0.9899596), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 845,current eyeGaze_left: Position (0.06190795, 1.082013, 0.02747505), Orientation(0.1335353, 0.04331643, -0.0153046, 0.9899788), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 858,current eyeGaze_left: Position (0.06190795, 1.082013, 0.02747505), Orientation(0.1335353, 0.04331643, -0.0153046, 0.9899788), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 872,current eyeGaze_left: Position (0.06188273, 1.081989, 0.02743183), Orientation(0.1331433, 0.04352213, -0.01549372, 0.9900195), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 886,current eyeGaze_left: Position (0.06188273, 1.081989, 0.02743183), Orientation(0.1331433, 0.04352213, -0.01549372, 0.9900195), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 901,current eyeGaze_left: Position (0.06188273, 1.081989, 0.02743183), Orientation(0.1331433, 0.04352213, -0.01549372, 0.9900195), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 914,current eyeGaze_left: Position (0.06188454, 1.081992, 0.02741162), Orientation(0.1326486, 0.04534712, -0.01536136, 0.9900061), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 929,current eyeGaze_left: Position (0.06188454, 1.081992, 0.02741162), Orientation(0.1326486, 0.04534712, -0.01536136, 0.9900061), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 943,current eyeGaze_left: Position (0.06184085, 1.082007, 0.02739195), Orientation(0.1327059, 0.04554502, -0.01542104, 0.9899884), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 956,current eyeGaze_left: Position (0.06184085, 1.082007, 0.02739195), Orientation(0.1327059, 0.04554502, -0.01542104, 0.9899884), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 970,current eyeGaze_left: Position (0.06178682, 1.082015, 0.0273901), Orientation(0.1346209, 0.04461636, -0.01561473, 0.9897692), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 984,current eyeGaze_left: Position (0.06178682, 1.082015, 0.0273901), Orientation(0.1346209, 0.04461636, -0.01561473, 0.9897692), Confidence: 0.5

Timestamp: 11/2/2024 5:54:57 PM, Millisecond: 999,current eyeGaze_left: Position (0.06178682, 1.082015, 0.0273901), Orientation(0.1346209, 0.04461636, -0.01561473, 0.9897692), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 12,current eyeGaze_left: Position (0.06177379, 1.081984, 0.02740529), Orientation(0.1347288, 0.04347563, -0.01574523, 0.9898031), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 26,current eyeGaze_left: Position (0.06177379, 1.081984, 0.02740529), Orientation(0.1347288, 0.04347563, -0.01574523, 0.9898031), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 40,current eyeGaze_left: Position (0.06170377, 1.081988, 0.02742057), Orientation(0.1346251, 0.0445918, -0.01552969, 0.989771), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 68,current eyeGaze_left: Position (0.06170377, 1.081988, 0.02742057), Orientation(0.1346251, 0.0445918, -0.01552969, 0.989771), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 79,current eyeGaze_left: Position (0.06163292, 1.081996, 0.02743521), Orientation(0.1332522, 0.04389807, -0.01550413, 0.9899881), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 93,current eyeGaze_left: Position (0.06163292, 1.081996, 0.02743521), Orientation(0.1332522, 0.04389807, -0.01550413, 0.9899881), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 108,current eyeGaze_left: Position (0.06161119, 1.082025, 0.02742339), Orientation(0.1349093, 0.04490142, -0.01538814, 0.9897206), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 122,current eyeGaze_left: Position (0.06161119, 1.082025, 0.02742339), Orientation(0.1349093, 0.04490142, -0.01538814, 0.9897206), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 137,current eyeGaze_left: Position (0.06155923, 1.082053, 0.02742271), Orientation(0.1373222, 0.0491349, -0.01488122, 0.9891952), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 150,current eyeGaze_left: Position (0.06155923, 1.082053, 0.02742271), Orientation(0.1373222, 0.0491349, -0.01488122, 0.9891952), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 164,current eyeGaze_left: Position (0.06155923, 1.082053, 0.02742271), Orientation(0.1373222, 0.0491349, -0.01488122, 0.9891952), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 178,current eyeGaze_left: Position (0.06151957, 1.082083, 0.02741448), Orientation(0.1407632, 0.04925609, -0.01497717, 0.9887039), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 192,current eyeGaze_left: Position (0.06151957, 1.082083, 0.02741448), Orientation(0.1407632, 0.04925609, -0.01497717, 0.9887039), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 206,current eyeGaze_left: Position (0.06150261, 1.082096, 0.02741761), Orientation(0.1409247, 0.04925684, -0.01496835, 0.988681), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 220,current eyeGaze_left: Position (0.06150261, 1.082096, 0.02741761), Orientation(0.1409247, 0.04925684, -0.01496835, 0.988681), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 234,current eyeGaze_left: Position (0.06150261, 1.082096, 0.02741761), Orientation(0.1409247, 0.04925684, -0.01496835, 0.988681), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 248,current eyeGaze_left: Position (0.06147611, 1.082097, 0.02740037), Orientation(0.1409832, 0.04859781, -0.01498997, 0.9887049), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 263,current eyeGaze_left: Position (0.06147611, 1.082097, 0.02740037), Orientation(0.1409832, 0.04859781, -0.01498997, 0.9887049), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 277,current eyeGaze_left: Position (0.06143656, 1.082106, 0.02737869), Orientation(0.1397942, 0.04861093, -0.01489596, 0.9888746), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 290,current eyeGaze_left: Position (0.06143656, 1.082106, 0.02737869), Orientation(0.1397942, 0.04861093, -0.01489596, 0.9888746), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 304,current eyeGaze_left: Position (0.06141542, 1.082113, 0.02736384), Orientation(0.1391512, 0.05064167, -0.0144842, 0.9888695), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 318,current eyeGaze_left: Position (0.06141542, 1.082113, 0.02736384), Orientation(0.1391512, 0.05064167, -0.0144842, 0.9888695), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 332,current eyeGaze_left: Position (0.06141542, 1.082113, 0.02736384), Orientation(0.1391512, 0.05064167, -0.0144842, 0.9888695), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 346,current eyeGaze_left: Position (0.06136518, 1.082109, 0.02734115), Orientation(0.1392471, 0.05077443, -0.01437245, 0.9888508), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 360,current eyeGaze_left: Position (0.06136518, 1.082109, 0.02734115), Orientation(0.1392471, 0.05077443, -0.01437245, 0.9888508), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 374,current eyeGaze_left: Position (0.06130835, 1.082138, 0.02732057), Orientation(0.1398849, 0.04837338, -0.01482189, 0.9888744), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 387,current eyeGaze_left: Position (0.06130835, 1.082138, 0.02732057), Orientation(0.1398849, 0.04837338, -0.01482189, 0.9888744), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 402,current eyeGaze_left: Position (0.06123237, 1.082137, 0.0273845), Orientation(0.1407541, 0.0485289, -0.01467355, 0.9887457), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 416,current eyeGaze_left: Position (0.06123237, 1.082137, 0.0273845), Orientation(0.1407541, 0.0485289, -0.01467355, 0.9887457), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 430,current eyeGaze_left: Position (0.06123237, 1.082137, 0.0273845), Orientation(0.1407541, 0.0485289, -0.01467355, 0.9887457), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 444,current eyeGaze_left: Position (0.06119213, 1.082156, 0.02737236), Orientation(0.1421584, 0.0493399, -0.01455575, 0.9885064), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 457,current eyeGaze_left: Position (0.06119213, 1.082156, 0.02737236), Orientation(0.1421584, 0.0493399, -0.01455575, 0.9885064), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 471,current eyeGaze_left: Position (0.06116318, 1.082152, 0.02735159), Orientation(0.1423237, 0.04947679, -0.0146005, 0.9884751), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 485,current eyeGaze_left: Position (0.06116318, 1.082152, 0.02735159), Orientation(0.1423237, 0.04947679, -0.0146005, 0.9884751), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 499,current eyeGaze_left: Position (0.06116318, 1.082152, 0.02735159), Orientation(0.1423237, 0.04947679, -0.0146005, 0.9884751), Confidence: 0.5

Timestamp: 11/2/2024 5:54:58 PM, Millisecond: 513,current eyeGaze_left: Position (0.06115121, 1.082142, 0.02735198), Orientation(0.1423245, 0.04924222, -0.01459427, 0.9884868), Confidence: 0.5

