Timestamp: 11/2/2024 5:56:45 PM, Millisecond: 866,current eyeGaze_left: Position (0.0557187, 1.085006, 0.0301166), Orientation(0.05016972, -0.03476515, -0.03107732, 0.9976515), Confidence: 0.5

Timestamp: 11/2/2024 5:56:45 PM, Millisecond: 880,current eyeGaze_left: Position (0.05572891, 1.085005, 0.03012636), Orientation(0.05010293, -0.03714141, -0.03135839, 0.9975605), Confidence: 0.5

Timestamp: 11/2/2024 5:56:45 PM, Millisecond: 895,current eyeGaze_left: Position (0.05572891, 1.085005, 0.03012636), Orientation(0.05010293, -0.03714141, -0.03135839, 0.9975605), Confidence: 0.5

Timestamp: 11/2/2024 5:56:45 PM, Millisecond: 908,current eyeGaze_left: Position (0.05573028, 1.085043, 0.03015099), Orientation(0.05010511, -0.03774083, -0.03136304, 0.9975377), Confidence: 0.5

Timestamp: 11/2/2024 5:56:45 PM, Millisecond: 922,current eyeGaze_left: Position (0.05573028, 1.085043, 0.03015099), Orientation(0.05010511, -0.03774083, -0.03136304, 0.9975377), Confidence: 0.5

Timestamp: 11/2/2024 5:56:45 PM, Millisecond: 936,current eyeGaze_left: Position (0.05568406, 1.085183, 0.03027523), Orientation(0.04601648, -0.03902039, -0.03154729, 0.9976797), Confidence: 0.5

Timestamp: 11/2/2024 5:56:45 PM, Millisecond: 949,current eyeGaze_left: Position (0.05568406, 1.085183, 0.03027523), Orientation(0.04601648, -0.03902039, -0.03154729, 0.9976797), Confidence: 0.5

Timestamp: 11/2/2024 5:56:45 PM, Millisecond: 964,current eyeGaze_left: Position (0.05568406, 1.085183, 0.03027523), Orientation(0.04601648, -0.03902039, -0.03154729, 0.9976797), Confidence: 0.5

Timestamp: 11/2/2024 5:56:45 PM, Millisecond: 978,current eyeGaze_left: Position (0.05569992, 1.085222, 0.03026787), Orientation(0.04611704, -0.03763812, -0.03139733, 0.9977328), Confidence: 0.5

Timestamp: 11/2/2024 5:56:45 PM, Millisecond: 991,current eyeGaze_left: Position (0.05569992, 1.085222, 0.03026787), Orientation(0.04611704, -0.03763812, -0.03139733, 0.9977328), Confidence: 0.5

Timestamp: 11/2/2024 5:56:46 PM, Millisecond: 19,current eyeGaze_left: Position (0.055737, 1.085232, 0.03024271), Orientation(0.04678791, -0.03861899, -0.03149208, 0.9976611), Confidence: 0.5

Timestamp: 11/2/2024 5:56:46 PM, Millisecond: 32,current eyeGaze_left: Position (0.055737, 1.085232, 0.03024271), Orientation(0.04678791, -0.03861899, -0.03149208, 0.9976611), Confidence: 0.5

Timestamp: 11/2/2024 5:56:46 PM, Millisecond: 46,current eyeGaze_left: Position (0.05575343, 1.085149, 0.03020111), Orientation(0.04669716, -0.03869458, -0.03159492, 0.9976593), Confidence: 0.5

Timestamp: 11/2/2024 5:56:46 PM, Millisecond: 61,current eyeGaze_left: Position (0.05575343, 1.085149, 0.03020111), Orientation(0.04669716, -0.03869458, -0.03159492, 0.9976593), Confidence: 0.5

Timestamp: 11/2/2024 5:56:46 PM, Millisecond: 74,current eyeGaze_left: Position (0.05581354, 1.085113, 0.03016797), Orientation(0.04653934, -0.0387647, -0.03169408, 0.9976608), Confidence: 0.5

Timestamp: 11/2/2024 5:56:46 PM, Millisecond: 87,current eyeGaze_left: Position (0.05581354, 1.085113, 0.03016797), Orientation(0.04653934, -0.0387647, -0.03169408, 0.9976608), Confidence: 0.5

Timestamp: 11/2/2024 5:56:46 PM, Millisecond: 102,current eyeGaze_left: Position (0.05585948, 1.085084, 0.03014975), Orientation(0.04617462, -0.04002866, -0.03191823, 0.9976207), Confidence: 0.5

Timestamp: 11/2/2024 5:56:46 PM, Millisecond: 115,current eyeGaze_left: Position (0.05585948, 1.085084, 0.03014975), Orientation(0.04617462, -0.04002866, -0.03191823, 0.9976207), Confidence: 0.5

