Timestamp: 11/2/2024 6:02:29 PM, Millisecond: 75,current eyeGaze_left: Position (-0.03832076, 1.075678, 0.0166288), Orientation(0.1109515, 0.0006643925, -0.02420373, 0.9935308), Confidence: 0.5

Timestamp: 11/2/2024 6:02:29 PM, Millisecond: 437,current eyeGaze_left: Position (-0.04343894, 1.07637, 0.0187357), Orientation(0.08052676, 0.02241189, -0.01932581, 0.9963132), Confidence: 0.5

Timestamp: 11/2/2024 6:02:29 PM, Millisecond: 448,current eyeGaze_left: Position (-0.04343894, 1.07637, 0.0187357), Orientation(0.08052676, 0.02241189, -0.01932581, 0.9963132), Confidence: 0.5

Timestamp: 11/2/2024 6:02:29 PM, Millisecond: 469,current eyeGaze_left: Position (-0.04392634, 1.076464, 0.01901974), Orientation(0.08118247, 0.02110416, -0.01954116, 0.9962843), Confidence: 0.5

Timestamp: 11/2/2024 6:02:29 PM, Millisecond: 488,current eyeGaze_left: Position (-0.04392634, 1.076464, 0.01901974), Orientation(0.08118247, 0.02110416, -0.01954116, 0.9962843), Confidence: 0.5

Timestamp: 11/2/2024 6:02:29 PM, Millisecond: 508,current eyeGaze_left: Position (-0.04433678, 1.0766, 0.01930114), Orientation(0.08335442, 0.02199017, -0.01947063, 0.9960871), Confidence: 0.5

Timestamp: 11/2/2024 6:02:29 PM, Millisecond: 526,current eyeGaze_left: Position (-0.04433678, 1.0766, 0.01930114), Orientation(0.08335442, 0.02199017, -0.01947063, 0.9960871), Confidence: 0.5

Timestamp: 11/2/2024 6:02:29 PM, Millisecond: 544,current eyeGaze_left: Position (-0.04466688, 1.076746, 0.01958556), Orientation(0.08375104, 0.01836536, -0.01999444, 0.9961169), Confidence: 0.5

Timestamp: 11/2/2024 6:02:29 PM, Millisecond: 559,current eyeGaze_left: Position (-0.04466688, 1.076746, 0.01958556), Orientation(0.08375104, 0.01836536, -0.01999444, 0.9961169), Confidence: 0.5

Timestamp: 11/2/2024 6:02:29 PM, Millisecond: 575,current eyeGaze_left: Position (-0.04502469, 1.076859, 0.0198522), Orientation(0.08455796, 0.02113115, -0.02005388, 0.9959927), Confidence: 0.5

Timestamp: 11/2/2024 6:02:29 PM, Millisecond: 591,current eyeGaze_left: Position (-0.04502469, 1.076859, 0.0198522), Orientation(0.08455796, 0.02113115, -0.02005388, 0.9959927), Confidence: 0.5

Timestamp: 11/2/2024 6:02:29 PM, Millisecond: 606,current eyeGaze_left: Position (-0.04540903, 1.076911, 0.02017227), Orientation(0.08479498, 0.02098614, -0.02080707, 0.99596), Confidence: 0.5

Timestamp: 11/2/2024 6:02:29 PM, Millisecond: 621,current eyeGaze_left: Position (-0.04540903, 1.076911, 0.02017227), Orientation(0.08479498, 0.02098614, -0.02080707, 0.99596), Confidence: 0.5

Timestamp: 11/2/2024 6:02:29 PM, Millisecond: 636,current eyeGaze_left: Position (-0.04583917, 1.076921, 0.02053303), Orientation(0.08231129, 0.02423488, -0.02091934, 0.9960923), Confidence: 0.5

