Timestamp: 11/2/2024 6:13:19 PM, Millisecond: 13,current eyeGaze_left: Position (-0.247307, 1.083102, 0.07845307), Orientation(0.04563448, -0.07514642, 0.01349625, 0.9960363), Confidence: 0.5

Timestamp: 11/2/2024 6:13:19 PM, Millisecond: 28,current eyeGaze_left: Position (-0.2472574, 1.082968, 0.07829738), Orientation(0.04422981, -0.07419717, 0.01344452, 0.9961717), Confidence: 0.5

Timestamp: 11/2/2024 6:13:19 PM, Millisecond: 40,current eyeGaze_left: Position (-0.2472574, 1.082968, 0.07829738), Orientation(0.04422981, -0.07419717, 0.01344452, 0.9961717), Confidence: 0.5

Timestamp: 11/2/2024 6:13:19 PM, Millisecond: 55,current eyeGaze_left: Position (-0.2472574, 1.082968, 0.07829738), Orientation(0.04422981, -0.07419717, 0.01344452, 0.9961717), Confidence: 0.5

Timestamp: 11/2/2024 6:13:19 PM, Millisecond: 69,current eyeGaze_left: Position (-0.2471649, 1.082854, 0.07810371), Orientation(0.04341435, -0.0738071, 0.01347976, 0.9962358), Confidence: 0.5

Timestamp: 11/2/2024 6:13:19 PM, Millisecond: 83,current eyeGaze_left: Position (-0.2471649, 1.082854, 0.07810371), Orientation(0.04341435, -0.0738071, 0.01347976, 0.9962358), Confidence: 0.5

Timestamp: 11/2/2024 6:13:19 PM, Millisecond: 97,current eyeGaze_left: Position (-0.2471309, 1.082674, 0.07794898), Orientation(0.04568494, -0.07142423, 0.01379092, 0.9963039), Confidence: 0.5

Timestamp: 11/2/2024 6:13:19 PM, Millisecond: 110,current eyeGaze_left: Position (-0.2471309, 1.082674, 0.07794898), Orientation(0.04568494, -0.07142423, 0.01379092, 0.9963039), Confidence: 0.5

Timestamp: 11/2/2024 6:13:19 PM, Millisecond: 125,current eyeGaze_left: Position (-0.2471142, 1.082435, 0.07781291), Orientation(0.04483868, -0.07158369, 0.01390249, 0.9963294), Confidence: 0.5

Timestamp: 11/2/2024 6:13:19 PM, Millisecond: 138,current eyeGaze_left: Position (-0.2471142, 1.082435, 0.07781291), Orientation(0.04483868, -0.07158369, 0.01390249, 0.9963294), Confidence: 0.5

Timestamp: 11/2/2024 6:13:19 PM, Millisecond: 152,current eyeGaze_left: Position (-0.2471142, 1.082435, 0.07781291), Orientation(0.04483868, -0.07158369, 0.01390249, 0.9963294), Confidence: 0.5

Timestamp: 11/2/2024 6:13:19 PM, Millisecond: 166,current eyeGaze_left: Position (-0.2470545, 1.082158, 0.07767227), Orientation(0.04381521, -0.07166038, 0.01410231, 0.9963665), Confidence: 0.5

Timestamp: 11/2/2024 6:13:19 PM, Millisecond: 179,current eyeGaze_left: Position (-0.2470545, 1.082158, 0.07767227), Orientation(0.04381521, -0.07166038, 0.01410231, 0.9963665), Confidence: 0.5

Timestamp: 11/2/2024 6:13:19 PM, Millisecond: 194,current eyeGaze_left: Position (-0.2470345, 1.081829, 0.07756946), Orientation(0.0434742, -0.07004189, 0.01414556, 0.9964958), Confidence: 0.5

Timestamp: 11/2/2024 6:13:19 PM, Millisecond: 207,current eyeGaze_left: Position (-0.2470345, 1.081829, 0.07756946), Orientation(0.0434742, -0.07004189, 0.01414556, 0.9964958), Confidence: 0.5

Timestamp: 11/2/2024 6:13:19 PM, Millisecond: 222,current eyeGaze_left: Position (-0.2470345, 1.081829, 0.07756946), Orientation(0.0434742, -0.07004189, 0.01414556, 0.9964958), Confidence: 0.5

Timestamp: 11/2/2024 6:13:19 PM, Millisecond: 235,current eyeGaze_left: Position (-0.2470277, 1.081559, 0.0774663), Orientation(0.04246356, -0.07005967, 0.01392984, 0.9965413), Confidence: 0.5

