Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 1,current eyeGaze_left: Position (-0.03675059, 1.137533, 0.1589284), Orientation(0.1656086, -0.1785185, -0.008125158, 0.9698654), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 14,current eyeGaze_left: Position (-0.03678988, 1.137497, 0.158822), Orientation(0.1652261, -0.1779083, -0.007964549, 0.9700442), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 29,current eyeGaze_left: Position (-0.03678988, 1.137497, 0.158822), Orientation(0.1652261, -0.1779083, -0.007964549, 0.9700442), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 42,current eyeGaze_left: Position (-0.03683512, 1.137504, 0.1587255), Orientation(0.1649617, -0.1749068, -0.00758297, 0.9706379), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 56,current eyeGaze_left: Position (-0.03683512, 1.137504, 0.1587255), Orientation(0.1649617, -0.1749068, -0.00758297, 0.9706379), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 71,current eyeGaze_left: Position (-0.03687532, 1.137551, 0.1586438), Orientation(0.1651158, -0.1732667, -0.007219167, 0.9709085), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 84,current eyeGaze_left: Position (-0.03687532, 1.137551, 0.1586438), Orientation(0.1651158, -0.1732667, -0.007219167, 0.9709085), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 99,current eyeGaze_left: Position (-0.03687532, 1.137551, 0.1586438), Orientation(0.1651158, -0.1732667, -0.007219167, 0.9709085), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 112,current eyeGaze_left: Position (-0.03693357, 1.137565, 0.1585627), Orientation(0.1652742, -0.1720031, -0.006837033, 0.9711089), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 127,current eyeGaze_left: Position (-0.03693357, 1.137565, 0.1585627), Orientation(0.1652742, -0.1720031, -0.006837033, 0.9711089), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 140,current eyeGaze_left: Position (-0.0369925, 1.13755, 0.1584915), Orientation(0.1624732, -0.1721233, -0.006744637, 0.9715609), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 153,current eyeGaze_left: Position (-0.0369925, 1.13755, 0.1584915), Orientation(0.1624732, -0.1721233, -0.006744637, 0.9715609), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 168,current eyeGaze_left: Position (-0.03704153, 1.137491, 0.1584218), Orientation(0.1354332, -0.1645099, -0.007218018, 0.9770067), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 181,current eyeGaze_left: Position (-0.03704153, 1.137491, 0.1584218), Orientation(0.1354332, -0.1645099, -0.007218018, 0.9770067), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 196,current eyeGaze_left: Position (-0.03704153, 1.137491, 0.1584218), Orientation(0.1354332, -0.1645099, -0.007218018, 0.9770067), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 209,current eyeGaze_left: Position (-0.03709202, 1.137439, 0.1583845), Orientation(0.1352876, -0.1627692, -0.006937435, 0.9773205), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 222,current eyeGaze_left: Position (-0.03709202, 1.137439, 0.1583845), Orientation(0.1352876, -0.1627692, -0.006937435, 0.9773205), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 237,current eyeGaze_left: Position (-0.03713837, 1.137366, 0.1583513), Orientation(0.1537545, -0.1623352, -0.005897214, 0.9746652), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 251,current eyeGaze_left: Position (-0.03713837, 1.137366, 0.1583513), Orientation(0.1537545, -0.1623352, -0.005897214, 0.9746652), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 265,current eyeGaze_left: Position (-0.03713837, 1.137366, 0.1583513), Orientation(0.1537545, -0.1623352, -0.005897214, 0.9746652), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 278,current eyeGaze_left: Position (-0.03720753, 1.137269, 0.1582701), Orientation(0.1576212, -0.1755548, -0.006989375, 0.9717445), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 292,current eyeGaze_left: Position (-0.03720753, 1.137269, 0.1582701), Orientation(0.1576212, -0.1755548, -0.006989375, 0.9717445), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 306,current eyeGaze_left: Position (-0.03722513, 1.137216, 0.1582461), Orientation(0.1572669, -0.1755898, -0.006946038, 0.9717959), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 319,current eyeGaze_left: Position (-0.03722513, 1.137216, 0.1582461), Orientation(0.1572669, -0.1755898, -0.006946038, 0.9717959), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 334,current eyeGaze_left: Position (-0.03722513, 1.137216, 0.1582461), Orientation(0.1572669, -0.1755898, -0.006946038, 0.9717959), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 347,current eyeGaze_left: Position (-0.03722712, 1.13719, 0.1582274), Orientation(0.157323, -0.1716154, -0.006459185, 0.9724999), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 362,current eyeGaze_left: Position (-0.03722712, 1.13719, 0.1582274), Orientation(0.157323, -0.1716154, -0.006459185, 0.9724999), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 375,current eyeGaze_left: Position (-0.03717827, 1.137161, 0.1582333), Orientation(0.1567247, -0.1681634, -0.006020021, 0.973202), Confidence: 0.5

Timestamp: 11/2/2024 6:54:56 PM, Millisecond: 389,current eyeGaze_left: Position (-0.03717827, 1.137161, 0.1582333), Orientation(0.1567247, -0.1681634, -0.006020021, 0.973202), Confidence: 0.5

