
Timestamp: 11/2/2024 6:55:58 PM, Millisecond: 29,current eyeGaze_left: Position (-0.03104191, 1.146229, 0.1618938), Orientation(0.1575145, -0.1022724, -0.0429273, 0.981268), Confidence: 0.5

Timestamp: 11/2/2024 6:55:58 PM, Millisecond: 43,current eyeGaze_left: Position (-0.0309267, 1.146093, 0.1618657), Orientation(0.1593075, -0.1022866, -0.04220157, 0.9810085), Confidence: 0.5

Timestamp: 11/2/2024 6:55:58 PM, Millisecond: 57,current eyeGaze_left: Position (-0.0309267, 1.146093, 0.1618657), Orientation(0.1593075, -0.1022866, -0.04220157, 0.9810085), Confidence: 0.5

Timestamp: 11/2/2024 6:55:58 PM, Millisecond: 72,current eyeGaze_left: Position (-0.03078367, 1.145916, 0.1618142), Orientation(0.1571544, -0.1030202, -0.04178395, 0.9812968), Confidence: 0.5

Timestamp: 11/2/2024 6:55:58 PM, Millisecond: 84,current eyeGaze_left: Position (-0.03078367, 1.145916, 0.1618142), Orientation(0.1571544, -0.1030202, -0.04178395, 0.9812968), Confidence: 0.5

Timestamp: 11/2/2024 6:55:58 PM, Millisecond: 99,current eyeGaze_left: Position (-0.03078367, 1.145916, 0.1618142), Orientation(0.1571544, -0.1030202, -0.04178395, 0.9812968), Confidence: 0.5

Timestamp: 11/2/2024 6:55:58 PM, Millisecond: 113,current eyeGaze_left: Position (-0.03061733, 1.145788, 0.1617483), Orientation(0.1567186, -0.1020747, -0.04103497, 0.981497), Confidence: 0.5

Timestamp: 11/2/2024 6:55:58 PM, Millisecond: 127,current eyeGaze_left: Position (-0.03061733, 1.145788, 0.1617483), Orientation(0.1567186, -0.1020747, -0.04103497, 0.981497), Confidence: 0.5

Timestamp: 11/2/2024 6:55:58 PM, Millisecond: 141,current eyeGaze_left: Position (-0.03044659, 1.145682, 0.1616907), Orientation(0.1562861, -0.100987, -0.04031678, 0.9817082), Confidence: 0.5

Timestamp: 11/2/2024 6:55:58 PM, Millisecond: 154,current eyeGaze_left: Position (-0.03044659, 1.145682, 0.1616907), Orientation(0.1562861, -0.100987, -0.04031678, 0.9817082), Confidence: 0.5

Timestamp: 11/2/2024 6:55:58 PM, Millisecond: 169,current eyeGaze_left: Position (-0.0302962, 1.14565, 0.161678), Orientation(0.1561559, -0.1000082, -0.03969315, 0.9818546), Confidence: 0.5

Timestamp: 11/2/2024 6:55:58 PM, Millisecond: 182,current eyeGaze_left: Position (-0.0302962, 1.14565, 0.161678), Orientation(0.1561559, -0.1000082, -0.03969315, 0.9818546), Confidence: 0.5

Timestamp: 11/2/2024 6:55:58 PM, Millisecond: 197,current eyeGaze_left: Position (-0.0302962, 1.14565, 0.161678), Orientation(0.1561559, -0.1000082, -0.03969315, 0.9818546), Confidence: 0.5

Timestamp: 11/2/2024 6:55:58 PM, Millisecond: 211,current eyeGaze_left: Position (-0.03014422, 1.145578, 0.1616032), Orientation(0.1557772, -0.100854, -0.03931273, 0.9818436), Confidence: 0.5

Timestamp: 11/2/2024 6:55:58 PM, Millisecond: 224,current eyeGaze_left: Position (-0.03014422, 1.145578, 0.1616032), Orientation(0.1557772, -0.100854, -0.03931273, 0.9818436), Confidence: 0.5

Timestamp: 11/2/2024 6:55:58 PM, Millisecond: 238,current eyeGaze_left: Position (-0.03002432, 1.145517, 0.1615038), Orientation(0.1557404, -0.1020411, -0.03887769, 0.9817439), Confidence: 0.5

Timestamp: 11/2/2024 6:55:58 PM, Millisecond: 252,current eyeGaze_left: Position (-0.03002432, 1.145517, 0.1615038), Orientation(0.1557404, -0.1020411, -0.03887769, 0.9817439), Confidence: 0.5

Timestamp: 11/2/2024 6:55:58 PM, Millisecond: 266,current eyeGaze_left: Position (-0.03002432, 1.145517, 0.1615038), Orientation(0.1557404, -0.1020411, -0.03887769, 0.9817439), Confidence: 0.5

Timestamp: 11/2/2024 6:55:58 PM, Millisecond: 280,current eyeGaze_left: Position (-0.02995582, 1.145445, 0.1613597), Orientation(0.1551761, -0.1131069, -0.03979637, 0.9805833), Confidence: 0.5

Timestamp: 11/2/2024 6:55:58 PM, Millisecond: 294,current eyeGaze_left: Position (-0.02995582, 1.145445, 0.1613597), Orientation(0.1551761, -0.1131069, -0.03979637, 0.9805833), Confidence: 0.5

Timestamp: 11/2/2024 6:55:58 PM, Millisecond: 308,current eyeGaze_left: Position (-0.02991002, 1.145395, 0.1612749), Orientation(0.1553345, -0.1199104, -0.03993879, 0.9797437), Confidence: 0.5

Timestamp: 11/2/2024 6:55:58 PM, Millisecond: 321,current eyeGaze_left: Position (-0.02991002, 1.145395, 0.1612749), Orientation(0.1553345, -0.1199104, -0.03993879, 0.9797437), Confidence: 0.5

Timestamp: 11/2/2024 6:55:58 PM, Millisecond: 336,current eyeGaze_left: Position (-0.02990734, 1.145308, 0.1612093), Orientation(0.1549815, -0.1223595, -0.0392851, 0.9795231), Confidence: 0.5

