Timestamp: 11/2/2024 4:09:19 PM, Millisecond: 687,current eyeGaze_left: Position (-0.05206103, 1.109541, 0.02850306), Orientation(0.1426865, 0.03488856, 0.005705075, 0.9891365), Confidence: 0.5

Timestamp: 11/2/2024 4:09:19 PM, Millisecond: 701,current eyeGaze_left: Position (-0.05193472, 1.109531, 0.02843364), Orientation(0.151829, 0.0346266, 0.005615354, 0.9877841), Confidence: 0.5

Timestamp: 11/2/2024 4:09:19 PM, Millisecond: 715,current eyeGaze_left: Position (-0.05193472, 1.109531, 0.02843364), Orientation(0.151829, 0.0346266, 0.005615354, 0.9877841), Confidence: 0.5

Timestamp: 11/2/2024 4:09:19 PM, Millisecond: 730,current eyeGaze_left: Position (-0.05183682, 1.109529, 0.02839975), Orientation(0.1424992, -0.0009050753, 0.0008510075, 0.9897943), Confidence: 0.5

Timestamp: 11/2/2024 4:09:19 PM, Millisecond: 743,current eyeGaze_left: Position (-0.05183682, 1.109529, 0.02839975), Orientation(0.1424992, -0.0009050753, 0.0008510075, 0.9897943), Confidence: 0.5

Timestamp: 11/2/2024 4:09:19 PM, Millisecond: 758,current eyeGaze_left: Position (-0.05183682, 1.109529, 0.02839975), Orientation(0.1424992, -0.0009050753, 0.0008510075, 0.9897943), Confidence: 0.5

Timestamp: 11/2/2024 4:09:19 PM, Millisecond: 771,current eyeGaze_left: Position (-0.05173708, 1.109527, 0.02840132), Orientation(0.1518676, -0.04586674, -0.004710492, 0.9873248), Confidence: 0.5

Timestamp: 11/2/2024 4:09:19 PM, Millisecond: 786,current eyeGaze_left: Position (-0.05173708, 1.109527, 0.02840132), Orientation(0.1518676, -0.04586674, -0.004710492, 0.9873248), Confidence: 0.5

Timestamp: 11/2/2024 4:09:19 PM, Millisecond: 800,current eyeGaze_left: Position (-0.05170425, 1.109579, 0.02842085), Orientation(0.1520019, -0.0459529, -0.004703389, 0.9873001), Confidence: 0.5

Timestamp: 11/2/2024 4:09:19 PM, Millisecond: 813,current eyeGaze_left: Position (-0.05170425, 1.109579, 0.02842085), Orientation(0.1520019, -0.0459529, -0.004703389, 0.9873001), Confidence: 0.5

Timestamp: 11/2/2024 4:09:19 PM, Millisecond: 828,current eyeGaze_left: Position (-0.05165778, 1.109604, 0.0284628), Orientation(0.1521811, -0.04364871, -0.004432998, 0.9873784), Confidence: 0.5

Timestamp: 11/2/2024 4:09:19 PM, Millisecond: 841,current eyeGaze_left: Position (-0.05165778, 1.109604, 0.0284628), Orientation(0.1521811, -0.04364871, -0.004432998, 0.9873784), Confidence: 0.5

