Timestamp: 11/2/2024 4:11:59 PM, Millisecond: 45,current eyeGaze_left: Position (-0.09500359, 1.111123, 0.03440223), Orientation(-0.01704718, -0.002783281, -0.04920723, 0.9986393), Confidence: 0.5

Timestamp: 11/2/2024 4:11:59 PM, Millisecond: 60,current eyeGaze_left: Position (-0.09514658, 1.110959, 0.03443751), Orientation(-0.01734527, -0.005397342, -0.04925589, 0.998621), Confidence: 0.5

Timestamp: 11/2/2024 4:11:59 PM, Millisecond: 73,current eyeGaze_left: Position (-0.09514658, 1.110959, 0.03443751), Orientation(-0.01734527, -0.005397342, -0.04925589, 0.998621), Confidence: 0.5

Timestamp: 11/2/2024 4:11:59 PM, Millisecond: 88,current eyeGaze_left: Position (-0.09514658, 1.110959, 0.03443751), Orientation(-0.01734527, -0.005397342, -0.04925589, 0.998621), Confidence: 0.5

Timestamp: 11/2/2024 4:11:59 PM, Millisecond: 101,current eyeGaze_left: Position (-0.09524316, 1.110853, 0.03442337), Orientation(-0.01643801, -0.01678558, -0.05031099, 0.9984573), Confidence: 0.5

Timestamp: 11/2/2024 4:11:59 PM, Millisecond: 114,current eyeGaze_left: Position (-0.09524316, 1.110853, 0.03442337), Orientation(-0.01643801, -0.01678558, -0.05031099, 0.9984573), Confidence: 0.5

Timestamp: 11/2/2024 4:11:59 PM, Millisecond: 129,current eyeGaze_left: Position (-0.09529775, 1.11077, 0.03441719), Orientation(-0.007846574, -0.0528973, -0.05401836, 0.9971071), Confidence: 0.5

Timestamp: 11/2/2024 4:11:59 PM, Millisecond: 142,current eyeGaze_left: Position (-0.09529775, 1.11077, 0.03441719), Orientation(-0.007846574, -0.0528973, -0.05401836, 0.9971071), Confidence: 0.5

Timestamp: 11/2/2024 4:11:59 PM, Millisecond: 157,current eyeGaze_left: Position (-0.09529775, 1.11077, 0.03441719), Orientation(-0.007846574, -0.0528973, -0.05401836, 0.9971071), Confidence: 0.5

Timestamp: 11/2/2024 4:11:59 PM, Millisecond: 170,current eyeGaze_left: Position (-0.09531619, 1.110737, 0.0343974), Orientation(-0.008028117, -0.05344832, -0.05402523, 0.9970759), Confidence: 0.5

Timestamp: 11/2/2024 4:11:59 PM, Millisecond: 185,current eyeGaze_left: Position (-0.09531619, 1.110737, 0.0343974), Orientation(-0.008028117, -0.05344832, -0.05402523, 0.9970759), Confidence: 0.5

