Timestamp: 11/2/2024 4:28:14 PM, Millisecond: 179,current eyeGaze_left: Position (0.02825523, 1.109474, 0.2094303), Orientation(-0.01437302, 0.05415625, -0.03146138, 0.9979333), Confidence: 0.5

Timestamp: 11/2/2024 4:28:14 PM, Millisecond: 543,current eyeGaze_left: Position (0.02863913, 1.119012, 0.2101169), Orientation(0.1049991, 0.01099917, -0.04050256, 0.9935864), Confidence: 0.5

Timestamp: 11/2/2024 4:28:14 PM, Millisecond: 554,current eyeGaze_left: Position (0.02834807, 1.119817, 0.2107592), Orientation(0.09909344, 0.05374147, -0.0347539, 0.9930179), Confidence: 0.5

Timestamp: 11/2/2024 4:28:14 PM, Millisecond: 575,current eyeGaze_left: Position (0.02834807, 1.119817, 0.2107592), Orientation(0.09909344, 0.05374147, -0.0347539, 0.9930179), Confidence: 0.5

Timestamp: 11/2/2024 4:28:14 PM, Millisecond: 592,current eyeGaze_left: Position (0.0279507, 1.12045, 0.211564), Orientation(0.1031183, 0.07542702, -0.03149629, 0.9913049), Confidence: 0.5

Timestamp: 11/2/2024 4:28:14 PM, Millisecond: 614,current eyeGaze_left: Position (0.0279507, 1.12045, 0.211564), Orientation(0.1031183, 0.07542702, -0.03149629, 0.9913049), Confidence: 0.5

Timestamp: 11/2/2024 4:28:14 PM, Millisecond: 629,current eyeGaze_left: Position (0.02739665, 1.120938, 0.21241), Orientation(0.1259611, 0.05440856, -0.03464765, 0.9899359), Confidence: 0.5

Timestamp: 11/2/2024 4:28:14 PM, Millisecond: 646,current eyeGaze_left: Position (0.02739665, 1.120938, 0.21241), Orientation(0.1259611, 0.05440856, -0.03464765, 0.9899359), Confidence: 0.5

Timestamp: 11/2/2024 4:28:14 PM, Millisecond: 666,current eyeGaze_left: Position (0.02674895, 1.12116, 0.2133213), Orientation(0.1619801, 0.04953885, -0.03499095, 0.9849283), Confidence: 0.5

Timestamp: 11/2/2024 4:28:14 PM, Millisecond: 680,current eyeGaze_left: Position (0.02674895, 1.12116, 0.2133213), Orientation(0.1619801, 0.04953885, -0.03499095, 0.9849283), Confidence: 0.5

Timestamp: 11/2/2024 4:28:14 PM, Millisecond: 695,current eyeGaze_left: Position (0.02593537, 1.121142, 0.2142749), Orientation(0.1671186, 0.01341054, -0.04080148, 0.9850008), Confidence: 0.5

Timestamp: 11/2/2024 4:28:14 PM, Millisecond: 711,current eyeGaze_left: Position (0.02593537, 1.121142, 0.2142749), Orientation(0.1671186, 0.01341054, -0.04080148, 0.9850008), Confidence: 0.5

Timestamp: 11/2/2024 4:28:14 PM, Millisecond: 725,current eyeGaze_left: Position (0.02517941, 1.121011, 0.2151564), Orientation(0.168004, 0.00695321, -0.04208184, 0.984863), Confidence: 0.5

Timestamp: 11/2/2024 4:28:14 PM, Millisecond: 740,current eyeGaze_left: Position (0.02517941, 1.121011, 0.2151564), Orientation(0.168004, 0.00695321, -0.04208184, 0.984863), Confidence: 0.5

Timestamp: 11/2/2024 4:28:14 PM, Millisecond: 755,current eyeGaze_left: Position (0.02441549, 1.120893, 0.2159397), Orientation(0.1676526, 0.009136143, -0.04224009, 0.9848985), Confidence: 0.5

Timestamp: 11/2/2024 4:28:14 PM, Millisecond: 769,current eyeGaze_left: Position (0.02441549, 1.120893, 0.2159397), Orientation(0.1676526, 0.009136143, -0.04224009, 0.9848985), Confidence: 0.5

Timestamp: 11/2/2024 4:28:14 PM, Millisecond: 784,current eyeGaze_left: Position (0.02363806, 1.120757, 0.216645), Orientation(0.1688952, 0.008114877, -0.04255191, 0.9846818), Confidence: 0.5

Timestamp: 11/2/2024 4:28:14 PM, Millisecond: 799,current eyeGaze_left: Position (0.02363806, 1.120757, 0.216645), Orientation(0.1688952, 0.008114877, -0.04255191, 0.9846818), Confidence: 0.5

Timestamp: 11/2/2024 4:28:14 PM, Millisecond: 814,current eyeGaze_left: Position (0.02363806, 1.120757, 0.216645), Orientation(0.1688952, 0.008114877, -0.04255191, 0.9846818), Confidence: 0.5

Timestamp: 11/2/2024 4:28:14 PM, Millisecond: 830,current eyeGaze_left: Position (0.02304339, 1.120725, 0.2172378), Orientation(0.1684467, 0.0100329, -0.04225589, 0.9847534), Confidence: 0.5

Timestamp: 11/2/2024 4:28:14 PM, Millisecond: 842,current eyeGaze_left: Position (0.02304339, 1.120725, 0.2172378), Orientation(0.1684467, 0.0100329, -0.04225589, 0.9847534), Confidence: 0.5

Timestamp: 11/2/2024 4:28:14 PM, Millisecond: 858,current eyeGaze_left: Position (0.02250384, 1.12084, 0.2177103), Orientation(0.1688574, 0.01006312, -0.04251654, 0.9846717), Confidence: 0.5

