Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 337,current eyeGaze_left: Position (0.0008908622, 1.080656, -0.05049005), Orientation(0.2089821, 0.002240304, -0.004338466, 0.9779074), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 351,current eyeGaze_left: Position (0.0009848215, 1.080683, -0.0514866), Orientation(0.2089413, 0.002159046, -0.007285225, 0.9778987), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 365,current eyeGaze_left: Position (0.0009848215, 1.080683, -0.0514866), Orientation(0.2089413, 0.002159046, -0.007285225, 0.9778987), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 380,current eyeGaze_left: Position (0.0009848215, 1.080683, -0.0514866), Orientation(0.2089413, 0.002159046, -0.007285225, 0.9778987), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 394,current eyeGaze_left: Position (0.001175694, 1.080597, -0.05268144), Orientation(0.2090144, 0.002486989, -0.009447928, 0.9778637), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 407,current eyeGaze_left: Position (0.001175694, 1.080597, -0.05268144), Orientation(0.2090144, 0.002486989, -0.009447928, 0.9778637), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 421,current eyeGaze_left: Position (0.001485784, 1.080507, -0.0540019), Orientation(0.208691, 0.003546571, -0.0115324, 0.9779072), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 435,current eyeGaze_left: Position (0.001485784, 1.080507, -0.0540019), Orientation(0.208691, 0.003546571, -0.0115324, 0.9779072), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 450,current eyeGaze_left: Position (0.001485784, 1.080507, -0.0540019), Orientation(0.208691, 0.003546571, -0.0115324, 0.9779072), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 464,current eyeGaze_left: Position (0.001889974, 1.0802, -0.05518252), Orientation(0.207743, 0.002937717, -0.0130893, 0.9780914), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 478,current eyeGaze_left: Position (0.001889974, 1.0802, -0.05518252), Orientation(0.207743, 0.002937717, -0.0130893, 0.9780914), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 491,current eyeGaze_left: Position (0.002234109, 1.080041, -0.05624065), Orientation(0.2074647, 0.002566177, -0.01425023, 0.9781355), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 505,current eyeGaze_left: Position (0.002234109, 1.080041, -0.05624065), Orientation(0.2074647, 0.002566177, -0.01425023, 0.9781355), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 519,current eyeGaze_left: Position (0.002447039, 1.079887, -0.05695229), Orientation(0.2061222, 0.001065604, -0.01485212, 0.9784129), Confidence: 0.5

