Timestamp: 2/3/2025 7:54:06 PM, Millisecond: 434,current eyeGaze_left: Position (-0.0111945, 0.6211777, 0.02515024), Orientation(-0.03326063, -0.07216003, -0.0154916, 0.9967179), Confidence: 0.9980469

Timestamp: 2/3/2025 7:54:06 PM, Millisecond: 895,current eyeGaze_left: Position (-0.003738414, 0.6253535, 0.03044772), Orientation(0.05572089, -0.00930599, -0.03299259, 0.9978578), Confidence: 0.9980469

Timestamp: 2/3/2025 7:54:06 PM, Millisecond: 905,current eyeGaze_left: Position (-0.003738414, 0.6253535, 0.03044772), Orientation(0.05572089, -0.00930599, -0.03299259, 0.9978578), Confidence: 0.9980469

Timestamp: 2/3/2025 7:54:06 PM, Millisecond: 924,current eyeGaze_left: Position (-0.00368708, 0.6257841, 0.03083984), Orientation(0.05591887, -0.004047257, -0.03298717, 0.9978821), Confidence: 0.9980469

Timestamp: 2/3/2025 7:54:06 PM, Millisecond: 943,current eyeGaze_left: Position (-0.00368708, 0.6257841, 0.03083984), Orientation(0.05591887, -0.004047257, -0.03298717, 0.9978821), Confidence: 0.9980469

Timestamp: 2/3/2025 7:54:06 PM, Millisecond: 961,current eyeGaze_left: Position (-0.003726352, 0.6261677, 0.0311375), Orientation(0.05054887, -0.003571705, -0.03364184, 0.9981484), Confidence: 0.9980469

Timestamp: 2/3/2025 7:54:06 PM, Millisecond: 981,current eyeGaze_left: Position (-0.003726352, 0.6261677, 0.0311375), Orientation(0.05054887, -0.003571705, -0.03364184, 0.9981484), Confidence: 0.9980469

Timestamp: 2/3/2025 7:54:06 PM, Millisecond: 996,current eyeGaze_left: Position (-0.003853386, 0.6263118, 0.03137092), Orientation(0.05078495, -0.002578753, -0.03410556, 0.9981238), Confidence: 0.9980469

Timestamp: 2/3/2025 7:54:07 PM, Millisecond: 12,current eyeGaze_left: Position (-0.003853386, 0.6263118, 0.03137092), Orientation(0.05078495, -0.002578753, -0.03410556, 0.9981238), Confidence: 0.9980469

Timestamp: 2/3/2025 7:54:07 PM, Millisecond: 28,current eyeGaze_left: Position (-0.004109105, 0.6262286, 0.03155706), Orientation(0.05028719, -0.00252775, -0.03456491, 0.9981334), Confidence: 0.9980469

Timestamp: 2/3/2025 7:54:07 PM, Millisecond: 44,current eyeGaze_left: Position (-0.004109105, 0.6262286, 0.03155706), Orientation(0.05028719, -0.00252775, -0.03456491, 0.9981334), Confidence: 0.9980469

Timestamp: 2/3/2025 7:54:07 PM, Millisecond: 61,current eyeGaze_left: Position (-0.004464727, 0.6259933, 0.03165231), Orientation(0.05072664, -0.003436393, -0.0349765, 0.998094), Confidence: 0.9980469

Timestamp: 2/3/2025 7:54:07 PM, Millisecond: 76,current eyeGaze_left: Position (-0.004464727, 0.6259933, 0.03165231), Orientation(0.05072664, -0.003436393, -0.0349765, 0.998094), Confidence: 0.9980469

Timestamp: 2/3/2025 7:54:07 PM, Millisecond: 91,current eyeGaze_left: Position (-0.004907683, 0.6256314, 0.03167544), Orientation(0.04936394, -0.003504806, -0.035144, 0.9981562), Confidence: 0.9980469

Timestamp: 2/3/2025 7:54:07 PM, Millisecond: 107,current eyeGaze_left: Position (-0.004907683, 0.6256314, 0.03167544), Orientation(0.04936394, -0.003504806, -0.035144, 0.9981562), Confidence: 0.9980469

