Timestamp: 2/3/2025 7:34:15 PM, Millisecond: 712,current eyeGaze_left: Position (-0.03606055, 0.6449323, 0.0511614), Orientation(0.05646204, -0.1049661, -0.02845386, 0.9924639), Confidence: 0.9980469

Timestamp: 2/3/2025 7:34:16 PM, Millisecond: 173,current eyeGaze_left: Position (-0.03917798, 0.6482099, 0.04576094), Orientation(0.01091132, -0.02079384, -0.03909015, 0.9989597), Confidence: 0.9980469

Timestamp: 2/3/2025 7:34:16 PM, Millisecond: 183,current eyeGaze_left: Position (-0.03917798, 0.6482099, 0.04576094), Orientation(0.01091132, -0.02079384, -0.03909015, 0.9989597), Confidence: 0.9980469

Timestamp: 2/3/2025 7:34:16 PM, Millisecond: 202,current eyeGaze_left: Position (-0.03916899, 0.6484101, 0.04593294), Orientation(0.04226011, -0.007812522, -0.03790856, 0.9983568), Confidence: 0.9980469

Timestamp: 2/3/2025 7:34:16 PM, Millisecond: 221,current eyeGaze_left: Position (-0.03916899, 0.6484101, 0.04593294), Orientation(0.04226011, -0.007812522, -0.03790856, 0.9983568), Confidence: 0.9980469

Timestamp: 2/3/2025 7:34:16 PM, Millisecond: 240,current eyeGaze_left: Position (-0.03905592, 0.6485569, 0.04599059), Orientation(0.0485936, -0.0032411, -0.03735317, 0.9981146), Confidence: 0.9980469

Timestamp: 2/3/2025 7:34:16 PM, Millisecond: 260,current eyeGaze_left: Position (-0.03905592, 0.6485569, 0.04599059), Orientation(0.0485936, -0.0032411, -0.03735317, 0.9981146), Confidence: 0.9980469

Timestamp: 2/3/2025 7:34:16 PM, Millisecond: 274,current eyeGaze_left: Position (-0.0389789, 0.6487278, 0.04626494), Orientation(0.04730283, -0.003149315, -0.03713333, 0.9981853), Confidence: 0.9980469

Timestamp: 2/3/2025 7:34:16 PM, Millisecond: 292,current eyeGaze_left: Position (-0.0389789, 0.6487278, 0.04626494), Orientation(0.04730283, -0.003149315, -0.03713333, 0.9981853), Confidence: 0.9980469

Timestamp: 2/3/2025 7:34:16 PM, Millisecond: 307,current eyeGaze_left: Position (-0.03884324, 0.6487647, 0.04650692), Orientation(0.0484305, -0.002639379, -0.03690046, 0.9981413), Confidence: 0.9980469

Timestamp: 2/3/2025 7:34:16 PM, Millisecond: 323,current eyeGaze_left: Position (-0.03884324, 0.6487647, 0.04650692), Orientation(0.0484305, -0.002639379, -0.03690046, 0.9981413), Confidence: 0.9980469

Timestamp: 2/3/2025 7:34:16 PM, Millisecond: 339,current eyeGaze_left: Position (-0.03870943, 0.6486611, 0.04659021), Orientation(0.04734305, -0.003181563, -0.03669789, 0.9981992), Confidence: 0.9980469

Timestamp: 2/3/2025 7:34:16 PM, Millisecond: 353,current eyeGaze_left: Position (-0.03870943, 0.6486611, 0.04659021), Orientation(0.04734305, -0.003181563, -0.03669789, 0.9981992), Confidence: 0.9980469

Timestamp: 2/3/2025 7:34:16 PM, Millisecond: 368,current eyeGaze_left: Position (-0.03848707, 0.6486202, 0.04690314), Orientation(0.0280495, -0.003033924, -0.03662772, 0.9989307), Confidence: 0.9980469

Timestamp: 2/3/2025 7:34:16 PM, Millisecond: 384,current eyeGaze_left: Position (-0.03848707, 0.6486202, 0.04690314), Orientation(0.0280495, -0.003033924, -0.03662772, 0.9989307), Confidence: 0.9980469

Timestamp: 2/3/2025 7:34:16 PM, Millisecond: 398,current eyeGaze_left: Position (-0.03848707, 0.6486202, 0.04690314), Orientation(0.0280495, -0.003033924, -0.03662772, 0.9989307), Confidence: 0.9980469

Timestamp: 2/3/2025 7:34:16 PM, Millisecond: 413,current eyeGaze_left: Position (-0.03826568, 0.6485365, 0.04720687), Orientation(0.02146503, -0.001498807, -0.03662452, 0.9990975), Confidence: 0.9980469

Timestamp: 2/3/2025 7:34:16 PM, Millisecond: 428,current eyeGaze_left: Position (-0.03826568, 0.6485365, 0.04720687), Orientation(0.02146503, -0.001498807, -0.03662452, 0.9990975), Confidence: 0.9980469

Timestamp: 2/3/2025 7:34:16 PM, Millisecond: 442,current eyeGaze_left: Position (-0.03809243, 0.648391, 0.04743361), Orientation(0.0213617, 0.0002696314, -0.03664034, 0.9991003), Confidence: 0.9980469

Timestamp: 2/3/2025 7:34:16 PM, Millisecond: 457,current eyeGaze_left: Position (-0.03809243, 0.648391, 0.04743361), Orientation(0.0213617, 0.0002696314, -0.03664034, 0.9991003), Confidence: 0.9980469

Timestamp: 2/3/2025 7:34:16 PM, Millisecond: 471,current eyeGaze_left: Position (-0.03790937, 0.6483689, 0.04782554), Orientation(0.02131701, 0.0001999948, -0.03690813, 0.9990914), Confidence: 0.9980469

Timestamp: 2/3/2025 7:34:16 PM, Millisecond: 485,current eyeGaze_left: Position (-0.03790937, 0.6483689, 0.04782554), Orientation(0.02131701, 0.0001999948, -0.03690813, 0.9990914), Confidence: 0.9980469

Timestamp: 2/3/2025 7:34:16 PM, Millisecond: 499,current eyeGaze_left: Position (-0.03774357, 0.6483088, 0.04820346), Orientation(0.02155416, -0.0001840603, -0.03723726, 0.999074), Confidence: 0.9980469

