
Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 346,current eyeGaze_left: Position (-0.08380504, 0.6103989, 0.1436376), Orientation(0.08766451, 0.1080486, -0.007344292, 0.9902456), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 360,current eyeGaze_left: Position (-0.08379078, 0.6103374, 0.1436181), Orientation(0.08745927, 0.1091409, -0.007149604, 0.9901454), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 373,current eyeGaze_left: Position (-0.08379078, 0.6103374, 0.1436181), Orientation(0.08745927, 0.1091409, -0.007149604, 0.9901454), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 389,current eyeGaze_left: Position (-0.08379078, 0.6103374, 0.1436181), Orientation(0.08745927, 0.1091409, -0.007149604, 0.9901454), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 402,current eyeGaze_left: Position (-0.08371525, 0.6103092, 0.1435827), Orientation(0.09036636, 0.1086877, -0.007105813, 0.9899346), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 415,current eyeGaze_left: Position (-0.08371525, 0.6103092, 0.1435827), Orientation(0.09036636, 0.1086877, -0.007105813, 0.9899346), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 430,current eyeGaze_left: Position (-0.083659, 0.6102394, 0.1435144), Orientation(0.09022261, 0.1104057, -0.006633295, 0.9897607), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 444,current eyeGaze_left: Position (-0.083659, 0.6102394, 0.1435144), Orientation(0.09022261, 0.1104057, -0.006633295, 0.9897607), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 458,current eyeGaze_left: Position (-0.08361395, 0.6101385, 0.1434334), Orientation(0.09093883, 0.1097655, -0.006350228, 0.9897682), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 472,current eyeGaze_left: Position (-0.08361395, 0.6101385, 0.1434334), Orientation(0.09093883, 0.1097655, -0.006350228, 0.9897682), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 487,current eyeGaze_left: Position (-0.08361395, 0.6101385, 0.1434334), Orientation(0.09093883, 0.1097655, -0.006350228, 0.9897682), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 500,current eyeGaze_left: Position (-0.08352213, 0.6101011, 0.1433669), Orientation(0.09109778, 0.1092634, -0.005891737, 0.989812), Confidence: 0.9980469

