Timestamp: 2/3/2025 10:18:17 PM, Millisecond: 142,current eyeGaze_left: Position (-0.01928373, 0.6246747, 0.05806083), Orientation(-0.02294998, -0.1369737, -0.03469801, 0.9897007), Confidence: 0.9980469

Timestamp: 2/3/2025 10:18:17 PM, Millisecond: 602,current eyeGaze_left: Position (-0.02016919, 0.6263474, 0.06335245), Orientation(0.05305611, 0.01846765, -0.02881065, 0.9980051), Confidence: 0.9980469

Timestamp: 2/3/2025 10:18:17 PM, Millisecond: 613,current eyeGaze_left: Position (-0.02016919, 0.6263474, 0.06335245), Orientation(0.05305611, 0.01846765, -0.02881065, 0.9980051), Confidence: 0.9980469

Timestamp: 2/3/2025 10:18:17 PM, Millisecond: 632,current eyeGaze_left: Position (-0.02003184, 0.6265668, 0.06364717), Orientation(0.05551478, 0.0177923, -0.02994785, 0.9978501), Confidence: 0.9980469

Timestamp: 2/3/2025 10:18:17 PM, Millisecond: 651,current eyeGaze_left: Position (-0.02003184, 0.6265668, 0.06364717), Orientation(0.05551478, 0.0177923, -0.02994785, 0.9978501), Confidence: 0.9980469

Timestamp: 2/3/2025 10:18:17 PM, Millisecond: 670,current eyeGaze_left: Position (-0.01985928, 0.6268116, 0.0638555), Orientation(0.07817333, 0.009708036, -0.03184506, 0.9963838), Confidence: 0.9980469

Timestamp: 2/3/2025 10:18:17 PM, Millisecond: 689,current eyeGaze_left: Position (-0.01985928, 0.6268116, 0.0638555), Orientation(0.07817333, 0.009708036, -0.03184506, 0.9963838), Confidence: 0.9980469

Timestamp: 2/3/2025 10:18:17 PM, Millisecond: 704,current eyeGaze_left: Position (-0.01964555, 0.6270731, 0.06387685), Orientation(0.07948249, 0.00865119, -0.03278185, 0.9962596), Confidence: 0.9980469

Timestamp: 2/3/2025 10:18:17 PM, Millisecond: 722,current eyeGaze_left: Position (-0.01964555, 0.6270731, 0.06387685), Orientation(0.07948249, 0.00865119, -0.03278185, 0.9962596), Confidence: 0.9980469

