Timestamp: 2/4/2025 1:50:35 AM, Millisecond: 497,current eyeGaze_left: Position (-0.03478484, 0.6586409, 0.03240835), Orientation(-0.06393501, -0.02697619, -0.0354583, 0.996959), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:35 AM, Millisecond: 958,current eyeGaze_left: Position (-0.02905725, 0.6618785, 0.02927866), Orientation(0.08896462, -0.01945779, -0.03388714, 0.995268), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:35 AM, Millisecond: 968,current eyeGaze_left: Position (-0.02905725, 0.6618785, 0.02927866), Orientation(0.08896462, -0.01945779, -0.03388714, 0.995268), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:35 AM, Millisecond: 988,current eyeGaze_left: Position (-0.02912576, 0.6617869, 0.0291491), Orientation(0.08932786, -0.02093552, -0.03292196, 0.9952379), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 5,current eyeGaze_left: Position (-0.02912576, 0.6617869, 0.0291491), Orientation(0.08932786, -0.02093552, -0.03292196, 0.9952379), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 27,current eyeGaze_left: Position (-0.02931085, 0.6616207, 0.02899824), Orientation(0.08937927, -0.01994872, -0.03161026, 0.995296), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 43,current eyeGaze_left: Position (-0.02931085, 0.6616207, 0.02899824), Orientation(0.08937927, -0.01994872, -0.03161026, 0.995296), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 60,current eyeGaze_left: Position (-0.02954546, 0.6615357, 0.02884347), Orientation(0.08781917, -0.01964004, -0.03044483, 0.9954774), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 76,current eyeGaze_left: Position (-0.02954546, 0.6615357, 0.02884347), Orientation(0.08781917, -0.01964004, -0.03044483, 0.9954774), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 93,current eyeGaze_left: Position (-0.02954546, 0.6615357, 0.02884347), Orientation(0.08781917, -0.01964004, -0.03044483, 0.9954774), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 109,current eyeGaze_left: Position (-0.02986234, 0.6615182, 0.02862677), Orientation(0.08183768, -0.02033082, -0.02962822, 0.9959977), Confidence: 0.9980469

