Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 567,current eyeGaze_left: Position (-0.009813927, 1.084739, 0.1015165), Orientation(0.0755077, 0.00354552, -0.02309939, 0.9968714), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 581,current eyeGaze_left: Position (-0.00970161, 1.084721, 0.1016575), Orientation(0.07563433, 0.0009565693, -0.02340956, 0.9968604), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 594,current eyeGaze_left: Position (-0.00970161, 1.084721, 0.1016575), Orientation(0.07563433, 0.0009565693, -0.02340956, 0.9968604), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 609,current eyeGaze_left: Position (-0.009625658, 1.084753, 0.101726), Orientation(0.08602843, -0.01130283, -0.02472842, 0.9959216), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 622,current eyeGaze_left: Position (-0.009625658, 1.084753, 0.101726), Orientation(0.08602843, -0.01130283, -0.02472842, 0.9959216), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 636,current eyeGaze_left: Position (-0.009625658, 1.084753, 0.101726), Orientation(0.08602843, -0.01130283, -0.02472842, 0.9959216), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 650,current eyeGaze_left: Position (-0.009544037, 1.084781, 0.1017943), Orientation(0.08619803, -0.01146016, -0.02484435, 0.9959022), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 664,current eyeGaze_left: Position (-0.009544037, 1.084781, 0.1017943), Orientation(0.08619803, -0.01146016, -0.02484435, 0.9959022), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 679,current eyeGaze_left: Position (-0.009409953, 1.084764, 0.101836), Orientation(0.08568306, -0.007949366, -0.02458581, 0.9959874), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 691,current eyeGaze_left: Position (-0.009409953, 1.084764, 0.101836), Orientation(0.08568306, -0.007949366, -0.02458581, 0.9959874), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 706,current eyeGaze_left: Position (-0.009409953, 1.084764, 0.101836), Orientation(0.08568306, -0.007949366, -0.02458581, 0.9959874), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 720,current eyeGaze_left: Position (-0.009343203, 1.084767, 0.1019172), Orientation(0.08504373, -0.006443445, -0.02456144, 0.9960537), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 733,current eyeGaze_left: Position (-0.009343203, 1.084767, 0.1019172), Orientation(0.08504373, -0.006443445, -0.02456144, 0.9960537), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 747,current eyeGaze_left: Position (-0.009292912, 1.084761, 0.1020022), Orientation(0.08458139, -0.006502144, -0.02459463, 0.9960917), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 761,current eyeGaze_left: Position (-0.009292912, 1.084761, 0.1020022), Orientation(0.08458139, -0.006502144, -0.02459463, 0.9960917), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 776,current eyeGaze_left: Position (-0.009292912, 1.084761, 0.1020022), Orientation(0.08458139, -0.006502144, -0.02459463, 0.9960917), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 789,current eyeGaze_left: Position (-0.009207211, 1.084777, 0.1020679), Orientation(0.08477175, -0.006548915, -0.02458529, 0.9960755), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 804,current eyeGaze_left: Position (-0.009207211, 1.084777, 0.1020679), Orientation(0.08477175, -0.006548915, -0.02458529, 0.9960755), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 818,current eyeGaze_left: Position (-0.009228531, 1.084781, 0.1021368), Orientation(0.08442266, -0.005699991, -0.0243824, 0.9961153), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 831,current eyeGaze_left: Position (-0.009228531, 1.084781, 0.1021368), Orientation(0.08442266, -0.005699991, -0.0243824, 0.9961153), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 846,current eyeGaze_left: Position (-0.009275462, 1.084772, 0.1022057), Orientation(0.08496654, -0.005603112, -0.0241962, 0.9960741), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 859,current eyeGaze_left: Position (-0.009275462, 1.084772, 0.1022057), Orientation(0.08496654, -0.005603112, -0.0241962, 0.9960741), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 874,current eyeGaze_left: Position (-0.009425446, 1.084902, 0.1022824), Orientation(0.08511424, -0.004238508, -0.0241251, 0.99607), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 888,current eyeGaze_left: Position (-0.009425446, 1.084902, 0.1022824), Orientation(0.08511424, -0.004238508, -0.0241251, 0.99607), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 902,current eyeGaze_left: Position (-0.009425446, 1.084902, 0.1022824), Orientation(0.08511424, -0.004238508, -0.0241251, 0.99607), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 916,current eyeGaze_left: Position (-0.009489674, 1.084902, 0.1023344), Orientation(0.08504495, -0.005684296, -0.02416554, 0.9960678), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 930,current eyeGaze_left: Position (-0.009489674, 1.084902, 0.1023344), Orientation(0.08504495, -0.005684296, -0.02416554, 0.9960678), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 944,current eyeGaze_left: Position (-0.009546809, 1.084877, 0.1023819), Orientation(0.08508332, -0.005638974, -0.02403569, 0.9960679), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 957,current eyeGaze_left: Position (-0.009546809, 1.084877, 0.1023819), Orientation(0.08508332, -0.005638974, -0.02403569, 0.9960679), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 973,current eyeGaze_left: Position (-0.009546809, 1.084877, 0.1023819), Orientation(0.08508332, -0.005638974, -0.02403569, 0.9960679), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 986,current eyeGaze_left: Position (-0.00946768, 1.084845, 0.1024692), Orientation(0.08325545, -0.005512431, -0.02400764, 0.9962237), Confidence: 0.5

