Timestamp: 10/18/2024 12:50:22 AM, Millisecond: 979,current eyeGaze_left: Position (-0.001601614, 1.074222, 0.1152099), Orientation(0.04398819, -0.01881751, -0.0329806, 0.9983103), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 11,current eyeGaze_left: Position (-0.001601614, 1.074222, 0.1152099), Orientation(0.04398819, -0.01881751, -0.0329806, 0.9983103), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 27,current eyeGaze_left: Position (-0.001525331, 1.074245, 0.1152588), Orientation(0.04426377, -0.0194502, -0.03307704, 0.9982827), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 42,current eyeGaze_left: Position (-0.001451205, 1.074285, 0.1152878), Orientation(0.04433948, -0.02134973, -0.03317967, 0.9982371), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 56,current eyeGaze_left: Position (-0.001451205, 1.074285, 0.1152878), Orientation(0.04433948, -0.02134973, -0.03317967, 0.9982371), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 70,current eyeGaze_left: Position (-0.001451205, 1.074285, 0.1152878), Orientation(0.04433948, -0.02134973, -0.03317967, 0.9982371), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 86,current eyeGaze_left: Position (-0.001389328, 1.074344, 0.1153472), Orientation(0.04395627, -0.01988848, -0.03309648, 0.9982871), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 99,current eyeGaze_left: Position (-0.001389328, 1.074344, 0.1153472), Orientation(0.04395627, -0.01988848, -0.03309648, 0.9982871), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 113,current eyeGaze_left: Position (-0.001357704, 1.074455, 0.1154759), Orientation(0.04390495, -0.01991721, -0.03323105, 0.9982842), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 127,current eyeGaze_left: Position (-0.001357704, 1.074455, 0.1154759), Orientation(0.04390495, -0.01991721, -0.03323105, 0.9982842), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 142,current eyeGaze_left: Position (-0.00132519, 1.074478, 0.1155323), Orientation(0.04291018, -0.01979859, -0.03333925, 0.9983263), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 156,current eyeGaze_left: Position (-0.00132519, 1.074478, 0.1155323), Orientation(0.04291018, -0.01979859, -0.03333925, 0.9983263), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 170,current eyeGaze_left: Position (-0.00132519, 1.074478, 0.1155323), Orientation(0.04291018, -0.01979859, -0.03333925, 0.9983263), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 184,current eyeGaze_left: Position (-0.001290102, 1.074463, 0.115563), Orientation(0.04302885, -0.01942254, -0.03336414, 0.9983277), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 198,current eyeGaze_left: Position (-0.001290102, 1.074463, 0.115563), Orientation(0.04302885, -0.01942254, -0.03336414, 0.9983277), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 212,current eyeGaze_left: Position (-0.00124187, 1.074372, 0.1155395), Orientation(0.03991062, -0.01622033, -0.03321164, 0.9985195), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 226,current eyeGaze_left: Position (-0.00124187, 1.074372, 0.1155395), Orientation(0.03991062, -0.01622033, -0.03321164, 0.9985195), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 240,current eyeGaze_left: Position (-0.001258839, 1.074381, 0.1155784), Orientation(0.03999272, -0.01632712, -0.03316896, 0.998516), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 254,current eyeGaze_left: Position (-0.001258839, 1.074381, 0.1155784), Orientation(0.03999272, -0.01632712, -0.03316896, 0.998516), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 269,current eyeGaze_left: Position (-0.001258839, 1.074381, 0.1155784), Orientation(0.03999272, -0.01632712, -0.03316896, 0.998516), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 282,current eyeGaze_left: Position (-0.001293711, 1.074422, 0.1156578), Orientation(0.04152207, -0.0169209, -0.03305925, 0.9984472), Confidence: 0.5

