
Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 77,current eyeGaze_left: Position (-0.04597592, 1.174515, 0.1349689), Orientation(0.1604168, 0.009228098, 0.0004556021, 0.9870062), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 91,current eyeGaze_left: Position (-0.04590024, 1.174543, 0.134953), Orientation(0.1605353, 0.007723085, 2.01494E-05, 0.9869999), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 104,current eyeGaze_left: Position (-0.04590024, 1.174543, 0.134953), Orientation(0.1605353, 0.007723085, 2.01494E-05, 0.9869999), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 119,current eyeGaze_left: Position (-0.04583177, 1.174581, 0.1349605), Orientation(0.1606389, 0.009117187, 0.0001143892, 0.9869712), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 132,current eyeGaze_left: Position (-0.04583177, 1.174581, 0.1349605), Orientation(0.1606389, 0.009117187, 0.0001143892, 0.9869712), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 147,current eyeGaze_left: Position (-0.04583177, 1.174581, 0.1349605), Orientation(0.1606389, 0.009117187, 0.0001143892, 0.9869712), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 160,current eyeGaze_left: Position (-0.04577764, 1.174579, 0.1349538), Orientation(0.1614545, 0.01032533, 0.0003188495, 0.9868262), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 174,current eyeGaze_left: Position (-0.04577764, 1.174579, 0.1349538), Orientation(0.1614545, 0.01032533, 0.0003188495, 0.9868262), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 188,current eyeGaze_left: Position (-0.04574683, 1.174578, 0.134946), Orientation(0.163601, 0.01120196, 0.0005306883, 0.9864629), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 202,current eyeGaze_left: Position (-0.04574683, 1.174578, 0.134946), Orientation(0.163601, 0.01120196, 0.0005306883, 0.9864629), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 217,current eyeGaze_left: Position (-0.04577649, 1.174602, 0.1349361), Orientation(0.1635649, 0.01119184, 0.0005901526, 0.9864689), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 230,current eyeGaze_left: Position (-0.04577649, 1.174602, 0.1349361), Orientation(0.1635649, 0.01119184, 0.0005901526, 0.9864689), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 244,current eyeGaze_left: Position (-0.04577649, 1.174602, 0.1349361), Orientation(0.1635649, 0.01119184, 0.0005901526, 0.9864689), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 258,current eyeGaze_left: Position (-0.04579624, 1.174607, 0.1349468), Orientation(0.1595538, 0.01131099, 0.0006123448, 0.9871243), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 272,current eyeGaze_left: Position (-0.04579624, 1.174607, 0.1349468), Orientation(0.1595538, 0.01131099, 0.0006123448, 0.9871243), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 286,current eyeGaze_left: Position (-0.04582701, 1.174616, 0.1349684), Orientation(0.1595178, 0.01290155, 0.0008615914, 0.9871104), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 299,current eyeGaze_left: Position (-0.04582701, 1.174616, 0.1349684), Orientation(0.1595178, 0.01290155, 0.0008615914, 0.9871104), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 314,current eyeGaze_left: Position (-0.04582701, 1.174616, 0.1349684), Orientation(0.1595178, 0.01290155, 0.0008615914, 0.9871104), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 328,current eyeGaze_left: Position (-0.04586677, 1.174576, 0.1350092), Orientation(0.1577716, 0.0130745, 0.0008381128, 0.9873888), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 341,current eyeGaze_left: Position (-0.04586677, 1.174576, 0.1350092), Orientation(0.1577716, 0.0130745, 0.0008381128, 0.9873888), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 355,current eyeGaze_left: Position (-0.04588918, 1.174563, 0.1350409), Orientation(0.1577483, 0.008409929, -5.313661E-05, 0.9874436), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 369,current eyeGaze_left: Position (-0.04588918, 1.174563, 0.1350409), Orientation(0.1577483, 0.008409929, -5.313661E-05, 0.9874436), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 383,current eyeGaze_left: Position (-0.04590185, 1.17455, 0.1350733), Orientation(0.1545668, 0.008326274, 3.522402E-05, 0.9879473), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 397,current eyeGaze_left: Position (-0.04590185, 1.17455, 0.1350733), Orientation(0.1545668, 0.008326274, 3.522402E-05, 0.9879473), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 411,current eyeGaze_left: Position (-0.04590185, 1.17455, 0.1350733), Orientation(0.1545668, 0.008326274, 3.522402E-05, 0.9879473), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 424,current eyeGaze_left: Position (-0.04595559, 1.174524, 0.1351297), Orientation(0.1547302, 0.00809456, 8.044438E-05, 0.9879236), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 438,current eyeGaze_left: Position (-0.04595559, 1.174524, 0.1351297), Orientation(0.1547302, 0.00809456, 8.044438E-05, 0.9879236), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 453,current eyeGaze_left: Position (-0.04597684, 1.174531, 0.1351601), Orientation(0.1571981, 0.008195161, 0.0002639217, 0.987533), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 466,current eyeGaze_left: Position (-0.04597684, 1.174531, 0.1351601), Orientation(0.1571981, 0.008195161, 0.0002639217, 0.987533), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 481,current eyeGaze_left: Position (-0.04597684, 1.174531, 0.1351601), Orientation(0.1571981, 0.008195161, 0.0002639217, 0.987533), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 494,current eyeGaze_left: Position (-0.04598418, 1.174576, 0.1351779), Orientation(0.1577349, 0.01037957, 0.0005719513, 0.9874269), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 523,current eyeGaze_left: Position (-0.04600453, 1.17461, 0.1351959), Orientation(0.158224, 0.01068276, 0.000455928, 0.9873454), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 534,current eyeGaze_left: Position (-0.04600453, 1.17461, 0.1351959), Orientation(0.158224, 0.01068276, 0.000455928, 0.9873454), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 549,current eyeGaze_left: Position (-0.04600453, 1.17461, 0.1351959), Orientation(0.158224, 0.01068276, 0.000455928, 0.9873454), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 562,current eyeGaze_left: Position (-0.04603709, 1.174647, 0.1352093), Orientation(0.158187, 0.0107322, 0.0005525362, 0.9873508), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 577,current eyeGaze_left: Position (-0.04603709, 1.174647, 0.1352093), Orientation(0.158187, 0.0107322, 0.0005525362, 0.9873508), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 590,current eyeGaze_left: Position (-0.0460831, 1.174638, 0.1352168), Orientation(0.1559047, 0.01186321, 0.0008961144, 0.9877004), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 604,current eyeGaze_left: Position (-0.0460831, 1.174638, 0.1352168), Orientation(0.1559047, 0.01186321, 0.0008961144, 0.9877004), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 619,current eyeGaze_left: Position (-0.04619129, 1.174547, 0.1352683), Orientation(0.15513, 0.01206015, 0.001018058, 0.98782), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 632,current eyeGaze_left: Position (-0.04619129, 1.174547, 0.1352683), Orientation(0.15513, 0.01206015, 0.001018058, 0.98782), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 646,current eyeGaze_left: Position (-0.04619129, 1.174547, 0.1352683), Orientation(0.15513, 0.01206015, 0.001018058, 0.98782), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 660,current eyeGaze_left: Position (-0.04625237, 1.174476, 0.1352781), Orientation(0.1556981, 0.013473, 0.001347164, 0.987712), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 674,current eyeGaze_left: Position (-0.04625237, 1.174476, 0.1352781), Orientation(0.1556981, 0.013473, 0.001347164, 0.987712), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 688,current eyeGaze_left: Position (-0.04629723, 1.174412, 0.1352763), Orientation(0.1549645, 0.0136169, 0.001370175, 0.9878253), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 701,current eyeGaze_left: Position (-0.04629723, 1.174412, 0.1352763), Orientation(0.1549645, 0.0136169, 0.001370175, 0.9878253), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 716,current eyeGaze_left: Position (-0.04629723, 1.174412, 0.1352763), Orientation(0.1549645, 0.0136169, 0.001370175, 0.9878253), Confidence: 0.5

Timestamp: 10/27/2024 3:18:13 PM, Millisecond: 729,current eyeGaze_left: Position (-0.04634895, 1.174394, 0.1353168), Orientation(0.1580072, 0.01544096, 0.001772819, 0.9873158), Confidence: 0.5

