Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 99,current eyeGaze_left: Position (-0.04360019, 1.162385, 0.1238177), Orientation(0.110002, 0.0202552, -0.009351943, 0.9936811), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 113,current eyeGaze_left: Position (-0.04377179, 1.162384, 0.123824), Orientation(0.1096193, 0.02053734, -0.009306701, 0.9937179), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 127,current eyeGaze_left: Position (-0.04377179, 1.162384, 0.123824), Orientation(0.1096193, 0.02053734, -0.009306701, 0.9937179), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 141,current eyeGaze_left: Position (-0.04377179, 1.162384, 0.123824), Orientation(0.1096193, 0.02053734, -0.009306701, 0.9937179), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 155,current eyeGaze_left: Position (-0.04389828, 1.16234, 0.123802), Orientation(0.1084578, 0.02060698, -0.009167039, 0.9938453), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 168,current eyeGaze_left: Position (-0.04389828, 1.16234, 0.123802), Orientation(0.1084578, 0.02060698, -0.009167039, 0.9938453), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 183,current eyeGaze_left: Position (-0.04400304, 1.162325, 0.1237515), Orientation(0.1085789, 0.02057563, -0.008970236, 0.9938344), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 197,current eyeGaze_left: Position (-0.04400304, 1.162325, 0.1237515), Orientation(0.1085789, 0.02057563, -0.008970236, 0.9938344), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 211,current eyeGaze_left: Position (-0.04400304, 1.162325, 0.1237515), Orientation(0.1085789, 0.02057563, -0.008970236, 0.9938344), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 225,current eyeGaze_left: Position (-0.04405044, 1.162333, 0.1237184), Orientation(0.1089716, 0.02041104, -0.008644948, 0.9937977), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 239,current eyeGaze_left: Position (-0.04405044, 1.162333, 0.1237184), Orientation(0.1089716, 0.02041104, -0.008644948, 0.9937977), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 253,current eyeGaze_left: Position (-0.04408343, 1.16236, 0.1236196), Orientation(0.1099168, 0.0205803, -0.008612525, 0.9936906), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 266,current eyeGaze_left: Position (-0.04408343, 1.16236, 0.1236196), Orientation(0.1099168, 0.0205803, -0.008612525, 0.9936906), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 281,current eyeGaze_left: Position (-0.04408343, 1.16236, 0.1236196), Orientation(0.1099168, 0.0205803, -0.008612525, 0.9936906), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 294,current eyeGaze_left: Position (-0.04412945, 1.162376, 0.1235135), Orientation(0.1101926, 0.02298967, -0.008277004, 0.99361), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 308,current eyeGaze_left: Position (-0.04412945, 1.162376, 0.1235135), Orientation(0.1101926, 0.02298967, -0.008277004, 0.99361), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 323,current eyeGaze_left: Position (-0.04423156, 1.162347, 0.1234281), Orientation(0.1105518, 0.02063403, -0.008395247, 0.9936206), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 336,current eyeGaze_left: Position (-0.04423156, 1.162347, 0.1234281), Orientation(0.1105518, 0.02063403, -0.008395247, 0.9936206), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 351,current eyeGaze_left: Position (-0.04431909, 1.16228, 0.1233296), Orientation(0.1102205, 0.02053211, -0.008268042, 0.9936607), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 364,current eyeGaze_left: Position (-0.04431909, 1.16228, 0.1233296), Orientation(0.1102205, 0.02053211, -0.008268042, 0.9936607), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 379,current eyeGaze_left: Position (-0.04431909, 1.16228, 0.1233296), Orientation(0.1102205, 0.02053211, -0.008268042, 0.9936607), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 392,current eyeGaze_left: Position (-0.04440174, 1.162201, 0.1232341), Orientation(0.1100417, 0.02068296, -0.008078035, 0.9936788), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 407,current eyeGaze_left: Position (-0.04440174, 1.162201, 0.1232341), Orientation(0.1100417, 0.02068296, -0.008078035, 0.9936788), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 419,current eyeGaze_left: Position (-0.04445994, 1.162107, 0.1231764), Orientation(0.1101588, 0.02083995, -0.007955846, 0.9936637), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 433,current eyeGaze_left: Position (-0.04445994, 1.162107, 0.1231764), Orientation(0.1101588, 0.02083995, -0.007955846, 0.9936637), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 447,current eyeGaze_left: Position (-0.04445994, 1.162107, 0.1231764), Orientation(0.1101588, 0.02083995, -0.007955846, 0.9936637), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 461,current eyeGaze_left: Position (-0.04445896, 1.162025, 0.1230589), Orientation(0.1113063, 0.02191888, -0.007695189, 0.9935147), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 476,current eyeGaze_left: Position (-0.04445896, 1.162025, 0.1230589), Orientation(0.1113063, 0.02191888, -0.007695189, 0.9935147), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 491,current eyeGaze_left: Position (-0.04443026, 1.162009, 0.1229455), Orientation(0.1112201, 0.02253559, -0.007664458, 0.9935108), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 503,current eyeGaze_left: Position (-0.04443026, 1.162009, 0.1229455), Orientation(0.1112201, 0.02253559, -0.007664458, 0.9935108), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 517,current eyeGaze_left: Position (-0.04440131, 1.162001, 0.1229074), Orientation(0.1100761, 0.02232388, -0.007787698, 0.9936419), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 530,current eyeGaze_left: Position (-0.04440131, 1.162001, 0.1229074), Orientation(0.1100761, 0.02232388, -0.007787698, 0.9936419), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 545,current eyeGaze_left: Position (-0.04440131, 1.162001, 0.1229074), Orientation(0.1100761, 0.02232388, -0.007787698, 0.9936419), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 559,current eyeGaze_left: Position (-0.04439198, 1.16204, 0.1228042), Orientation(0.1100458, 0.02236341, -0.007746853, 0.9936448), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 572,current eyeGaze_left: Position (-0.04439198, 1.16204, 0.1228042), Orientation(0.1100458, 0.02236341, -0.007746853, 0.9936448), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 587,current eyeGaze_left: Position (-0.04442552, 1.162018, 0.1227407), Orientation(0.1100035, 0.02277177, -0.007541754, 0.9936418), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 600,current eyeGaze_left: Position (-0.04442552, 1.162018, 0.1227407), Orientation(0.1100035, 0.02277177, -0.007541754, 0.9936418), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 615,current eyeGaze_left: Position (-0.04451996, 1.162028, 0.1227546), Orientation(0.1102058, 0.02286177, -0.007473839, 0.9936178), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 628,current eyeGaze_left: Position (-0.04451996, 1.162028, 0.1227546), Orientation(0.1102058, 0.02286177, -0.007473839, 0.9936178), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 643,current eyeGaze_left: Position (-0.04451996, 1.162028, 0.1227546), Orientation(0.1102058, 0.02286177, -0.007473839, 0.9936178), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 657,current eyeGaze_left: Position (-0.04459631, 1.162066, 0.1226668), Orientation(0.108235, 0.02222545, -0.007622791, 0.9938478), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 670,current eyeGaze_left: Position (-0.04459631, 1.162066, 0.1226668), Orientation(0.108235, 0.02222545, -0.007622791, 0.9938478), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 685,current eyeGaze_left: Position (-0.04464993, 1.162073, 0.1225603), Orientation(0.1108495, 0.02208824, -0.007664041, 0.9935623), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 698,current eyeGaze_left: Position (-0.04464993, 1.162073, 0.1225603), Orientation(0.1108495, 0.02208824, -0.007664041, 0.9935623), Confidence: 0.5

Timestamp: 10/27/2024 3:23:00 PM, Millisecond: 713,current eyeGaze_left: Position (-0.04472174, 1.162023, 0.1224235), Orientation(0.1110359, 0.02257493, -0.007571738, 0.9935311), Confidence: 0.5

