
Timestamp: 10/27/2024 3:58:36 PM, Millisecond: 893,current eyeGaze_left: Position (0.01362211, 1.15142, 0.1105851), Orientation(0.08521049, -0.0003083718, -0.04200112, 0.9954773), Confidence: 0.5

Timestamp: 10/27/2024 3:58:36 PM, Millisecond: 907,current eyeGaze_left: Position (0.01364943, 1.151416, 0.1105511), Orientation(0.08622922, -0.000944901, -0.04225935, 0.9953784), Confidence: 0.5

Timestamp: 10/27/2024 3:58:36 PM, Millisecond: 920,current eyeGaze_left: Position (0.01364943, 1.151416, 0.1105511), Orientation(0.08622922, -0.000944901, -0.04225935, 0.9953784), Confidence: 0.5

Timestamp: 10/27/2024 3:58:36 PM, Millisecond: 935,current eyeGaze_left: Position (0.01372637, 1.151389, 0.1105131), Orientation(0.08605542, -0.001043061, -0.04228421, 0.9953923), Confidence: 0.5

Timestamp: 10/27/2024 3:58:36 PM, Millisecond: 948,current eyeGaze_left: Position (0.01372637, 1.151389, 0.1105131), Orientation(0.08605542, -0.001043061, -0.04228421, 0.9953923), Confidence: 0.5

Timestamp: 10/27/2024 3:58:36 PM, Millisecond: 963,current eyeGaze_left: Position (0.01372637, 1.151389, 0.1105131), Orientation(0.08605542, -0.001043061, -0.04228421, 0.9953923), Confidence: 0.5

Timestamp: 10/27/2024 3:58:36 PM, Millisecond: 976,current eyeGaze_left: Position (0.01371824, 1.151352, 0.1104802), Orientation(0.08384277, -0.0009913167, -0.04213168, 0.9955874), Confidence: 0.5

Timestamp: 10/27/2024 3:58:36 PM, Millisecond: 990,current eyeGaze_left: Position (0.01371824, 1.151352, 0.1104802), Orientation(0.08384277, -0.0009913167, -0.04213168, 0.9955874), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 3,current eyeGaze_left: Position (0.01367486, 1.151315, 0.1104555), Orientation(0.08300864, -0.001871273, -0.04212002, 0.9956565), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 18,current eyeGaze_left: Position (0.01367486, 1.151315, 0.1104555), Orientation(0.08300864, -0.001871273, -0.04212002, 0.9956565), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 32,current eyeGaze_left: Position (0.01361675, 1.151296, 0.1104419), Orientation(0.0822468, -0.001721296, -0.04202784, 0.995724), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 45,current eyeGaze_left: Position (0.01361675, 1.151296, 0.1104419), Orientation(0.0822468, -0.001721296, -0.04202784, 0.995724), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 60,current eyeGaze_left: Position (0.01356343, 1.151266, 0.1104447), Orientation(0.08300252, -0.001436566, -0.04190349, 0.995667), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 74,current eyeGaze_left: Position (0.01356343, 1.151266, 0.1104447), Orientation(0.08300252, -0.001436566, -0.04190349, 0.995667), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 88,current eyeGaze_left: Position (0.01356343, 1.151266, 0.1104447), Orientation(0.08300252, -0.001436566, -0.04190349, 0.995667), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 101,current eyeGaze_left: Position (0.01354437, 1.15126, 0.1104546), Orientation(0.08388774, -0.004748247, -0.04214928, 0.9955721), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 116,current eyeGaze_left: Position (0.01354437, 1.15126, 0.1104546), Orientation(0.08388774, -0.004748247, -0.04214928, 0.9955721), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 130,current eyeGaze_left: Position (0.01357398, 1.15129, 0.1104505), Orientation(0.08651424, -0.004997319, -0.04220466, 0.9953437), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 143,current eyeGaze_left: Position (0.01357398, 1.15129, 0.1104505), Orientation(0.08651424, -0.004997319, -0.04220466, 0.9953437), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 158,current eyeGaze_left: Position (0.01357398, 1.15129, 0.1104505), Orientation(0.08651424, -0.004997319, -0.04220466, 0.9953437), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 171,current eyeGaze_left: Position (0.01363031, 1.151314, 0.1104677), Orientation(0.08739331, -0.005176421, -0.04216411, 0.9952677), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 185,current eyeGaze_left: Position (0.01363031, 1.151314, 0.1104677), Orientation(0.08739331, -0.005176421, -0.04216411, 0.9952677), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 199,current eyeGaze_left: Position (0.01368513, 1.151342, 0.1104968), Orientation(0.08674213, -0.005092526, -0.0422563, 0.9953212), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 213,current eyeGaze_left: Position (0.01368513, 1.151342, 0.1104968), Orientation(0.08674213, -0.005092526, -0.0422563, 0.9953212), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 227,current eyeGaze_left: Position (0.01371659, 1.151402, 0.1105163), Orientation(0.08577474, -0.004371597, -0.04230485, 0.9954066), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 241,current eyeGaze_left: Position (0.01371659, 1.151402, 0.1105163), Orientation(0.08577474, -0.004371597, -0.04230485, 0.9954066), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 255,current eyeGaze_left: Position (0.01371659, 1.151402, 0.1105163), Orientation(0.08577474, -0.004371597, -0.04230485, 0.9954066), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 269,current eyeGaze_left: Position (0.01374623, 1.151427, 0.1105754), Orientation(0.08553816, -0.004497824, -0.04240304, 0.9954222), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 282,current eyeGaze_left: Position (0.01374623, 1.151427, 0.1105754), Orientation(0.08553816, -0.004497824, -0.04240304, 0.9954222), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 297,current eyeGaze_left: Position (0.01375122, 1.151446, 0.1106487), Orientation(0.08446884, -0.004577101, -0.04244735, 0.9955111), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 312,current eyeGaze_left: Position (0.01375122, 1.151446, 0.1106487), Orientation(0.08446884, -0.004577101, -0.04244735, 0.9955111), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 325,current eyeGaze_left: Position (0.01375122, 1.151446, 0.1106487), Orientation(0.08446884, -0.004577101, -0.04244735, 0.9955111), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 338,current eyeGaze_left: Position (0.0137474, 1.151424, 0.1107493), Orientation(0.08587436, -0.00412272, -0.04232963, 0.995398), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 352,current eyeGaze_left: Position (0.0137474, 1.151424, 0.1107493), Orientation(0.08587436, -0.00412272, -0.04232963, 0.995398), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 367,current eyeGaze_left: Position (0.01368283, 1.151441, 0.1108361), Orientation(0.0895438, -0.00424795, -0.04218702, 0.99508), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 380,current eyeGaze_left: Position (0.01368283, 1.151441, 0.1108361), Orientation(0.0895438, -0.00424795, -0.04218702, 0.99508), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 395,current eyeGaze_left: Position (0.01368283, 1.151441, 0.1108361), Orientation(0.0895438, -0.00424795, -0.04218702, 0.99508), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 408,current eyeGaze_left: Position (0.01359192, 1.151462, 0.1109209), Orientation(0.08976293, -0.004115715, -0.04203003, 0.9950674), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 422,current eyeGaze_left: Position (0.01359192, 1.151462, 0.1109209), Orientation(0.08976293, -0.004115715, -0.04203003, 0.9950674), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 436,current eyeGaze_left: Position (0.01354183, 1.151501, 0.1110183), Orientation(0.08812089, -0.004343219, -0.04192343, 0.9952176), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 450,current eyeGaze_left: Position (0.01354183, 1.151501, 0.1110183), Orientation(0.08812089, -0.004343219, -0.04192343, 0.9952176), Confidence: 0.5

Timestamp: 10/27/2024 3:58:37 PM, Millisecond: 478,current eyeGaze_left: Position (0.01345758, 1.151508, 0.111098), Orientation(0.08695441, -0.004085996, -0.04181052, 0.9953262), Confidence: 0.5

