Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 149,current eyeGaze_left: Position (0.01328028, 1.150323, 0.1108682), Orientation(0.09733661, -0.1444919, -0.05518169, 0.9831595), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 164,current eyeGaze_left: Position (0.0133175, 1.150366, 0.1109419), Orientation(0.09470418, -0.1445201, -0.05524461, 0.983409), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 178,current eyeGaze_left: Position (0.0133175, 1.150366, 0.1109419), Orientation(0.09470418, -0.1445201, -0.05524461, 0.983409), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 192,current eyeGaze_left: Position (0.0133175, 1.150366, 0.1109419), Orientation(0.09470418, -0.1445201, -0.05524461, 0.983409), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 205,current eyeGaze_left: Position (0.01337663, 1.150442, 0.1109947), Orientation(0.09632104, -0.1446422, -0.05553298, 0.9832177), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 220,current eyeGaze_left: Position (0.01337663, 1.150442, 0.1109947), Orientation(0.09632104, -0.1446422, -0.05553298, 0.9832177), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 234,current eyeGaze_left: Position (0.0134141, 1.150506, 0.110998), Orientation(0.09538125, -0.1438865, -0.0554773, 0.9834233), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 247,current eyeGaze_left: Position (0.0134141, 1.150506, 0.110998), Orientation(0.09538125, -0.1438865, -0.0554773, 0.9834233), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 262,current eyeGaze_left: Position (0.01344636, 1.150556, 0.1110521), Orientation(0.09549671, -0.1440313, -0.05535702, 0.9833976), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 275,current eyeGaze_left: Position (0.01344636, 1.150556, 0.1110521), Orientation(0.09549671, -0.1440313, -0.05535702, 0.9833976), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 289,current eyeGaze_left: Position (0.01344636, 1.150556, 0.1110521), Orientation(0.09549671, -0.1440313, -0.05535702, 0.9833976), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 303,current eyeGaze_left: Position (0.01344191, 1.150597, 0.1111116), Orientation(0.09570511, -0.144007, -0.05523368, 0.9833879), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 317,current eyeGaze_left: Position (0.01344191, 1.150597, 0.1111116), Orientation(0.09570511, -0.144007, -0.05523368, 0.9833879), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 331,current eyeGaze_left: Position (0.01340752, 1.150605, 0.1111671), Orientation(0.09416643, -0.1438231, -0.05516213, 0.9835674), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 346,current eyeGaze_left: Position (0.01340752, 1.150605, 0.1111671), Orientation(0.09416643, -0.1438231, -0.05516213, 0.9835674), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 359,current eyeGaze_left: Position (0.01340752, 1.150605, 0.1111671), Orientation(0.09416643, -0.1438231, -0.05516213, 0.9835674), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 373,current eyeGaze_left: Position (0.01336703, 1.150636, 0.1112461), Orientation(0.09431989, -0.1435744, -0.05511554, 0.9835916), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 387,current eyeGaze_left: Position (0.01336703, 1.150636, 0.1112461), Orientation(0.09431989, -0.1435744, -0.05511554, 0.9835916), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 401,current eyeGaze_left: Position (0.01334977, 1.150662, 0.111316), Orientation(0.09441803, -0.1434028, -0.0550447, 0.9836113), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 414,current eyeGaze_left: Position (0.01334977, 1.150662, 0.111316), Orientation(0.09441803, -0.1434028, -0.0550447, 0.9836113), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 429,current eyeGaze_left: Position (0.01336297, 1.150678, 0.1113234), Orientation(0.1081256, -0.1190238, -0.05256003, 0.9855859), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 442,current eyeGaze_left: Position (0.01336297, 1.150678, 0.1113234), Orientation(0.1081256, -0.1190238, -0.05256003, 0.9855859), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 457,current eyeGaze_left: Position (0.01336297, 1.150678, 0.1113234), Orientation(0.1081256, -0.1190238, -0.05256003, 0.9855859), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 471,current eyeGaze_left: Position (0.01341595, 1.150736, 0.1113696), Orientation(0.1225385, -0.1023471, -0.05069259, 0.9858701), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 484,current eyeGaze_left: Position (0.01341595, 1.150736, 0.1113696), Orientation(0.1225385, -0.1023471, -0.05069259, 0.9858701), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 499,current eyeGaze_left: Position (0.01347543, 1.150797, 0.1114183), Orientation(0.1227946, -0.1021685, -0.05075245, 0.9858535), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 513,current eyeGaze_left: Position (0.01347543, 1.150797, 0.1114183), Orientation(0.1227946, -0.1021685, -0.05075245, 0.9858535), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 526,current eyeGaze_left: Position (0.01350113, 1.150826, 0.1114711), Orientation(0.1231265, -0.1010945, -0.05077348, 0.985922), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 540,current eyeGaze_left: Position (0.01350113, 1.150826, 0.1114711), Orientation(0.1231265, -0.1010945, -0.05077348, 0.985922), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 555,current eyeGaze_left: Position (0.01350113, 1.150826, 0.1114711), Orientation(0.1231265, -0.1010945, -0.05077348, 0.985922), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 568,current eyeGaze_left: Position (0.01353306, 1.150886, 0.1115259), Orientation(0.1240573, -0.1001872, -0.05077581, 0.9858978), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 582,current eyeGaze_left: Position (0.01353306, 1.150886, 0.1115259), Orientation(0.1240573, -0.1001872, -0.05077581, 0.9858978), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 597,current eyeGaze_left: Position (0.01353832, 1.150919, 0.1115917), Orientation(0.1242448, -0.09995845, -0.05076969, 0.9858976), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 610,current eyeGaze_left: Position (0.01353832, 1.150919, 0.1115917), Orientation(0.1242448, -0.09995845, -0.05076969, 0.9858976), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 625,current eyeGaze_left: Position (0.01353832, 1.150919, 0.1115917), Orientation(0.1242448, -0.09995845, -0.05076969, 0.9858976), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 639,current eyeGaze_left: Position (0.01350928, 1.150934, 0.1116529), Orientation(0.1243668, -0.1004214, -0.05074784, 0.9858363), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 653,current eyeGaze_left: Position (0.01350928, 1.150934, 0.1116529), Orientation(0.1243668, -0.1004214, -0.05074784, 0.9858363), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 666,current eyeGaze_left: Position (0.01346505, 1.150939, 0.1117328), Orientation(0.123109, -0.09879044, -0.05047486, 0.9861729), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 681,current eyeGaze_left: Position (0.01346505, 1.150939, 0.1117328), Orientation(0.123109, -0.09879044, -0.05047486, 0.9861729), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 694,current eyeGaze_left: Position (0.01339569, 1.150957, 0.1118127), Orientation(0.1251236, -0.1006515, -0.05056444, 0.9857265), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 708,current eyeGaze_left: Position (0.01339569, 1.150957, 0.1118127), Orientation(0.1251236, -0.1006515, -0.05056444, 0.9857265), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 723,current eyeGaze_left: Position (0.01339569, 1.150957, 0.1118127), Orientation(0.1251236, -0.1006515, -0.05056444, 0.9857265), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 736,current eyeGaze_left: Position (0.01329153, 1.150968, 0.1118799), Orientation(0.1235068, -0.09783208, -0.05023327, 0.9862311), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 750,current eyeGaze_left: Position (0.01329153, 1.150968, 0.1118799), Orientation(0.1235068, -0.09783208, -0.05023327, 0.9862311), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 764,current eyeGaze_left: Position (0.01323654, 1.150978, 0.1119584), Orientation(0.1209152, -0.1002485, -0.05042462, 0.9862998), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 778,current eyeGaze_left: Position (0.01323654, 1.150978, 0.1119584), Orientation(0.1209152, -0.1002485, -0.05042462, 0.9862998), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 792,current eyeGaze_left: Position (0.01323654, 1.150978, 0.1119584), Orientation(0.1209152, -0.1002485, -0.05042462, 0.9862998), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 806,current eyeGaze_left: Position (0.01321344, 1.150991, 0.1120001), Orientation(0.1211061, -0.1000191, -0.05034503, 0.9863037), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 820,current eyeGaze_left: Position (0.01321344, 1.150991, 0.1120001), Orientation(0.1211061, -0.1000191, -0.05034503, 0.9863037), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 834,current eyeGaze_left: Position (0.01322034, 1.150999, 0.1119652), Orientation(0.1212294, -0.1000817, -0.05024462, 0.9862873), Confidence: 0.5

Timestamp: 10/27/2024 4:00:06 PM, Millisecond: 847,current eyeGaze_left: Position (0.01322034, 1.150999, 0.1119652), Orientation(0.1212294, -0.1000817, -0.05024462, 0.9862873), Confidence: 0.5

