Timestamp: 11/24/2024 4:44:23 PM, Millisecond: 181,current eyeGaze_left: Position (0.04202929, 1.06994, 0.1647806), Orientation(0.1017322, 0.02491399, -0.01542049, 0.9943802), Confidence: 0.5

Timestamp: 11/24/2024 4:44:23 PM, Millisecond: 195,current eyeGaze_left: Position (0.04204665, 1.069927, 0.1647438), Orientation(0.1017711, 0.02742205, -0.01515087, 0.9943144), Confidence: 0.5

Timestamp: 11/24/2024 4:44:23 PM, Millisecond: 222,current eyeGaze_left: Position (0.04204078, 1.069893, 0.1646767), Orientation(0.1026018, 0.02565295, -0.01526677, 0.9942744), Confidence: 0.5

Timestamp: 11/24/2024 4:44:23 PM, Millisecond: 235,current eyeGaze_left: Position (0.04204078, 1.069893, 0.1646767), Orientation(0.1026018, 0.02565295, -0.01526677, 0.9942744), Confidence: 0.5

Timestamp: 11/24/2024 4:44:23 PM, Millisecond: 249,current eyeGaze_left: Position (0.04204078, 1.069893, 0.1646767), Orientation(0.1026018, 0.02565295, -0.01526677, 0.9942744), Confidence: 0.5

Timestamp: 11/24/2024 4:44:23 PM, Millisecond: 263,current eyeGaze_left: Position (0.04205528, 1.069871, 0.164643), Orientation(0.1031561, 0.02697887, -0.01517056, 0.9941835), Confidence: 0.5

Timestamp: 11/24/2024 4:44:23 PM, Millisecond: 277,current eyeGaze_left: Position (0.04205528, 1.069871, 0.164643), Orientation(0.1031561, 0.02697887, -0.01517056, 0.9941835), Confidence: 0.5

Timestamp: 11/24/2024 4:44:23 PM, Millisecond: 291,current eyeGaze_left: Position (0.04205556, 1.069885, 0.1646247), Orientation(0.1030119, 0.02700182, -0.01533186, 0.9941955), Confidence: 0.5

Timestamp: 11/24/2024 4:44:23 PM, Millisecond: 305,current eyeGaze_left: Position (0.04205556, 1.069885, 0.1646247), Orientation(0.1030119, 0.02700182, -0.01533186, 0.9941955), Confidence: 0.5

Timestamp: 11/24/2024 4:44:23 PM, Millisecond: 319,current eyeGaze_left: Position (0.04205556, 1.069885, 0.1646247), Orientation(0.1030119, 0.02700182, -0.01533186, 0.9941955), Confidence: 0.5

Timestamp: 11/24/2024 4:44:23 PM, Millisecond: 334,current eyeGaze_left: Position (0.04207223, 1.069955, 0.1646334), Orientation(0.1023593, 0.02757382, -0.01518618, 0.9942494), Confidence: 0.5

Timestamp: 11/24/2024 4:44:23 PM, Millisecond: 347,current eyeGaze_left: Position (0.04207223, 1.069955, 0.1646334), Orientation(0.1023593, 0.02757382, -0.01518618, 0.9942494), Confidence: 0.5

Timestamp: 11/24/2024 4:44:23 PM, Millisecond: 362,current eyeGaze_left: Position (0.04205629, 1.069955, 0.1646357), Orientation(0.1022388, 0.02762801, -0.01512052, 0.9942612), Confidence: 0.5

Timestamp: 11/24/2024 4:44:23 PM, Millisecond: 374,current eyeGaze_left: Position (0.04205629, 1.069955, 0.1646357), Orientation(0.1022388, 0.02762801, -0.01512052, 0.9942612), Confidence: 0.5

Timestamp: 11/24/2024 4:44:23 PM, Millisecond: 389,current eyeGaze_left: Position (0.04204373, 1.069936, 0.1646362), Orientation(0.1048666, 0.03016195, -0.01479475, 0.9939187), Confidence: 0.5

Timestamp: 11/24/2024 4:44:23 PM, Millisecond: 404,current eyeGaze_left: Position (0.04204373, 1.069936, 0.1646362), Orientation(0.1048666, 0.03016195, -0.01479475, 0.9939187), Confidence: 0.5

Timestamp: 11/24/2024 4:44:23 PM, Millisecond: 417,current eyeGaze_left: Position (0.04204373, 1.069936, 0.1646362), Orientation(0.1048666, 0.03016195, -0.01479475, 0.9939187), Confidence: 0.5

Timestamp: 11/24/2024 4:44:23 PM, Millisecond: 431,current eyeGaze_left: Position (0.04203642, 1.06984, 0.164614), Orientation(0.1064968, 0.02978653, -0.01473359, 0.9937575), Confidence: 0.5

Timestamp: 11/24/2024 4:44:23 PM, Millisecond: 444,current eyeGaze_left: Position (0.04203642, 1.06984, 0.164614), Orientation(0.1064968, 0.02978653, -0.01473359, 0.9937575), Confidence: 0.5

Timestamp: 11/24/2024 4:44:23 PM, Millisecond: 459,current eyeGaze_left: Position (0.04202574, 1.069822, 0.1646245), Orientation(0.1065096, 0.02987498, -0.0147096, 0.9937539), Confidence: 0.5

Timestamp: 11/24/2024 4:44:23 PM, Millisecond: 472,current eyeGaze_left: Position (0.04202574, 1.069822, 0.1646245), Orientation(0.1065096, 0.02987498, -0.0147096, 0.9937539), Confidence: 0.5

Timestamp: 11/24/2024 4:44:23 PM, Millisecond: 487,current eyeGaze_left: Position (0.04204452, 1.069827, 0.164638), Orientation(0.1035903, 0.02960772, -0.01464966, 0.9940713), Confidence: 0.5

Timestamp: 11/24/2024 4:44:23 PM, Millisecond: 500,current eyeGaze_left: Position (0.04204452, 1.069827, 0.164638), Orientation(0.1035903, 0.02960772, -0.01464966, 0.9940713), Confidence: 0.5

Timestamp: 11/24/2024 4:44:23 PM, Millisecond: 514,current eyeGaze_left: Position (0.04204452, 1.069827, 0.164638), Orientation(0.1035903, 0.02960772, -0.01464966, 0.9940713), Confidence: 0.5

