
Timestamp: 11/24/2024 4:47:23 PM, Millisecond: 116,current eyeGaze_left: Position (0.03401081, 1.061782, 0.1721607), Orientation(0.1081256, 0.01388178, -0.01352093, 0.9939483), Confidence: 0.5

Timestamp: 11/24/2024 4:47:23 PM, Millisecond: 130,current eyeGaze_left: Position (0.03396754, 1.061787, 0.172172), Orientation(0.1080838, 0.01594118, -0.01341514, 0.9939234), Confidence: 0.5

Timestamp: 11/24/2024 4:47:23 PM, Millisecond: 144,current eyeGaze_left: Position (0.03396754, 1.061787, 0.172172), Orientation(0.1080838, 0.01594118, -0.01341514, 0.9939234), Confidence: 0.5

Timestamp: 11/24/2024 4:47:23 PM, Millisecond: 158,current eyeGaze_left: Position (0.03395177, 1.061768, 0.1721351), Orientation(0.1050979, 0.01599604, -0.01340846, 0.9942429), Confidence: 0.5

Timestamp: 11/24/2024 4:47:23 PM, Millisecond: 171,current eyeGaze_left: Position (0.03395177, 1.061768, 0.1721351), Orientation(0.1050979, 0.01599604, -0.01340846, 0.9942429), Confidence: 0.5

Timestamp: 11/24/2024 4:47:23 PM, Millisecond: 186,current eyeGaze_left: Position (0.03395177, 1.061768, 0.1721351), Orientation(0.1050979, 0.01599604, -0.01340846, 0.9942429), Confidence: 0.5

Timestamp: 11/24/2024 4:47:23 PM, Millisecond: 199,current eyeGaze_left: Position (0.03392208, 1.061734, 0.172091), Orientation(0.1066629, 0.01418315, -0.01355145, 0.9941017), Confidence: 0.5

Timestamp: 11/24/2024 4:47:23 PM, Millisecond: 215,current eyeGaze_left: Position (0.03392208, 1.061734, 0.172091), Orientation(0.1066629, 0.01418315, -0.01355145, 0.9941017), Confidence: 0.5

Timestamp: 11/24/2024 4:47:23 PM, Millisecond: 227,current eyeGaze_left: Position (0.03387119, 1.061701, 0.1720188), Orientation(0.1048682, 0.01237433, -0.01359525, 0.9943162), Confidence: 0.5

Timestamp: 11/24/2024 4:47:23 PM, Millisecond: 241,current eyeGaze_left: Position (0.03387119, 1.061701, 0.1720188), Orientation(0.1048682, 0.01237433, -0.01359525, 0.9943162), Confidence: 0.5

Timestamp: 11/24/2024 4:47:23 PM, Millisecond: 256,current eyeGaze_left: Position (0.03384251, 1.061695, 0.172002), Orientation(0.1066088, 0.01382989, -0.01337118, 0.994115), Confidence: 0.5

Timestamp: 11/24/2024 4:47:23 PM, Millisecond: 269,current eyeGaze_left: Position (0.03384251, 1.061695, 0.172002), Orientation(0.1066088, 0.01382989, -0.01337118, 0.994115), Confidence: 0.5

