
Timestamp: 2/4/2025 2:50:17 PM, Millisecond: 986,current eyeGaze_left: Position (0.0003773905, 0.6284745, 0.08052522), Orientation(0.07340095, -0.0005470779, -0.02105302, 0.9970801), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 0,current eyeGaze_left: Position (0.0002936684, 0.6283484, 0.08048972), Orientation(0.08129083, -0.0009377368, -0.02094842, 0.9964698), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 15,current eyeGaze_left: Position (0.0002936684, 0.6283484, 0.08048972), Orientation(0.08129083, -0.0009377368, -0.02094842, 0.9964698), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 28,current eyeGaze_left: Position (0.0002336986, 0.6282363, 0.08038555), Orientation(0.08117419, 0.01050819, -0.01949723, 0.9964538), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 42,current eyeGaze_left: Position (0.0002336986, 0.6282363, 0.08038555), Orientation(0.08117419, 0.01050819, -0.01949723, 0.9964538), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 56,current eyeGaze_left: Position (0.000216905, 0.6282243, 0.08033407), Orientation(0.08155861, 0.02450259, -0.01784552, 0.9962075), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 70,current eyeGaze_left: Position (0.000216905, 0.6282243, 0.08033407), Orientation(0.08155861, 0.02450259, -0.01784552, 0.9962075), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 83,current eyeGaze_left: Position (0.000216905, 0.6282243, 0.08033407), Orientation(0.08155861, 0.02450259, -0.01784552, 0.9962075), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 97,current eyeGaze_left: Position (0.0002533086, 0.6282751, 0.080233), Orientation(0.0733114, 0.03483679, -0.01651937, 0.9965637), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 113,current eyeGaze_left: Position (0.0002533086, 0.6282751, 0.080233), Orientation(0.0733114, 0.03483679, -0.01651937, 0.9965637), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 125,current eyeGaze_left: Position (0.0003131703, 0.628291, 0.08016388), Orientation(0.07402287, 0.03457152, -0.01662274, 0.9965186), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 139,current eyeGaze_left: Position (0.0003131703, 0.628291, 0.08016388), Orientation(0.07402287, 0.03457152, -0.01662274, 0.9965186), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 154,current eyeGaze_left: Position (0.0003131703, 0.628291, 0.08016388), Orientation(0.07402287, 0.03457152, -0.01662274, 0.9965186), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 167,current eyeGaze_left: Position (0.0003598891, 0.628261, 0.08010188), Orientation(0.0732022, 0.03193987, -0.01698526, 0.9966608), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 182,current eyeGaze_left: Position (0.0003598891, 0.628261, 0.08010188), Orientation(0.0732022, 0.03193987, -0.01698526, 0.9966608), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 195,current eyeGaze_left: Position (0.0003703684, 0.6282207, 0.0800513), Orientation(0.0737407, 0.03183237, -0.01702607, 0.996624), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 209,current eyeGaze_left: Position (0.0003703684, 0.6282207, 0.0800513), Orientation(0.0737407, 0.03183237, -0.01702607, 0.996624), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 223,current eyeGaze_left: Position (0.0003547072, 0.6281607, 0.07997969), Orientation(0.07435261, 0.03391793, -0.01689235, 0.9965119), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 237,current eyeGaze_left: Position (0.0003547072, 0.6281607, 0.07997969), Orientation(0.07435261, 0.03391793, -0.01689235, 0.9965119), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 251,current eyeGaze_left: Position (0.0003547072, 0.6281607, 0.07997969), Orientation(0.07435261, 0.03391793, -0.01689235, 0.9965119), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 265,current eyeGaze_left: Position (0.000245586, 0.6280746, 0.07995795), Orientation(0.07587364, 0.03580183, -0.01653738, 0.9963372), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 280,current eyeGaze_left: Position (0.000245586, 0.6280746, 0.07995795), Orientation(0.07587364, 0.03580183, -0.01653738, 0.9963372), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 293,current eyeGaze_left: Position (6.892905E-05, 0.6279371, 0.07997381), Orientation(0.07583614, 0.03695001, -0.01602636, 0.9963067), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 307,current eyeGaze_left: Position (6.892905E-05, 0.6279371, 0.07997381), Orientation(0.07583614, 0.03695001, -0.01602636, 0.9963067), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 322,current eyeGaze_left: Position (-0.0001542792, 0.6278481, 0.07999796), Orientation(0.07568821, 0.03768197, -0.01555541, 0.996298), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 335,current eyeGaze_left: Position (-0.0001542792, 0.6278481, 0.07999796), Orientation(0.07568821, 0.03768197, -0.01555541, 0.996298), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 350,current eyeGaze_left: Position (-0.0001542792, 0.6278481, 0.07999796), Orientation(0.07568821, 0.03768197, -0.01555541, 0.996298), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 363,current eyeGaze_left: Position (-0.0003819987, 0.627783, 0.08003179), Orientation(0.07723103, 0.03962662, -0.01494544, 0.9961134), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 377,current eyeGaze_left: Position (-0.0003819987, 0.627783, 0.08003179), Orientation(0.07723103, 0.03962662, -0.01494544, 0.9961134), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 391,current eyeGaze_left: Position (-0.0005972348, 0.6277199, 0.0800657), Orientation(0.08035731, 0.04104695, -0.01447129, 0.9958155), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 405,current eyeGaze_left: Position (-0.0005972348, 0.6277199, 0.0800657), Orientation(0.08035731, 0.04104695, -0.01447129, 0.9958155), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 420,current eyeGaze_left: Position (-0.0005972348, 0.6277199, 0.0800657), Orientation(0.08035731, 0.04104695, -0.01447129, 0.9958155), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 433,current eyeGaze_left: Position (-0.0006932206, 0.6276469, 0.08006035), Orientation(0.07775728, 0.04163282, -0.01427469, 0.9960003), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 448,current eyeGaze_left: Position (-0.0006932206, 0.6276469, 0.08006035), Orientation(0.07775728, 0.04163282, -0.01427469, 0.9960003), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 461,current eyeGaze_left: Position (-0.0008011051, 0.627573, 0.0800801), Orientation(0.08016031, 0.04470108, -0.0137935, 0.9956838), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 475,current eyeGaze_left: Position (-0.0008011051, 0.627573, 0.0800801), Orientation(0.08016031, 0.04470108, -0.0137935, 0.9956838), Confidence: 0.9980469

Timestamp: 2/4/2025 2:50:18 PM, Millisecond: 489,current eyeGaze_left: Position (-0.0009478182, 0.6274444, 0.08006679), Orientation(0.07782069, 0.04207598, -0.0137792, 0.9959838), Confidence: 0.9980469

