Timestamp: 2/4/2025 3:06:19 PM, Millisecond: 685,current eyeGaze_left: Position (-0.04531521, 0.5794073, 0.006425276), Orientation(-0.01948094, -0.04963783, -0.007158239, 0.9985517), Confidence: 0.9980469

Timestamp: 2/4/2025 3:06:20 PM, Millisecond: 144,current eyeGaze_left: Position (-0.0405501, 0.5838159, 0.00846168), Orientation(0.05171164, -0.03903021, -0.01112031, 0.9978372), Confidence: 0.9980469

Timestamp: 2/4/2025 3:06:20 PM, Millisecond: 155,current eyeGaze_left: Position (-0.0405501, 0.5838159, 0.00846168), Orientation(0.05171164, -0.03903021, -0.01112031, 0.9978372), Confidence: 0.9980469

Timestamp: 2/4/2025 3:06:20 PM, Millisecond: 174,current eyeGaze_left: Position (-0.0398293, 0.5840812, 0.008755045), Orientation(0.0557938, -0.04166392, -0.01136016, 0.997508), Confidence: 0.9980469

Timestamp: 2/4/2025 3:06:20 PM, Millisecond: 194,current eyeGaze_left: Position (-0.0398293, 0.5840812, 0.008755045), Orientation(0.0557938, -0.04166392, -0.01136016, 0.997508), Confidence: 0.9980469

Timestamp: 2/4/2025 3:06:20 PM, Millisecond: 214,current eyeGaze_left: Position (-0.03927957, 0.5844125, 0.009189033), Orientation(0.05691975, -0.03790589, -0.01149964, 0.9975926), Confidence: 0.9980469

Timestamp: 2/4/2025 3:06:20 PM, Millisecond: 232,current eyeGaze_left: Position (-0.03927957, 0.5844125, 0.009189033), Orientation(0.05691975, -0.03790589, -0.01149964, 0.9975926), Confidence: 0.9980469

Timestamp: 2/4/2025 3:06:20 PM, Millisecond: 246,current eyeGaze_left: Position (-0.03880121, 0.5847299, 0.009526662), Orientation(0.05412642, -0.0383571, -0.01225375, 0.997722), Confidence: 0.9980469

Timestamp: 2/4/2025 3:06:20 PM, Millisecond: 263,current eyeGaze_left: Position (-0.03880121, 0.5847299, 0.009526662), Orientation(0.05412642, -0.0383571, -0.01225375, 0.997722), Confidence: 0.9980469

Timestamp: 2/4/2025 3:06:20 PM, Millisecond: 279,current eyeGaze_left: Position (-0.03844427, 0.5850133, 0.009860322), Orientation(0.05501052, -0.03688556, -0.01300659, 0.9977195), Confidence: 0.9980469

Timestamp: 2/4/2025 3:06:20 PM, Millisecond: 296,current eyeGaze_left: Position (-0.03844427, 0.5850133, 0.009860322), Orientation(0.05501052, -0.03688556, -0.01300659, 0.9977195), Confidence: 0.9980469

Timestamp: 2/4/2025 3:06:20 PM, Millisecond: 311,current eyeGaze_left: Position (-0.03825527, 0.5852068, 0.01023905), Orientation(0.05966279, -0.03320691, -0.0136089, 0.9975733), Confidence: 0.9980469

Timestamp: 2/4/2025 3:06:20 PM, Millisecond: 328,current eyeGaze_left: Position (-0.03825527, 0.5852068, 0.01023905), Orientation(0.05966279, -0.03320691, -0.0136089, 0.9975733), Confidence: 0.9980469

Timestamp: 2/4/2025 3:06:20 PM, Millisecond: 342,current eyeGaze_left: Position (-0.03810476, 0.5852802, 0.01052318), Orientation(0.05981629, -0.03279646, -0.01431456, 0.9975678), Confidence: 0.9980469

Timestamp: 2/4/2025 3:06:20 PM, Millisecond: 358,current eyeGaze_left: Position (-0.03810476, 0.5852802, 0.01052318), Orientation(0.05981629, -0.03279646, -0.01431456, 0.9975678), Confidence: 0.9980469

Timestamp: 2/4/2025 3:06:20 PM, Millisecond: 371,current eyeGaze_left: Position (-0.03801897, 0.5852621, 0.01073269), Orientation(0.05653081, -0.03233404, -0.01488701, 0.9977661), Confidence: 0.9980469

Timestamp: 2/4/2025 3:06:20 PM, Millisecond: 386,current eyeGaze_left: Position (-0.03801897, 0.5852621, 0.01073269), Orientation(0.05653081, -0.03233404, -0.01488701, 0.9977661), Confidence: 0.9980469

Timestamp: 2/4/2025 3:06:20 PM, Millisecond: 401,current eyeGaze_left: Position (-0.03801897, 0.5852621, 0.01073269), Orientation(0.05653081, -0.03233404, -0.01488701, 0.9977661), Confidence: 0.9980469

Timestamp: 2/4/2025 3:06:20 PM, Millisecond: 415,current eyeGaze_left: Position (-0.0379809, 0.5851056, 0.01085937), Orientation(0.0562089, -0.03197127, -0.01515044, 0.9977919), Confidence: 0.9980469

Timestamp: 2/4/2025 3:06:20 PM, Millisecond: 430,current eyeGaze_left: Position (-0.0379809, 0.5851056, 0.01085937), Orientation(0.0562089, -0.03197127, -0.01515044, 0.9977919), Confidence: 0.9980469

Timestamp: 2/4/2025 3:06:20 PM, Millisecond: 444,current eyeGaze_left: Position (-0.03796793, 0.5850624, 0.01088255), Orientation(0.05600639, -0.03058603, -0.01503396, 0.9978485), Confidence: 0.9980469

Timestamp: 2/4/2025 3:06:20 PM, Millisecond: 460,current eyeGaze_left: Position (-0.03796793, 0.5850624, 0.01088255), Orientation(0.05600639, -0.03058603, -0.01503396, 0.9978485), Confidence: 0.9980469

Timestamp: 2/4/2025 3:06:20 PM, Millisecond: 473,current eyeGaze_left: Position (-0.03799117, 0.5850437, 0.01081424), Orientation(0.05547654, -0.03085231, -0.01458642, 0.9978765), Confidence: 0.9980469

