Timestamp: 2/4/2025 3:37:52 PM, Millisecond: 239,current eyeGaze_left: Position (-0.03209003, 0.6748148, 0.03946352), Orientation(-0.09428729, 0.1117867, 0.02106548, 0.9890247), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:52 PM, Millisecond: 699,current eyeGaze_left: Position (-0.02087406, 0.677802, 0.03722069), Orientation(0.02334242, -0.02603145, 0.008189372, 0.9993551), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:52 PM, Millisecond: 710,current eyeGaze_left: Position (-0.02087406, 0.677802, 0.03722069), Orientation(0.02334242, -0.02603145, 0.008189372, 0.9993551), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:52 PM, Millisecond: 728,current eyeGaze_left: Position (-0.02003844, 0.6780236, 0.03704008), Orientation(0.02406475, -0.02628649, 0.007370157, 0.9993376), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:52 PM, Millisecond: 747,current eyeGaze_left: Position (-0.02003844, 0.6780236, 0.03704008), Orientation(0.02406475, -0.02628649, 0.007370157, 0.9993376), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:52 PM, Millisecond: 768,current eyeGaze_left: Position (-0.01926427, 0.6782529, 0.03688076), Orientation(0.02436767, -0.02665252, 0.006341583, 0.9993277), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:52 PM, Millisecond: 787,current eyeGaze_left: Position (-0.01926427, 0.6782529, 0.03688076), Orientation(0.02436767, -0.02665252, 0.006341583, 0.9993277), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:52 PM, Millisecond: 801,current eyeGaze_left: Position (-0.01853651, 0.6784716, 0.03672166), Orientation(0.02499486, -0.02582671, 0.005309763, 0.9993398), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:52 PM, Millisecond: 818,current eyeGaze_left: Position (-0.01853651, 0.6784716, 0.03672166), Orientation(0.02499486, -0.02582671, 0.005309763, 0.9993398), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:52 PM, Millisecond: 833,current eyeGaze_left: Position (-0.0177927, 0.6786658, 0.03653983), Orientation(0.02568402, -0.02480571, 0.00463912, 0.9993516), Confidence: 0.9980469

