Timestamp: 2/3/2025 6:46:54 PM, Millisecond: 208,current eyeGaze_left: Position (-0.02775742, 0.6307519, 0.003478684), Orientation(-0.01036273, -0.1383898, -0.04435736, 0.9893298), Confidence: 0.9980469

Timestamp: 2/3/2025 6:46:54 PM, Millisecond: 732,current eyeGaze_left: Position (-0.02732806, 0.6305183, 0.003554332), Orientation(-0.00184117, -0.02126871, -0.03789678, 0.9990535), Confidence: 0.9980469

Timestamp: 2/3/2025 6:46:54 PM, Millisecond: 777,current eyeGaze_left: Position (-0.02740963, 0.6305591, 0.003612485), Orientation(-0.01396457, -0.1443726, -0.0451941, 0.9883921), Confidence: 0.9980469

Timestamp: 2/3/2025 6:46:54 PM, Millisecond: 791,current eyeGaze_left: Position (-0.02740963, 0.6305591, 0.003612485), Orientation(-0.01396457, -0.1443726, -0.0451941, 0.9883921), Confidence: 0.9980469

Timestamp: 2/3/2025 6:46:54 PM, Millisecond: 817,current eyeGaze_left: Position (-0.02747031, 0.6305805, 0.003684741), Orientation(-0.01380905, -0.1445651, -0.04510269, 0.9883704), Confidence: 0.9980469

Timestamp: 2/3/2025 6:46:54 PM, Millisecond: 835,current eyeGaze_left: Position (-0.02752191, 0.6305863, 0.003739518), Orientation(-0.01352845, -0.1328547, -0.0443557, 0.9900501), Confidence: 0.9980469

Timestamp: 2/3/2025 6:46:54 PM, Millisecond: 847,current eyeGaze_left: Position (-0.02752191, 0.6305863, 0.003739518), Orientation(-0.01352845, -0.1328547, -0.0443557, 0.9900501), Confidence: 0.9980469

Timestamp: 2/3/2025 6:46:54 PM, Millisecond: 863,current eyeGaze_left: Position (-0.02752191, 0.6305863, 0.003739518), Orientation(-0.01352845, -0.1328547, -0.0443557, 0.9900501), Confidence: 0.9980469

Timestamp: 2/3/2025 6:46:54 PM, Millisecond: 876,current eyeGaze_left: Position (-0.02756903, 0.6305835, 0.003799436), Orientation(-0.04288954, -0.1070411, -0.04307315, 0.9923948), Confidence: 0.9980469

Timestamp: 2/3/2025 6:46:54 PM, Millisecond: 891,current eyeGaze_left: Position (-0.02756903, 0.6305835, 0.003799436), Orientation(-0.04288954, -0.1070411, -0.04307315, 0.9923948), Confidence: 0.9980469

Timestamp: 2/3/2025 6:46:54 PM, Millisecond: 905,current eyeGaze_left: Position (-0.02761778, 0.6305713, 0.003876315), Orientation(-0.005793354, -0.0582819, -0.03974941, 0.9974917), Confidence: 0.9980469

Timestamp: 2/3/2025 6:46:54 PM, Millisecond: 920,current eyeGaze_left: Position (-0.02761778, 0.6305713, 0.003876315), Orientation(-0.005793354, -0.0582819, -0.03974941, 0.9974917), Confidence: 0.9980469

Timestamp: 2/3/2025 6:46:54 PM, Millisecond: 935,current eyeGaze_left: Position (-0.02768337, 0.6305608, 0.003937819), Orientation(-0.00427192, -0.03860598, -0.03843525, 0.9985059), Confidence: 0.9980469

Timestamp: 2/3/2025 6:46:54 PM, Millisecond: 949,current eyeGaze_left: Position (-0.02768337, 0.6305608, 0.003937819), Orientation(-0.00427192, -0.03860598, -0.03843525, 0.9985059), Confidence: 0.9980469

