Timestamp: 2/3/2025 6:58:50 PM, Millisecond: 982,current eyeGaze_left: Position (-0.03326782, 0.6313242, 0.02744561), Orientation(-0.002753681, 0.01432755, -0.01970116, 0.9996994), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 442,current eyeGaze_left: Position (-0.03267686, 0.6350664, 0.03249511), Orientation(0.06546407, 0.006078796, -0.02627022, 0.9974905), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 452,current eyeGaze_left: Position (-0.03267686, 0.6350664, 0.03249511), Orientation(0.06546407, 0.006078796, -0.02627022, 0.9974905), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 471,current eyeGaze_left: Position (-0.03259796, 0.6353593, 0.03279558), Orientation(0.06657012, 0.01026259, -0.02636137, 0.9973807), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 489,current eyeGaze_left: Position (-0.03259796, 0.6353593, 0.03279558), Orientation(0.06657012, 0.01026259, -0.02636137, 0.9973807), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 509,current eyeGaze_left: Position (-0.03258996, 0.6357636, 0.03309133), Orientation(0.0637638, 0.01449224, -0.0264894, 0.9975081), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 529,current eyeGaze_left: Position (-0.03258996, 0.6357636, 0.03309133), Orientation(0.0637638, 0.01449224, -0.0264894, 0.9975081), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 544,current eyeGaze_left: Position (-0.03262793, 0.6362513, 0.03342167), Orientation(0.06465484, 0.01421786, -0.02720672, 0.9974353), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 560,current eyeGaze_left: Position (-0.03262793, 0.6362513, 0.03342167), Orientation(0.06465484, 0.01421786, -0.02720672, 0.9974353), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 577,current eyeGaze_left: Position (-0.03271082, 0.6367508, 0.03381792), Orientation(0.06362119, 0.01290658, -0.02798508, 0.9974982), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 593,current eyeGaze_left: Position (-0.03271082, 0.6367508, 0.03381792), Orientation(0.06362119, 0.01290658, -0.02798508, 0.9974982), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 608,current eyeGaze_left: Position (-0.03294432, 0.637129, 0.03424413), Orientation(0.06352439, 0.01498536, -0.02851353, 0.9974602), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 624,current eyeGaze_left: Position (-0.03294432, 0.637129, 0.03424413), Orientation(0.06352439, 0.01498536, -0.02851353, 0.9974602), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 638,current eyeGaze_left: Position (-0.03324772, 0.6373715, 0.03462566), Orientation(0.06510192, 0.0149283, -0.02887133, 0.9973492), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 653,current eyeGaze_left: Position (-0.03324772, 0.6373715, 0.03462566), Orientation(0.06510192, 0.0149283, -0.02887133, 0.9973492), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 669,current eyeGaze_left: Position (-0.03324772, 0.6373715, 0.03462566), Orientation(0.06510192, 0.0149283, -0.02887133, 0.9973492), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 683,current eyeGaze_left: Position (-0.03363595, 0.6373655, 0.03489737), Orientation(0.06021194, 0.01350484, -0.02876902, 0.9976795), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 698,current eyeGaze_left: Position (-0.03363595, 0.6373655, 0.03489737), Orientation(0.06021194, 0.01350484, -0.02876902, 0.9976795), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 713,current eyeGaze_left: Position (-0.03402252, 0.6372325, 0.03516721), Orientation(0.06008768, 0.01161345, -0.02850444, 0.9977184), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 727,current eyeGaze_left: Position (-0.03402252, 0.6372325, 0.03516721), Orientation(0.06008768, 0.01161345, -0.02850444, 0.9977184), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 741,current eyeGaze_left: Position (-0.03438693, 0.6370923, 0.03528706), Orientation(0.05979303, 0.0081841, -0.02814678, 0.9977803), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 756,current eyeGaze_left: Position (-0.03438693, 0.6370923, 0.03528706), Orientation(0.05979303, 0.0081841, -0.02814678, 0.9977803), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 771,current eyeGaze_left: Position (-0.03469583, 0.637002, 0.03526405), Orientation(0.04804497, -0.01961697, -0.0292667, 0.9982235), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 785,current eyeGaze_left: Position (-0.03469583, 0.637002, 0.03526405), Orientation(0.04804497, -0.01961697, -0.0292667, 0.9982235), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 800,current eyeGaze_left: Position (-0.03469583, 0.637002, 0.03526405), Orientation(0.04804497, -0.01961697, -0.0292667, 0.9982235), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 813,current eyeGaze_left: Position (-0.03510436, 0.6369091, 0.0352229), Orientation(0.04571518, -0.02821776, -0.02879167, 0.9981407), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 827,current eyeGaze_left: Position (-0.03510436, 0.6369091, 0.0352229), Orientation(0.04571518, -0.02821776, -0.02879167, 0.9981407), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 842,current eyeGaze_left: Position (-0.03556155, 0.6368719, 0.0351717), Orientation(0.04392308, -0.03077278, -0.02789933, 0.998171), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 854,current eyeGaze_left: Position (-0.03556155, 0.6368719, 0.0351717), Orientation(0.04392308, -0.03077278, -0.02789933, 0.998171), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 869,current eyeGaze_left: Position (-0.03556155, 0.6368719, 0.0351717), Orientation(0.04392308, -0.03077278, -0.02789933, 0.998171), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 884,current eyeGaze_left: Position (-0.03608048, 0.6368956, 0.03514635), Orientation(0.04402505, -0.02511429, -0.02672106, 0.9983571), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 897,current eyeGaze_left: Position (-0.03608048, 0.6368956, 0.03514635), Orientation(0.04402505, -0.02511429, -0.02672106, 0.9983571), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 912,current eyeGaze_left: Position (-0.03666949, 0.6369697, 0.03518846), Orientation(0.04340281, -0.02617492, -0.0265054, 0.998363), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 924,current eyeGaze_left: Position (-0.03666949, 0.6369697, 0.03518846), Orientation(0.04340281, -0.02617492, -0.0265054, 0.998363), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 938,current eyeGaze_left: Position (-0.03728643, 0.637084, 0.03525501), Orientation(0.04363232, -0.02715755, -0.02659221, 0.9983244), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 953,current eyeGaze_left: Position (-0.03728643, 0.637084, 0.03525501), Orientation(0.04363232, -0.02715755, -0.02659221, 0.9983244), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 968,current eyeGaze_left: Position (-0.03728643, 0.637084, 0.03525501), Orientation(0.04363232, -0.02715755, -0.02659221, 0.9983244), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 981,current eyeGaze_left: Position (-0.0378702, 0.6372031, 0.03529201), Orientation(0.04275235, -0.02729346, -0.02657055, 0.9983593), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:51 PM, Millisecond: 995,current eyeGaze_left: Position (-0.0378702, 0.6372031, 0.03529201), Orientation(0.04275235, -0.02729346, -0.02657055, 0.9983593), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 9,current eyeGaze_left: Position (-0.03834157, 0.6371775, 0.03533854), Orientation(0.03952344, -0.02527593, -0.02625977, 0.9985536), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 22,current eyeGaze_left: Position (-0.03834157, 0.6371775, 0.03533854), Orientation(0.03952344, -0.02527593, -0.02625977, 0.9985536), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 37,current eyeGaze_left: Position (-0.03870296, 0.6370627, 0.03533337), Orientation(0.03894601, -0.02588347, -0.02627222, 0.9985605), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 50,current eyeGaze_left: Position (-0.03870296, 0.6370627, 0.03533337), Orientation(0.03894601, -0.02588347, -0.02627222, 0.9985605), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 65,current eyeGaze_left: Position (-0.03870296, 0.6370627, 0.03533337), Orientation(0.03894601, -0.02588347, -0.02627222, 0.9985605), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 79,current eyeGaze_left: Position (-0.03893127, 0.6368644, 0.03523801), Orientation(0.04127686, -0.02577679, -0.02632905, 0.9984682), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 92,current eyeGaze_left: Position (-0.03893127, 0.6368644, 0.03523801), Orientation(0.04127686, -0.02577679, -0.02632905, 0.9984682), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 106,current eyeGaze_left: Position (-0.03893127, 0.6368644, 0.03523801), Orientation(0.04127686, -0.02577679, -0.02632905, 0.9984682), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 120,current eyeGaze_left: Position (-0.03914335, 0.6367562, 0.03517555), Orientation(0.04679792, -0.02755556, -0.02646334, 0.9981735), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 134,current eyeGaze_left: Position (-0.03914335, 0.6367562, 0.03517555), Orientation(0.04679792, -0.02755556, -0.02646334, 0.9981735), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 148,current eyeGaze_left: Position (-0.03931475, 0.6366762, 0.03512299), Orientation(0.05920861, -0.0284625, -0.02654772, 0.9974866), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 162,current eyeGaze_left: Position (-0.03931475, 0.6366762, 0.03512299), Orientation(0.05920861, -0.0284625, -0.02654772, 0.9974866), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 175,current eyeGaze_left: Position (-0.03946715, 0.6366365, 0.03510972), Orientation(0.05867451, -0.02809609, -0.02639001, 0.9975327), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 189,current eyeGaze_left: Position (-0.03946715, 0.6366365, 0.03510972), Orientation(0.05867451, -0.02809609, -0.02639001, 0.9975327), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 204,current eyeGaze_left: Position (-0.03964398, 0.636582, 0.03511731), Orientation(0.05971866, -0.02853639, -0.02616836, 0.9974641), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 217,current eyeGaze_left: Position (-0.03964398, 0.636582, 0.03511731), Orientation(0.05971866, -0.02853639, -0.02616836, 0.9974641), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 232,current eyeGaze_left: Position (-0.03964398, 0.636582, 0.03511731), Orientation(0.05971866, -0.02853639, -0.02616836, 0.9974641), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 246,current eyeGaze_left: Position (-0.03983042, 0.6365367, 0.03511177), Orientation(0.06036698, -0.02892016, -0.02604403, 0.9974172), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 259,current eyeGaze_left: Position (-0.03983042, 0.6365367, 0.03511177), Orientation(0.06036698, -0.02892016, -0.02604403, 0.9974172), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 273,current eyeGaze_left: Position (-0.03983042, 0.6365367, 0.03511177), Orientation(0.06036698, -0.02892016, -0.02604403, 0.9974172), Confidence: 0.9980469

Timestamp: 2/3/2025 6:58:52 PM, Millisecond: 287,current eyeGaze_left: Position (-0.04000577, 0.6364284, 0.03502551), Orientation(0.06104485, -0.02767972, -0.0258345, 0.9974166), Confidence: 0.9980469

