Timestamp: 2/3/2025 7:18:03 PM, Millisecond: 430,current eyeGaze_left: Position (-0.004106335, 0.5916201, 0.08701442), Orientation(0.04913599, -0.01472514, -0.008370734, 0.9986485), Confidence: 0.9980469

Timestamp: 2/3/2025 7:18:03 PM, Millisecond: 890,current eyeGaze_left: Position (-0.002705168, 0.595926, 0.09162946), Orientation(0.05910007, -0.002690893, -0.01227912, 0.9981729), Confidence: 0.9980469

Timestamp: 2/3/2025 7:18:03 PM, Millisecond: 901,current eyeGaze_left: Position (-0.002705168, 0.595926, 0.09162946), Orientation(0.05910007, -0.002690893, -0.01227912, 0.9981729), Confidence: 0.9980469

Timestamp: 2/3/2025 7:18:03 PM, Millisecond: 921,current eyeGaze_left: Position (-0.002513468, 0.5962225, 0.09212483), Orientation(0.05854313, -0.002515712, -0.01271726, 0.9982007), Confidence: 0.9980469

Timestamp: 2/3/2025 7:18:03 PM, Millisecond: 939,current eyeGaze_left: Position (-0.002513468, 0.5962225, 0.09212483), Orientation(0.05854313, -0.002515712, -0.01271726, 0.9982007), Confidence: 0.9980469

Timestamp: 2/3/2025 7:18:03 PM, Millisecond: 959,current eyeGaze_left: Position (-0.00226067, 0.59645, 0.09253103), Orientation(0.05904865, -0.0044181, -0.01347122, 0.9981546), Confidence: 0.9980469

Timestamp: 2/3/2025 7:18:03 PM, Millisecond: 978,current eyeGaze_left: Position (-0.00226067, 0.59645, 0.09253103), Orientation(0.05904865, -0.0044181, -0.01347122, 0.9981546), Confidence: 0.9980469

Timestamp: 2/3/2025 7:18:03 PM, Millisecond: 992,current eyeGaze_left: Position (-0.001930755, 0.5965535, 0.09283145), Orientation(0.05822148, -0.004972221, -0.01418466, 0.9981905), Confidence: 0.9980469

Timestamp: 2/3/2025 7:18:04 PM, Millisecond: 9,current eyeGaze_left: Position (-0.001930755, 0.5965535, 0.09283145), Orientation(0.05822148, -0.004972221, -0.01418466, 0.9981905), Confidence: 0.9980469

Timestamp: 2/3/2025 7:18:04 PM, Millisecond: 25,current eyeGaze_left: Position (-0.001518324, 0.5967353, 0.09310666), Orientation(0.06035559, -0.005453212, -0.01464128, 0.9980547), Confidence: 0.9980469

Timestamp: 2/3/2025 7:18:04 PM, Millisecond: 41,current eyeGaze_left: Position (-0.001518324, 0.5967353, 0.09310666), Orientation(0.06035559, -0.005453212, -0.01464128, 0.9980547), Confidence: 0.9980469

Timestamp: 2/3/2025 7:18:04 PM, Millisecond: 56,current eyeGaze_left: Position (-0.001091205, 0.5969197, 0.09327076), Orientation(0.06106226, -0.004360784, -0.01502282, 0.9980114), Confidence: 0.9980469

Timestamp: 2/3/2025 7:18:04 PM, Millisecond: 71,current eyeGaze_left: Position (-0.001091205, 0.5969197, 0.09327076), Orientation(0.06106226, -0.004360784, -0.01502282, 0.9980114), Confidence: 0.9980469

Timestamp: 2/3/2025 7:18:04 PM, Millisecond: 86,current eyeGaze_left: Position (-0.000656303, 0.5970372, 0.09331691), Orientation(0.06193602, -0.002863712, -0.01542208, 0.9979569), Confidence: 0.9980469

