Timestamp: 2/3/2025 7:38:10 PM, Millisecond: 581,current eyeGaze_left: Position (0.006609265, 0.6112222, 0.01276369), Orientation(0.01499434, -0.08126603, -0.02366162, 0.9962988), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 42,current eyeGaze_left: Position (0.003380388, 0.6140105, 0.01612293), Orientation(0.05603876, -0.02352032, -0.02040446, 0.997943), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 47,current eyeGaze_left: Position (0.003380388, 0.6140105, 0.01612293), Orientation(0.05603876, -0.02352032, -0.02040446, 0.997943), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 54,current eyeGaze_left: Position (0.003380388, 0.6140105, 0.01612293), Orientation(0.05603876, -0.02352032, -0.02040446, 0.997943), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 73,current eyeGaze_left: Position (0.003569782, 0.61422, 0.01627774), Orientation(0.05669518, -0.02382796, -0.02126596, 0.9978806), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 105,current eyeGaze_left: Position (0.003869694, 0.6144084, 0.01637155), Orientation(0.05419561, -0.02365503, -0.02247048, 0.9979971), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 124,current eyeGaze_left: Position (0.003869694, 0.6144084, 0.01637155), Orientation(0.05419561, -0.02365503, -0.02247048, 0.9979971), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 140,current eyeGaze_left: Position (0.004147626, 0.6146157, 0.01647639), Orientation(0.05433291, -0.02373583, -0.02383757, 0.9979561), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 158,current eyeGaze_left: Position (0.004147626, 0.6146157, 0.01647639), Orientation(0.05433291, -0.02373583, -0.02383757, 0.9979561), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 175,current eyeGaze_left: Position (0.004423928, 0.614832, 0.01656012), Orientation(0.05476939, -0.02415762, -0.02511488, 0.9978907), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 191,current eyeGaze_left: Position (0.004423928, 0.614832, 0.01656012), Orientation(0.05476939, -0.02415762, -0.02511488, 0.9978907), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 207,current eyeGaze_left: Position (0.004677974, 0.6150814, 0.01663193), Orientation(0.05368718, -0.02454926, -0.02622871, 0.9979113), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 224,current eyeGaze_left: Position (0.004677974, 0.6150814, 0.01663193), Orientation(0.05368718, -0.02454926, -0.02622871, 0.9979113), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 238,current eyeGaze_left: Position (0.00488526, 0.6153792, 0.01671872), Orientation(0.0536782, -0.02289567, -0.02707386, 0.9979287), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 253,current eyeGaze_left: Position (0.00488526, 0.6153792, 0.01671872), Orientation(0.0536782, -0.02289567, -0.02707386, 0.9979287), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 269,current eyeGaze_left: Position (0.00488526, 0.6153792, 0.01671872), Orientation(0.0536782, -0.02289567, -0.02707386, 0.9979287), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 283,current eyeGaze_left: Position (0.005133491, 0.6156176, 0.01674996), Orientation(0.05432804, -0.02148284, -0.02779265, 0.9979051), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 298,current eyeGaze_left: Position (0.005133491, 0.6156176, 0.01674996), Orientation(0.05432804, -0.02148284, -0.02779265, 0.9979051), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 313,current eyeGaze_left: Position (0.005430505, 0.6157941, 0.01673901), Orientation(0.05316186, -0.02243016, -0.02849794, 0.9979272), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 327,current eyeGaze_left: Position (0.005430505, 0.6157941, 0.01673901), Orientation(0.05316186, -0.02243016, -0.02849794, 0.9979272), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 342,current eyeGaze_left: Position (0.005667869, 0.6160045, 0.01680338), Orientation(0.05579834, -0.02635298, -0.02924168, 0.9976658), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 356,current eyeGaze_left: Position (0.005667869, 0.6160045, 0.01680338), Orientation(0.05579834, -0.02635298, -0.02924168, 0.9976658), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 371,current eyeGaze_left: Position (0.005905066, 0.6161807, 0.01683829), Orientation(0.05628279, -0.0262262, -0.02966069, 0.9976296), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 384,current eyeGaze_left: Position (0.005905066, 0.6161807, 0.01683829), Orientation(0.05628279, -0.0262262, -0.02966069, 0.9976296), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 400,current eyeGaze_left: Position (0.005905066, 0.6161807, 0.01683829), Orientation(0.05628279, -0.0262262, -0.02966069, 0.9976296), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 413,current eyeGaze_left: Position (0.006146673, 0.6163154, 0.01685843), Orientation(0.05698799, -0.02636888, -0.0300633, 0.9975736), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 428,current eyeGaze_left: Position (0.006146673, 0.6163154, 0.01685843), Orientation(0.05698799, -0.02636888, -0.0300633, 0.9975736), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 442,current eyeGaze_left: Position (0.006385911, 0.6164579, 0.01691942), Orientation(0.05738187, -0.02627878, -0.03032551, 0.9975456), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 455,current eyeGaze_left: Position (0.006385911, 0.6164579, 0.01691942), Orientation(0.05738187, -0.02627878, -0.03032551, 0.9975456), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 470,current eyeGaze_left: Position (0.006618615, 0.616509, 0.01698578), Orientation(0.05451731, -0.02078288, -0.03002504, 0.997845), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 483,current eyeGaze_left: Position (0.006618615, 0.616509, 0.01698578), Orientation(0.05451731, -0.02078288, -0.03002504, 0.997845), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 497,current eyeGaze_left: Position (0.006618615, 0.616509, 0.01698578), Orientation(0.05451731, -0.02078288, -0.03002504, 0.997845), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 512,current eyeGaze_left: Position (0.006803334, 0.6165317, 0.01707846), Orientation(0.02260866, 0.04938912, -0.02528151, 0.9982036), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 525,current eyeGaze_left: Position (0.006803334, 0.6165317, 0.01707846), Orientation(0.02260866, 0.04938912, -0.02528151, 0.9982036), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 539,current eyeGaze_left: Position (0.006856631, 0.6166092, 0.01722843), Orientation(0.02274198, 0.05259845, -0.02517892, 0.9980392), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 553,current eyeGaze_left: Position (0.006856631, 0.6166092, 0.01722843), Orientation(0.02274198, 0.05259845, -0.02517892, 0.9980392), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 567,current eyeGaze_left: Position (0.006856631, 0.6166092, 0.01722843), Orientation(0.02274198, 0.05259845, -0.02517892, 0.9980392), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 581,current eyeGaze_left: Position (0.006823651, 0.6166165, 0.0173468), Orientation(0.02446062, 0.05284281, -0.0250079, 0.99799), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 596,current eyeGaze_left: Position (0.006823651, 0.6166165, 0.0173468), Orientation(0.02446062, 0.05284281, -0.0250079, 0.99799), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 609,current eyeGaze_left: Position (0.006705903, 0.6165354, 0.01743909), Orientation(0.02540519, 0.05299931, -0.02480109, 0.9979632), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 622,current eyeGaze_left: Position (0.006705903, 0.6165354, 0.01743909), Orientation(0.02540519, 0.05299931, -0.02480109, 0.9979632), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 637,current eyeGaze_left: Position (0.00658375, 0.6165466, 0.01764612), Orientation(0.025507, 0.05090528, -0.0246338, 0.9980737), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 651,current eyeGaze_left: Position (0.00658375, 0.6165466, 0.01764612), Orientation(0.025507, 0.05090528, -0.0246338, 0.9980737), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 664,current eyeGaze_left: Position (0.00658375, 0.6165466, 0.01764612), Orientation(0.025507, 0.05090528, -0.0246338, 0.9980737), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 679,current eyeGaze_left: Position (0.006407876, 0.6165262, 0.0178441), Orientation(0.02530492, 0.05131495, -0.02418163, 0.998069), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 693,current eyeGaze_left: Position (0.006407876, 0.6165262, 0.0178441), Orientation(0.02530492, 0.05131495, -0.02418163, 0.998069), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 706,current eyeGaze_left: Position (0.006193735, 0.6165178, 0.01802656), Orientation(0.025448, 0.05062203, -0.02372145, 0.9981119), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 720,current eyeGaze_left: Position (0.006193735, 0.6165178, 0.01802656), Orientation(0.025448, 0.05062203, -0.02372145, 0.9981119), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 735,current eyeGaze_left: Position (0.006193735, 0.6165178, 0.01802656), Orientation(0.025448, 0.05062203, -0.02372145, 0.9981119), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 747,current eyeGaze_left: Position (0.005989529, 0.6165962, 0.01822181), Orientation(0.02595085, 0.05249551, -0.02315313, 0.9980153), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 763,current eyeGaze_left: Position (0.005989529, 0.6165962, 0.01822181), Orientation(0.02595085, 0.05249551, -0.02315313, 0.9980153), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 776,current eyeGaze_left: Position (0.005767599, 0.616635, 0.0183409), Orientation(0.02627401, 0.05304198, -0.0226475, 0.9979897), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 789,current eyeGaze_left: Position (0.005767599, 0.616635, 0.0183409), Orientation(0.02627401, 0.05304198, -0.0226475, 0.9979897), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 804,current eyeGaze_left: Position (0.005547382, 0.6166015, 0.01837348), Orientation(0.02595484, 0.05347136, -0.02211522, 0.9979871), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 817,current eyeGaze_left: Position (0.005547382, 0.6166015, 0.01837348), Orientation(0.02595484, 0.05347136, -0.02211522, 0.9979871), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 832,current eyeGaze_left: Position (0.005547382, 0.6166015, 0.01837348), Orientation(0.02595484, 0.05347136, -0.02211522, 0.9979871), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 845,current eyeGaze_left: Position (0.005402625, 0.6166231, 0.01844893), Orientation(0.02603006, 0.05289082, -0.02179416, 0.9980231), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 859,current eyeGaze_left: Position (0.005402625, 0.6166231, 0.01844893), Orientation(0.02603006, 0.05289082, -0.02179416, 0.9980231), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 873,current eyeGaze_left: Position (0.005272131, 0.616576, 0.01846967), Orientation(0.02453179, 0.05304588, -0.02150563, 0.9980591), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 887,current eyeGaze_left: Position (0.005272131, 0.616576, 0.01846967), Orientation(0.02453179, 0.05304588, -0.02150563, 0.9980591), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 901,current eyeGaze_left: Position (0.005151756, 0.6164634, 0.01845373), Orientation(0.02535962, 0.05430987, -0.02111905, 0.9979786), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 915,current eyeGaze_left: Position (0.005151756, 0.6164634, 0.01845373), Orientation(0.02535962, 0.05430987, -0.02111905, 0.9979786), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 930,current eyeGaze_left: Position (0.005151756, 0.6164634, 0.01845373), Orientation(0.02535962, 0.05430987, -0.02111905, 0.9979786), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 943,current eyeGaze_left: Position (0.005036619, 0.616382, 0.01848442), Orientation(0.02426027, 0.05432475, -0.02084668, 0.9980108), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 956,current eyeGaze_left: Position (0.005036619, 0.616382, 0.01848442), Orientation(0.02426027, 0.05432475, -0.02084668, 0.9980108), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 971,current eyeGaze_left: Position (0.004848182, 0.6162601, 0.01848543), Orientation(0.02467313, 0.05421816, -0.02062541, 0.9980112), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 984,current eyeGaze_left: Position (0.004848182, 0.6162601, 0.01848543), Orientation(0.02467313, 0.05421816, -0.02062541, 0.9980112), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:11 PM, Millisecond: 998,current eyeGaze_left: Position (0.004848182, 0.6162601, 0.01848543), Orientation(0.02467313, 0.05421816, -0.02062541, 0.9980112), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:12 PM, Millisecond: 13,current eyeGaze_left: Position (0.004607383, 0.6161365, 0.01846426), Orientation(0.02434598, 0.05422909, -0.02025093, 0.9980263), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:12 PM, Millisecond: 26,current eyeGaze_left: Position (0.004607383, 0.6161365, 0.01846426), Orientation(0.02434598, 0.05422909, -0.02025093, 0.9980263), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:12 PM, Millisecond: 40,current eyeGaze_left: Position (0.004423711, 0.6161508, 0.01851421), Orientation(0.02597386, 0.05459986, -0.01975293, 0.997975), Confidence: 0.9980469

Timestamp: 2/3/2025 7:38:12 PM, Millisecond: 54,current eyeGaze_left: Position (0.004423711, 0.6161508, 0.01851421), Orientation(0.02597386, 0.05459986, -0.01975293, 0.997975), Confidence: 0.9980469

