Timestamp: 2/4/2025 2:46:53 PM, Millisecond: 693,current eyeGaze_left: Position (0.02535167, 0.6343052, 0.04044252), Orientation(0.07306625, 0.03935658, -0.06805188, 0.994224), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 152,current eyeGaze_left: Position (0.0356507, 0.6436294, 0.04334767), Orientation(0.1038426, -0.0660942, -0.06250825, 0.9904248), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 163,current eyeGaze_left: Position (0.0356507, 0.6436294, 0.04334767), Orientation(0.1038426, -0.0660942, -0.06250825, 0.9904248), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 185,current eyeGaze_left: Position (0.03565586, 0.6440113, 0.04402424), Orientation(0.1024075, -0.06535617, -0.06328963, 0.9905735), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 202,current eyeGaze_left: Position (0.03565586, 0.6440113, 0.04402424), Orientation(0.1024075, -0.06535617, -0.06328963, 0.9905735), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 223,current eyeGaze_left: Position (0.03567949, 0.6445312, 0.04455739), Orientation(0.1042465, -0.06568443, -0.06408872, 0.9903086), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 242,current eyeGaze_left: Position (0.03567949, 0.6445312, 0.04455739), Orientation(0.1042465, -0.06568443, -0.06408872, 0.9903086), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 257,current eyeGaze_left: Position (0.03576915, 0.6449996, 0.04507022), Orientation(0.1182178, -0.08280606, -0.06653664, 0.9872895), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 273,current eyeGaze_left: Position (0.03576915, 0.6449996, 0.04507022), Orientation(0.1182178, -0.08280606, -0.06653664, 0.9872895), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 288,current eyeGaze_left: Position (0.03591345, 0.6454234, 0.04549117), Orientation(0.120033, -0.08383168, -0.06720725, 0.9869387), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 305,current eyeGaze_left: Position (0.03591345, 0.6454234, 0.04549117), Orientation(0.120033, -0.08383168, -0.06720725, 0.9869387), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 320,current eyeGaze_left: Position (0.03599849, 0.6457154, 0.04571846), Orientation(0.1199116, -0.08252998, -0.06784863, 0.9870191), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 335,current eyeGaze_left: Position (0.03599849, 0.6457154, 0.04571846), Orientation(0.1199116, -0.08252998, -0.06784863, 0.9870191), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 350,current eyeGaze_left: Position (0.03599849, 0.6457154, 0.04571846), Orientation(0.1199116, -0.08252998, -0.06784863, 0.9870191), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 364,current eyeGaze_left: Position (0.03584161, 0.6461084, 0.0459239), Orientation(0.1204556, -0.08060034, -0.06916283, 0.987021), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 380,current eyeGaze_left: Position (0.03584161, 0.6461084, 0.0459239), Orientation(0.1204556, -0.08060034, -0.06916283, 0.987021), Confidence: 0.9980469

