Timestamp: 2/4/2025 3:40:55 PM, Millisecond: 919,current eyeGaze_left: Position (-0.04831057, 0.6783463, 0.05811449), Orientation(-0.03630143, -0.1160703, -0.005424099, 0.9925625), Confidence: 0.9980469

Timestamp: 2/4/2025 3:40:55 PM, Millisecond: 932,current eyeGaze_left: Position (-0.04824243, 0.6784437, 0.0582445), Orientation(-0.03703559, -0.1386894, -0.006841063, 0.9896196), Confidence: 0.9980469

Timestamp: 2/4/2025 3:40:55 PM, Millisecond: 946,current eyeGaze_left: Position (-0.04824243, 0.6784437, 0.0582445), Orientation(-0.03703559, -0.1386894, -0.006841063, 0.9896196), Confidence: 0.9980469

Timestamp: 2/4/2025 3:40:55 PM, Millisecond: 961,current eyeGaze_left: Position (-0.04822214, 0.6785378, 0.05832046), Orientation(-0.03681593, -0.1401132, -0.006985825, 0.9894261), Confidence: 0.9980469

Timestamp: 2/4/2025 3:40:55 PM, Millisecond: 974,current eyeGaze_left: Position (-0.04822214, 0.6785378, 0.05832046), Orientation(-0.03681593, -0.1401132, -0.006985825, 0.9894261), Confidence: 0.9980469

Timestamp: 2/4/2025 3:40:55 PM, Millisecond: 988,current eyeGaze_left: Position (-0.04822214, 0.6785378, 0.05832046), Orientation(-0.03681593, -0.1401132, -0.006985825, 0.9894261), Confidence: 0.9980469

Timestamp: 2/4/2025 3:40:56 PM, Millisecond: 2,current eyeGaze_left: Position (-0.04819565, 0.6785852, 0.05841088), Orientation(-0.03962491, -0.1413842, -0.007045376, 0.9891364), Confidence: 0.9980469

Timestamp: 2/4/2025 3:40:56 PM, Millisecond: 16,current eyeGaze_left: Position (-0.04819565, 0.6785852, 0.05841088), Orientation(-0.03962491, -0.1413842, -0.007045376, 0.9891364), Confidence: 0.9980469

Timestamp: 2/4/2025 3:40:56 PM, Millisecond: 30,current eyeGaze_left: Position (-0.04819619, 0.6786657, 0.05845476), Orientation(-0.03935978, -0.1422833, -0.007069648, 0.9890178), Confidence: 0.9980469

Timestamp: 2/4/2025 3:40:56 PM, Millisecond: 43,current eyeGaze_left: Position (-0.04819619, 0.6786657, 0.05845476), Orientation(-0.03935978, -0.1422833, -0.007069648, 0.9890178), Confidence: 0.9980469

Timestamp: 2/4/2025 3:40:56 PM, Millisecond: 58,current eyeGaze_left: Position (-0.04824445, 0.6786882, 0.05847858), Orientation(-0.0378695, -0.1422243, -0.007054205, 0.9890847), Confidence: 0.9980469

Timestamp: 2/4/2025 3:40:56 PM, Millisecond: 71,current eyeGaze_left: Position (-0.04824445, 0.6786882, 0.05847858), Orientation(-0.0378695, -0.1422243, -0.007054205, 0.9890847), Confidence: 0.9980469

Timestamp: 2/4/2025 3:40:56 PM, Millisecond: 85,current eyeGaze_left: Position (-0.04824445, 0.6786882, 0.05847858), Orientation(-0.0378695, -0.1422243, -0.007054205, 0.9890847), Confidence: 0.9980469

Timestamp: 2/4/2025 3:40:56 PM, Millisecond: 100,current eyeGaze_left: Position (-0.04837123, 0.678587, 0.05839416), Orientation(-0.03473816, -0.1603045, -0.007869385, 0.9864249), Confidence: 0.9980469

Timestamp: 2/4/2025 3:40:56 PM, Millisecond: 113,current eyeGaze_left: Position (-0.04837123, 0.678587, 0.05839416), Orientation(-0.03473816, -0.1603045, -0.007869385, 0.9864249), Confidence: 0.9980469

Timestamp: 2/4/2025 3:40:56 PM, Millisecond: 128,current eyeGaze_left: Position (-0.04845128, 0.6785233, 0.05836446), Orientation(-0.03103461, -0.1607057, -0.007708894, 0.9864843), Confidence: 0.9980469

Timestamp: 2/4/2025 3:40:56 PM, Millisecond: 140,current eyeGaze_left: Position (-0.04845128, 0.6785233, 0.05836446), Orientation(-0.03103461, -0.1607057, -0.007708894, 0.9864843), Confidence: 0.9980469

Timestamp: 2/4/2025 3:40:56 PM, Millisecond: 155,current eyeGaze_left: Position (-0.04845128, 0.6785233, 0.05836446), Orientation(-0.03103461, -0.1607057, -0.007708894, 0.9864843), Confidence: 0.9980469

Timestamp: 2/4/2025 3:40:56 PM, Millisecond: 169,current eyeGaze_left: Position (-0.0485247, 0.6784471, 0.05830524), Orientation(-0.03132184, -0.1648123, -0.007895852, 0.9857959), Confidence: 0.9980469

Timestamp: 2/4/2025 3:40:56 PM, Millisecond: 183,current eyeGaze_left: Position (-0.0485247, 0.6784471, 0.05830524), Orientation(-0.03132184, -0.1648123, -0.007895852, 0.9857959), Confidence: 0.9980469

Timestamp: 2/4/2025 3:40:56 PM, Millisecond: 197,current eyeGaze_left: Position (-0.0485811, 0.6783707, 0.05824877), Orientation(-0.03173144, -0.1601629, -0.007494855, 0.986552), Confidence: 0.9980469

Timestamp: 2/4/2025 3:40:56 PM, Millisecond: 210,current eyeGaze_left: Position (-0.0485811, 0.6783707, 0.05824877), Orientation(-0.03173144, -0.1601629, -0.007494855, 0.986552), Confidence: 0.9980469

Timestamp: 2/4/2025 3:40:56 PM, Millisecond: 225,current eyeGaze_left: Position (-0.0485811, 0.6783707, 0.05824877), Orientation(-0.03173144, -0.1601629, -0.007494855, 0.986552), Confidence: 0.9980469

