Timestamp: 2/4/2025 3:54:30 PM, Millisecond: 419,current eyeGaze_left: Position (-0.05185518, 0.6025891, 0.01949335), Orientation(0.01032603, -0.004523878, -0.001503645, 0.9999354), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:30 PM, Millisecond: 878,current eyeGaze_left: Position (-0.04426159, 0.6135876, 0.02783522), Orientation(0.04504282, 0.01172778, -0.007180055, 0.9988906), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:30 PM, Millisecond: 884,current eyeGaze_left: Position (-0.04426159, 0.6135876, 0.02783522), Orientation(0.04504282, 0.01172778, -0.007180055, 0.9988906), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:30 PM, Millisecond: 890,current eyeGaze_left: Position (-0.04426159, 0.6135876, 0.02783522), Orientation(0.04504282, 0.01172778, -0.007180055, 0.9988906), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:30 PM, Millisecond: 912,current eyeGaze_left: Position (-0.04414911, 0.6138802, 0.02816948), Orientation(0.04563444, 0.01232138, -0.007361794, 0.9988551), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:30 PM, Millisecond: 933,current eyeGaze_left: Position (-0.04414911, 0.6138802, 0.02816948), Orientation(0.04563444, 0.01232138, -0.007361794, 0.9988551), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:30 PM, Millisecond: 949,current eyeGaze_left: Position (-0.04415986, 0.6139925, 0.02857616), Orientation(0.04639122, 0.01141442, -0.007403835, 0.9988307), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:30 PM, Millisecond: 965,current eyeGaze_left: Position (-0.04415986, 0.6139925, 0.02857616), Orientation(0.04639122, 0.01141442, -0.007403835, 0.9988307), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:30 PM, Millisecond: 981,current eyeGaze_left: Position (-0.04427911, 0.6139582, 0.0288568), Orientation(0.04512476, 0.01234594, -0.007223546, 0.998879), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:30 PM, Millisecond: 998,current eyeGaze_left: Position (-0.04427911, 0.6139582, 0.0288568), Orientation(0.04512476, 0.01234594, -0.007223546, 0.998879), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 13,current eyeGaze_left: Position (-0.04443432, 0.613885, 0.02910456), Orientation(0.04512497, 0.01175868, -0.007178256, 0.9988863), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 31,current eyeGaze_left: Position (-0.04443432, 0.613885, 0.02910456), Orientation(0.04512497, 0.01175868, -0.007178256, 0.9988863), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 45,current eyeGaze_left: Position (-0.04458222, 0.6137818, 0.02934585), Orientation(0.04485236, 0.01162891, -0.006988877, 0.9989014), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 62,current eyeGaze_left: Position (-0.04458222, 0.6137818, 0.02934585), Orientation(0.04485236, 0.01162891, -0.006988877, 0.9989014), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 77,current eyeGaze_left: Position (-0.0447007, 0.6136543, 0.02943082), Orientation(0.05018685, 0.01155218, -0.006498298, 0.9986519), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 91,current eyeGaze_left: Position (-0.0447007, 0.6136543, 0.02943082), Orientation(0.05018685, 0.01155218, -0.006498298, 0.9986519), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 107,current eyeGaze_left: Position (-0.0447582, 0.6135728, 0.02946951), Orientation(0.05104854, 0.009524691, -0.006293151, 0.9986309), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 121,current eyeGaze_left: Position (-0.0447582, 0.6135728, 0.02946951), Orientation(0.05104854, 0.009524691, -0.006293151, 0.9986309), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 136,current eyeGaze_left: Position (-0.0447582, 0.6135728, 0.02946951), Orientation(0.05104854, 0.009524691, -0.006293151, 0.9986309), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 150,current eyeGaze_left: Position (-0.04474337, 0.6134864, 0.02948332), Orientation(0.05045591, 0.01007041, -0.005934868, 0.9986579), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 165,current eyeGaze_left: Position (-0.04474337, 0.6134864, 0.02948332), Orientation(0.05045591, 0.01007041, -0.005934868, 0.9986579), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 179,current eyeGaze_left: Position (-0.04471702, 0.6133531, 0.02926512), Orientation(0.04934482, 0.008850656, -0.006230184, 0.9987232), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 193,current eyeGaze_left: Position (-0.04471702, 0.6133531, 0.02926512), Orientation(0.04934482, 0.008850656, -0.006230184, 0.9987232), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 207,current eyeGaze_left: Position (-0.04459341, 0.6132334, 0.02905477), Orientation(0.04579918, 0.007120397, -0.00654189, 0.9989038), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 221,current eyeGaze_left: Position (-0.04459341, 0.6132334, 0.02905477), Orientation(0.04579918, 0.007120397, -0.00654189, 0.9989038), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 236,current eyeGaze_left: Position (-0.04437709, 0.613068, 0.02886304), Orientation(0.04366087, -0.002787835, -0.007536422, 0.9990141), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 250,current eyeGaze_left: Position (-0.04437709, 0.613068, 0.02886304), Orientation(0.04366087, -0.002787835, -0.007536422, 0.9990141), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 265,current eyeGaze_left: Position (-0.04437709, 0.613068, 0.02886304), Orientation(0.04366087, -0.002787835, -0.007536422, 0.9990141), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 278,current eyeGaze_left: Position (-0.04419196, 0.6128095, 0.02858412), Orientation(0.04251458, -0.01367732, -0.008422562, 0.9989667), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 291,current eyeGaze_left: Position (-0.04419196, 0.6128095, 0.02858412), Orientation(0.04251458, -0.01367732, -0.008422562, 0.9989667), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 306,current eyeGaze_left: Position (-0.04391419, 0.6125246, 0.02831257), Orientation(0.042573, -0.01733922, -0.008514926, 0.9989066), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 319,current eyeGaze_left: Position (-0.04391419, 0.6125246, 0.02831257), Orientation(0.042573, -0.01733922, -0.008514926, 0.9989066), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 334,current eyeGaze_left: Position (-0.04391419, 0.6125246, 0.02831257), Orientation(0.042573, -0.01733922, -0.008514926, 0.9989066), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 348,current eyeGaze_left: Position (-0.04353835, 0.6122448, 0.02806527), Orientation(0.04143159, -0.0222463, -0.00871881, 0.9988555), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 362,current eyeGaze_left: Position (-0.04353835, 0.6122448, 0.02806527), Orientation(0.04143159, -0.0222463, -0.00871881, 0.9988555), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 377,current eyeGaze_left: Position (-0.04313065, 0.6119062, 0.02760723), Orientation(0.04116636, -0.02086585, -0.008436479, 0.9988988), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 389,current eyeGaze_left: Position (-0.04313065, 0.6119062, 0.02760723), Orientation(0.04116636, -0.02086585, -0.008436479, 0.9988988), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 404,current eyeGaze_left: Position (-0.04269772, 0.6116977, 0.02729593), Orientation(0.04101658, -0.02457253, -0.008806128, 0.9988175), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 418,current eyeGaze_left: Position (-0.04269772, 0.6116977, 0.02729593), Orientation(0.04101658, -0.02457253, -0.008806128, 0.9988175), Confidence: 0.9980469

Timestamp: 2/4/2025 3:54:31 PM, Millisecond: 432,current eyeGaze_left: Position (-0.04269772, 0.6116977, 0.02729593), Orientation(0.04101658, -0.02457253, -0.008806128, 0.9988175), Confidence: 0.9980469

